ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,35.375,38.0,28.5422,36.5875,33.9438,DOWN,0
2000-01-04,34.625,35.375,28.6034,36.4875,34.045,DOWN,0
2000-01-05,33.875,34.875,28.6681,35.9125,34.15,UP,1
2000-01-06,34.625,33.938,28.7391,35.3375,34.2475,UP,1
2000-01-07,35.625,34.563,28.8028,34.825,34.3563,UP,1
2000-01-10,37.25,35.813,28.8716,35.2,34.5075,DOWN,0
2000-01-11,36.063,37.125,28.9347,35.4875,34.6325,DOWN,0
2000-01-12,35.875,36.063,28.9963,35.8875,34.765,DOWN,0
2000-01-13,35.875,35.938,29.0519,36.1375,34.9088,DOWN,0
2000-01-14,35.5,35.938,29.1069,36.1125,35.0475,DOWN,0
2000-01-18,35.125,35.375,29.1606,35.6875,35.1863,UP,1
2000-01-19,35.313,35.0,29.2191,35.5375,35.2425,DOWN,0
2000-01-20,34.875,35.438,29.2784,35.3375,35.3025,DOWN,0
2000-01-21,34.875,34.625,29.3384,35.1375,35.36,DOWN,0
2000-01-24,34.625,35.0,29.3897,34.9625,35.4263,DOWN,0
2000-01-25,34.188,34.563,29.4409,34.775,35.5,DOWN,0
2000-01-26,33.938,34.188,29.4875,34.5,35.56,DOWN,0
2000-01-27,33.188,33.938,29.5216,34.1625,35.555,DOWN,0
2000-01-28,32.313,33.0,29.5541,33.65,35.5375,DOWN,0
2000-01-31,31.875,32.438,29.5847,33.1,35.47,UP,1
2000-02-01,32.0,32.125,29.6144,32.6625,35.395,UP,1
2000-02-02,32.375,32.125,29.6413,32.35,35.3388,UP,1
2000-02-03,35.0,32.375,29.6859,32.7125,35.355,UP,1
2000-02-04,37.875,35.5,29.7428,33.825,35.4475,UP,1
2000-02-07,38.0,39.5,29.8009,35.05,35.525,DOWN,0
2000-02-08,37.375,38.0,29.8522,36.125,35.5813,DOWN,0
