ticker,MU US Equity,MU US Equity,MU US Equity,MU US Equity,MU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,37.9688,38.6875,29.242,38.7375,35.2791,DOWN,0
2000-01-04,36.5,37.375,29.292,38.2313,35.3729,DOWN,0
2000-01-05,36.375,36.0625,29.3473,37.8438,35.4816,UP,1
2000-01-06,37.0,36.375,29.4023,37.3813,35.6004,DOWN,0
2000-01-07,35.25,36.875,29.4599,36.6188,35.6879,UP,1
2000-01-10,37.1875,36.125,29.5281,36.4625,35.7554,DOWN,0
2000-01-11,36.1875,37.125,29.5907,36.4,35.766,UP,1
2000-01-12,37.0,36.625,29.6624,36.525,35.7798,UP,1
2000-01-13,38.9375,37.4375,29.7367,36.9125,35.806,DOWN,0
2000-01-14,36.625,38.5625,29.7965,37.1875,35.7891,UP,1
2000-01-18,36.7813,36.7188,29.8517,37.1063,35.7648,DOWN,0
2000-01-19,36.0625,36.75,29.8976,37.0813,35.7173,DOWN,0
2000-01-20,34.875,36.1875,29.9479,36.6563,35.6304,DOWN,0
2000-01-21,33.5625,35.75,29.9979,35.5813,35.5354,UP,1
2000-01-24,34.75,33.6563,30.052,35.2063,35.4523,DOWN,0
2000-01-25,32.9375,34.4688,30.1048,34.4375,35.356,DOWN,0
2000-01-26,31.7813,32.9688,30.1546,33.5813,35.2566,UP,1
2000-01-27,32.375,31.9063,30.2049,33.0813,35.2104,DOWN,0
2000-01-28,29.75,31.9375,30.237,32.3188,35.1216,UP,1
2000-01-31,31.0938,30.375,30.279,31.5875,35.1054,UP,1
2000-02-01,31.75,31.0625,30.3278,31.35,35.0366,UP,1
2000-02-02,32.9375,32.4688,30.3818,31.5813,34.9954,UP,1
2000-02-03,34.0,33.0,30.4481,31.9063,34.9954,DOWN,0
2000-02-04,33.6875,34.0938,30.5242,32.6938,34.9935,UP,1
2000-02-07,37.0,33.75,30.6145,33.875,35.0541,UP,1
2000-02-08,38.0313,37.0313,30.7143,35.1313,35.1153,DOWN,0
