ticker,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-01-17,19.0,19.0,,,,UP,1
2013-01-18,24.79,25.1,,,,UP,1
2013-01-22,26.95,25.0,,,,UP,1
2013-01-23,27.49,28.0,,,,DOWN,0
2013-01-24,27.345,27.17,25.115,,,UP,1
2013-01-25,27.35,27.5,26.785,,,UP,1
2013-01-28,27.76,27.88,27.379,,,DOWN,0
2013-01-29,27.11,27.9,27.411,,,DOWN,0
2013-01-30,26.29,26.69,27.171,,,UP,1
2013-01-31,26.37,26.02,26.976,,,UP,1
2013-02-01,27.65,26.47,27.036,,,UP,1
2013-02-04,28.41,27.71,27.166,,,UP,1
2013-02-05,28.54,28.96,27.452,,,DOWN,0
2013-02-06,27.98,28.1,27.79,,,DOWN,0
2013-02-07,27.55,27.93,28.026,,,UP,1
2013-02-08,27.91,27.6,28.078,,,DOWN,0
2013-02-11,27.68,27.78,27.932,,,UP,1
2013-02-12,28.32,28.91,27.888,,,UP,1
2013-02-13,28.92,28.81,28.076,,,UP,1
2013-02-14,29.25,28.82,28.416,,,UP,1
2013-02-15,30.27,29.48,28.888,,,UP,1
2013-02-19,31.188,30.47,29.5896,,,DOWN,0
2013-02-20,30.8,31.19,30.0856,,,DOWN,0
2013-02-21,30.47,30.54,30.3956,,,DOWN,0
2013-02-22,29.99,30.95,30.5436,,,UP,1
2013-02-25,30.78,31.34,30.6456,,,DOWN,0
2013-02-26,30.21,30.81,30.45,,,UP,1
2013-02-27,30.26,30.56,30.342,,,UP,1
2013-02-28,30.98,30.55,30.444,,,UP,1
2013-03-01,30.99,30.5,30.644,,,DOWN,0
2013-03-04,30.45,30.55,30.578,,,DOWN,0
2013-03-05,30.03,30.12,30.542,,,DOWN,0
2013-03-06,30.02,30.19,30.494,,,UP,1
2013-03-07,30.29,29.85,30.356,,,UP,1
2013-03-08,30.3,30.98,30.218,,,UP,1
2013-03-11,30.66,30.5,30.26,,,UP,1
2013-03-12,30.85,30.33,30.424,,,DOWN,0
2013-03-13,30.78,30.93,30.576,,,DOWN,0
2013-03-14,29.995,30.73,30.517,,,DOWN,0
2013-03-15,29.82,29.6,30.421,,,UP,1
2013-03-18,30.29,29.8,30.347,,,DOWN,0
2013-03-19,30.26,30.29,30.229,,,UP,1
2013-03-20,30.502,30.27,30.1734,,,DOWN,0
2013-03-21,30.03,30.39,30.1804,,,UP,1
2013-03-22,30.18,30.03,30.2524,,,DOWN,0
2013-03-25,29.48,30.14,30.0904,,,UP,1
2013-03-26,29.54,29.93,29.9464,,,UP,1
2013-03-27,30.15,29.41,29.876,,,DOWN,0
2013-03-28,29.65,30.01,29.8,,,UP,1
2013-04-01,29.93,29.79,29.75,29.0362,,DOWN,0
2013-04-02,29.92,29.98,29.838,29.2546,,DOWN,0
2013-04-03,29.19,29.82,29.768,29.3426,,UP,1
2013-04-04,29.27,29.1,29.592,29.389,,UP,1
2013-04-05,29.3,29.02,29.522,29.4252,,UP,1
2013-04-08,29.99,29.41,29.534,29.4781,,UP,1
2013-04-09,30.34,30.15,29.618,29.5379,,UP,1
2013-04-10,30.53,30.46,29.886,29.5933,,UP,1
2013-04-11,30.64,30.33,30.16,29.6639,,DOWN,0
2013-04-12,30.5,30.51,30.4,29.7481,,DOWN,0
2013-04-15,30.07,30.41,30.416,29.8221,,DOWN,0
2013-04-16,30.0,30.18,30.348,29.8691,,DOWN,0
2013-04-17,29.55,29.95,30.152,29.8919,,DOWN,0
2013-04-18,29.34,29.65,29.892,29.9079,,UP,1
2013-04-19,29.43,29.52,29.678,29.9369,,DOWN,0
2013-04-22,29.38,29.42,29.54,29.9735,,DOWN,0
2013-04-23,29.34,29.51,29.408,30.0021,,DOWN,0
2013-04-24,28.9,29.4,29.278,30.0265,,UP,1
2013-04-25,30.06,29.59,29.422,30.0613,,UP,1
2013-04-26,30.39,30.45,29.614,30.0907,,DOWN,0
2013-04-29,30.36,30.5,29.81,30.1129,,UP,1
2013-04-30,31.01,30.33,30.144,30.1277,,UP,1
2013-05-01,31.09,31.36,30.582,30.1257,,UP,1
2013-05-02,31.36,31.15,30.842,30.1369,,UP,1
2013-05-03,31.53,31.39,31.07,30.1581,,UP,1
2013-05-06,31.82,31.66,31.362,30.1947,,DOWN,0
2013-05-07,31.66,31.9,31.492,30.2123,,UP,1
2013-05-08,31.9,31.82,31.654,30.2461,,DOWN,0
2013-05-09,31.71,31.54,31.724,30.2751,,DOWN,0
2013-05-10,31.01,31.68,31.62,30.2757,,DOWN,0
2013-05-13,30.46,31.06,31.348,30.2651,,UP,1
2013-05-14,30.76,30.6,31.168,30.2713,,UP,1
2013-05-15,31.36,30.63,31.06,30.2979,,UP,1
2013-05-16,31.42,31.4,31.002,30.3259,,UP,1
2013-05-17,31.56,31.19,31.112,30.3513,,UP,1
2013-05-20,32.03,31.61,31.426,30.3859,,DOWN,0
2013-05-21,32.0,31.8,31.674,30.4127,,DOWN,0
