ticker,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,NDAQ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-07-01,5.0,5.0,,,,UP,1
2002-07-02,5.0417,5.1667,,,,DOWN,0
2002-07-03,5.0,4.6667,,,,DOWN,0
2002-07-05,5.0,5.0,,,,DOWN,0
2002-07-08,4.6667,4.6667,4.9417,,,UP,1
2002-07-09,5.1667,4.6667,4.975,,,DOWN,0
2002-07-10,5.1667,4.5833,5.0,,,DOWN,0
2002-07-12,5.0,5.0,5.0,,,DOWN,0
2002-07-15,4.25,4.9167,4.85,,,DOWN,0
2002-07-16,4.1667,4.25,4.75,,,DOWN,0
2002-07-17,4.1667,4.1667,4.55,,,DOWN,0
2002-07-18,3.9167,4.1,4.3,,,DOWN,0
2002-07-19,3.5,3.8667,4.0,,,DOWN,0
2002-07-22,3.4,3.5,3.83,,,DOWN,0
2002-07-23,3.4,3.4,3.6767,,,UP,1
2002-07-24,3.5,3.4,3.5433,,,DOWN,0
2002-07-25,3.3833,3.5,3.4367,,,UP,1
2002-07-29,3.7,3.5,3.4767,,,UP,1
2002-07-30,3.8333,3.75,3.5633,,,UP,1
2002-07-31,4.0,3.9667,3.6833,,,DOWN,0
2002-08-01,3.9333,3.9333,3.77,,,UP,1
2002-08-05,3.95,3.9667,3.8833,,,UP,1
2002-08-06,4.0,4.0,3.9433,,,UP,1
2002-08-07,4.0167,3.9933,3.98,,,UP,1
2002-08-08,4.0333,4.0333,3.9867,,,UP,1
2002-08-09,4.05,4.05,4.01,,,DOWN,0
2002-08-12,4.05,4.05,4.03,,,UP,1
2002-08-13,4.0667,4.0667,4.0433,,,DOWN,0
2002-08-14,4.0667,4.05,4.0533,,,DOWN,0
2002-08-15,4.0333,4.05,4.0533,,,UP,1
2002-08-16,4.05,4.0,4.0533,,,DOWN,0
2002-08-19,3.8833,4.05,4.02,,,DOWN,0
2002-08-20,3.8667,3.8667,3.98,,,UP,1
2002-08-21,3.9167,3.9667,3.95,,,DOWN,0
2002-08-22,3.6667,3.9167,3.8767,,,UP,1
2002-08-23,3.7,3.6667,3.8067,,,DOWN,0
2002-08-26,3.6233,3.6667,3.7547,,,DOWN,0
2002-08-27,3.5033,3.6167,3.682,,,DOWN,0
2002-08-28,3.3667,3.5,3.572,,,UP,1
2002-08-29,3.4,3.4,3.5187,,,DOWN,0
2002-08-30,3.3333,3.4333,3.4453,,,DOWN,0
2002-09-03,3.3,3.3167,3.3807,,,DOWN,0
2002-09-04,3.1,3.1167,3.3,,,DOWN,0
2002-09-05,3.1,3.1,3.2467,,,UP,1
2002-09-06,3.2333,3.1,3.2133,,,UP,1
2002-09-09,3.2667,3.25,3.2,,,UP,1
2002-09-10,3.3,3.3,3.2,,,UP,1
2002-09-11,3.35,3.3333,3.25,,,DOWN,0
2002-09-12,3.3,3.3667,3.29,,,UP,1
2002-09-13,3.3133,3.3,3.306,3.9006,,UP,1
2002-09-16,3.3333,3.3133,3.3193,3.8673,,DOWN,0
2002-09-17,3.3,3.25,3.3193,3.8325,,DOWN,0
2002-09-18,3.29,3.29,3.3073,3.7983,,DOWN,0
2002-09-19,3.2667,3.2667,3.3007,3.7636,,DOWN,0
2002-09-20,3.1333,3.2167,3.2647,3.7329,,UP,1
2002-09-23,3.2333,3.25,3.2447,3.6943,,DOWN,0
2002-09-24,3.1333,3.1333,3.2113,3.6536,,UP,1
2002-09-25,3.2,3.2,3.1933,3.6176,,UP,1
2002-09-26,3.2333,3.2333,3.1867,3.5973,,DOWN,0
2002-09-27,3.1633,3.2,3.1927,3.5772,,DOWN,0
2002-09-30,3.1167,3.1,3.1693,3.5562,,UP,1
2002-10-01,3.1667,3.1667,3.176,3.5412,,DOWN,0
2002-10-02,3.1567,3.1667,3.1673,3.5343,,UP,1
2002-10-03,3.1833,3.1833,3.1573,3.53,,DOWN,0
2002-10-04,3.1833,3.1833,3.1613,3.5257,,DOWN,0
2002-10-07,3.1667,3.1333,3.1713,3.519,,DOWN,0
2002-10-08,3.0833,3.1,3.1547,3.513,,DOWN,0
2002-10-09,3.0,3.0833,3.1233,3.499,,DOWN,0
2002-10-10,3.0,3.0,3.0867,3.4823,,DOWN,0
2002-10-11,3.0,3.0333,3.05,3.4623,,DOWN,0
2002-10-14,2.9967,2.9833,3.016,3.4436,,DOWN,0
2002-10-15,2.8833,2.9333,2.976,3.4223,,DOWN,0
2002-10-16,2.7833,2.8167,2.9327,3.3979,,DOWN,0
2002-10-17,2.75,2.7667,2.8827,3.3726,,DOWN,0
2002-10-18,2.75,2.75,2.8327,3.3469,,DOWN,0
2002-10-21,2.6833,2.75,2.77,3.3196,,DOWN,0
2002-10-22,2.6667,2.6667,2.7267,3.2919,,DOWN,0
2002-10-23,2.6,2.6,2.69,3.2626,,DOWN,0
2002-10-24,2.4167,2.5667,2.6233,3.2296,,DOWN,0
2002-10-25,2.4,2.3333,2.5533,3.1969,,DOWN,0
