ticker,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,12.3281,12.4922,13.2872,12.1344,11.8105,DOWN,0
2000-01-04,12.0,12.4297,13.2771,12.1781,11.827,UP,1
2000-01-05,12.0781,12.0,13.2675,12.1563,11.8458,DOWN,0
2000-01-06,11.9141,12.0781,13.2568,12.0766,11.8628,UP,1
2000-01-07,11.9531,11.9375,13.2456,12.0547,11.8788,DOWN,0
2000-01-10,11.7813,11.7188,13.2352,11.9453,11.8872,UP,1
2000-01-11,12.0469,11.875,13.2248,11.9547,11.9066,UP,1
2000-01-12,12.1094,11.9375,13.2169,11.9609,11.9266,DOWN,0
2000-01-13,12.0938,12.25,13.2064,11.9969,11.9469,DOWN,0
2000-01-14,12.0313,12.3086,13.1965,12.0125,11.9681,DOWN,0
2000-01-18,11.6719,11.8281,13.1857,11.9906,11.9825,UP,1
2000-01-19,12.0,11.6719,13.1773,11.9813,12.0031,DOWN,0
2000-01-20,11.875,11.7813,13.1704,11.9344,12.0156,DOWN,0
2000-01-21,11.5625,11.7891,13.1631,11.8281,12.0225,DOWN,0
2000-01-24,11.4063,11.3906,13.154,11.7031,12.0344,DOWN,0
2000-01-25,10.9063,11.3281,13.1405,11.55,12.0275,DOWN,0
2000-01-26,10.5,11.5,13.1242,11.25,12.0163,UP,1
2000-01-27,10.75,10.7656,13.1088,11.025,12.0113,DOWN,0
2000-01-28,10.6406,10.8125,13.0927,10.8406,11.9988,UP,1
2000-01-31,10.75,10.5625,13.0761,10.7094,11.9888,DOWN,0
2000-02-01,10.625,10.7813,13.0595,10.6531,11.9552,DOWN,0
2000-02-02,10.25,11.0,13.042,10.6031,11.9139,DOWN,0
2000-02-03,10.2031,10.4688,13.0205,10.4938,11.8755,UP,1
2000-02-04,10.3438,10.0313,12.9951,10.4344,11.8427,UP,1
2000-02-07,10.5625,10.25,12.9691,10.3969,11.8142,DOWN,0
