ticker,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.1563,5.2969,6.5457,5.2984,5.6334,UP,1
2000-01-04,5.25,5.125,6.5366,5.2781,5.6184,UP,1
2000-01-05,5.4219,5.2031,6.5283,5.3031,5.6061,DOWN,0
2000-01-06,5.4219,5.4297,6.5193,5.3203,5.5939,UP,1
2000-01-07,5.5781,5.4531,6.5115,5.3656,5.583,DOWN,0
2000-01-10,5.5313,5.5,6.5041,5.4406,5.5686,DOWN,0
2000-01-11,5.4688,5.4844,6.4968,5.4844,5.5522,UP,1
2000-01-12,5.5859,5.4688,6.491,5.5172,5.5389,DOWN,0
2000-01-13,5.5313,5.6016,6.4854,5.5391,5.5239,DOWN,0
2000-01-14,5.4297,5.5156,6.4789,5.5094,5.5083,DOWN,0
2000-01-18,5.2969,5.3984,6.471,5.4625,5.4922,UP,1
2000-01-19,5.4219,5.3047,6.4643,5.4531,5.4781,DOWN,0
2000-01-20,5.3594,5.3594,6.4574,5.4078,5.4651,UP,1
2000-01-21,5.5,5.3906,6.4503,5.4016,5.4572,DOWN,0
2000-01-24,5.4688,5.5391,6.4436,5.4094,5.4497,DOWN,0
2000-01-25,5.2813,5.4922,6.4354,5.4063,5.4378,UP,1
2000-01-26,5.2969,5.3125,6.4283,5.3813,5.4269,DOWN,0
2000-01-27,5.1875,5.25,6.4206,5.3469,5.4145,DOWN,0
2000-01-28,5.1641,5.1875,6.4126,5.2797,5.4012,UP,1
2000-01-31,5.2734,5.1953,6.4049,5.2406,5.3901,DOWN,0
2000-02-01,5.1641,5.2266,6.3958,5.2172,5.3787,UP,1
2000-02-02,5.1953,5.1953,6.3864,5.1969,5.3692,UP,1
2000-02-03,5.3594,5.1953,6.3779,5.2313,5.3645,DOWN,0
2000-02-04,5.2031,5.3594,6.3688,5.2391,5.3589,UP,1
2000-02-07,5.2109,5.2031,6.3598,5.2266,5.3533,UP,1
