ticker,NEM US Equity,NEM US Equity,NEM US Equity,NEM US Equity,NEM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,24.0625,24.0,20.9569,24.4875,22.9551,DOWN,0
2000-01-04,22.25,23.25,20.9791,23.975,22.9038,UP,1
2000-01-05,22.5,22.5,21.0035,23.5125,22.8626,DOWN,0
2000-01-06,22.25,22.0625,21.0235,23.1125,22.8601,DOWN,0
2000-01-07,21.4375,22.5,21.0397,22.5,22.8376,DOWN,0
2000-01-10,21.375,21.5,21.0588,21.9625,22.8263,UP,1
2000-01-11,22.625,21.625,21.0866,22.0375,22.8401,DOWN,0
2000-01-12,22.125,22.1875,21.1141,21.9625,22.8701,DOWN,0
2000-01-13,21.375,22.125,21.1335,21.7875,22.8663,DOWN,0
2000-01-14,20.8125,21.375,21.1516,21.6625,22.8526,UP,1
2000-01-18,22.125,21.0625,21.1785,21.8125,22.8676,DOWN,0
2000-01-19,21.875,22.125,21.2025,21.6625,22.8938,DOWN,0
2000-01-20,21.0625,21.1875,21.2238,21.45,22.8888,UP,1
2000-01-21,21.1875,20.9375,21.246,21.4125,22.8801,DOWN,0
2000-01-24,20.5,20.25,21.2594,21.35,22.8301,DOWN,0
2000-01-25,19.375,20.5,21.2625,20.8,22.7726,UP,1
2000-01-26,19.625,19.9375,21.2672,20.35,22.7263,UP,1
2000-01-27,21.4375,20.125,21.2847,20.425,22.6951,DOWN,0
2000-01-28,20.0625,21.4375,21.2875,20.2,22.6413,UP,1
2000-01-31,20.375,20.25,21.2831,20.175,22.6101,DOWN,0
2000-02-01,19.875,20.125,21.2722,20.275,22.5676,UP,1
2000-02-02,20.875,20.375,21.2688,20.525,22.5488,UP,1
2000-02-03,21.25,20.8125,21.271,20.4875,22.5488,UP,1
2000-02-04,24.0,22.4375,21.2838,21.275,22.5625,DOWN,0
2000-02-07,22.75,25.4375,21.291,21.75,22.5188,DOWN,0
2000-02-08,22.0,22.625,21.3,22.175,22.46,UP,1
