ticker,NI US Equity,NI US Equity,NI US Equity,NI US Equity,NI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,6.9259,6.9996,9.4526,7.0291,7.4819,UP,1
2000-01-04,6.9996,6.8768,9.434,7.0143,7.4652,UP,1
2000-01-05,7.2943,7.0733,9.4163,7.0634,7.449,DOWN,0
2000-01-06,7.2452,7.2697,9.3953,7.0978,7.4353,DOWN,0
2000-01-07,7.2206,7.2206,9.3753,7.1371,7.4191,UP,1
2000-01-10,7.3925,7.2943,9.3568,7.2304,7.4053,DOWN,0
2000-01-11,7.1715,7.3434,9.337,7.2648,7.3876,UP,1
2000-01-12,7.2943,7.1224,9.3185,7.2648,7.3699,DOWN,0
2000-01-13,7.2206,7.2206,9.3016,7.2599,7.3503,DOWN,0
2000-01-14,7.0978,7.2206,9.2827,7.2354,7.3307,DOWN,0
2000-01-18,6.8768,6.9996,9.2631,7.1322,7.3027,UP,1
2000-01-19,7.0733,6.8522,9.2451,7.1126,7.2791,UP,1
2000-01-20,7.2697,7.0487,9.2286,7.1076,7.2589,UP,1
2000-01-21,7.8346,7.1715,9.2139,7.2304,7.253,UP,1
2000-01-24,8.3749,7.8592,9.2021,7.4859,7.2604,DOWN,0
2000-01-25,7.7609,8.3749,9.187,7.6627,7.258,DOWN,0
2000-01-26,7.6136,7.7609,9.1719,7.7708,7.2525,DOWN,0
2000-01-27,7.5153,7.589,9.1567,7.8199,7.2432,DOWN,0
2000-01-28,7.2206,7.4908,9.1403,7.6971,7.2295,DOWN,0
2000-01-31,7.2206,7.2206,9.1239,7.4662,7.2162,UP,1
2000-02-01,7.3925,7.2943,9.1069,7.3925,7.2098,DOWN,0
2000-02-02,7.2943,7.3925,9.0887,7.3287,7.1995,UP,1
2000-02-03,7.4662,7.3189,9.0721,7.3189,7.1951,DOWN,0
2000-02-04,7.3925,7.5645,9.0556,7.3532,7.1926,DOWN,0
2000-02-07,7.0733,7.4662,9.0381,7.3238,7.1848,DOWN,0
