ticker,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,23.984,24.636,28.6535,24.0572,24.3289,UP,1
2000-01-04,24.295,24.324,28.6321,24.216,24.3187,DOWN,0
2000-01-05,24.267,24.295,28.6136,24.301,24.3147,DOWN,0
2000-01-06,23.813,24.04,28.5924,24.1763,24.2943,UP,1
2000-01-07,24.38,23.927,28.5747,24.1479,24.2847,DOWN,0
2000-01-10,24.097,24.494,28.5593,24.1706,24.2637,UP,1
2000-01-11,24.522,24.04,28.544,24.216,24.2563,DOWN,0
2000-01-12,24.267,24.636,28.5303,24.216,24.2444,DOWN,0
2000-01-13,24.267,24.324,28.5159,24.3067,24.2331,DOWN,0
2000-01-14,24.154,24.267,28.5004,24.2613,24.2172,DOWN,0
2000-01-18,23.643,23.53,28.4827,24.1706,24.1911,DOWN,0
2000-01-19,22.906,23.473,28.4639,23.8474,24.1532,UP,1
2000-01-20,23.02,23.02,28.4474,23.598,24.1276,UP,1
2000-01-21,23.672,23.246,28.4348,23.4789,24.1135,DOWN,0
2000-01-24,22.112,23.672,28.4138,23.0707,24.0579,DOWN,0
2000-01-25,21.659,22.283,28.3846,22.6738,24.0142,UP,1
2000-01-26,21.716,21.829,28.3583,22.4356,23.9649,UP,1
2000-01-27,22.679,21.772,28.3325,22.3676,23.9298,UP,1
2000-01-28,22.708,22.736,28.3028,22.1748,23.8986,UP,1
2000-01-31,22.793,22.736,28.2681,22.3109,23.8521,DOWN,0
2000-02-01,22.793,23.02,28.2297,22.5377,23.7897,DOWN,0
2000-02-02,22.679,22.906,28.1965,22.7305,23.7188,DOWN,0
2000-02-03,22.651,22.963,28.1628,22.7248,23.6593,UP,1
2000-02-04,23.473,22.736,28.1345,22.8779,23.6236,DOWN,0
2000-02-07,22.623,23.813,28.1021,22.8439,23.5839,DOWN,0
2000-02-08,22.424,22.509,28.069,22.7702,23.542,DOWN,0
