ticker,NTAP US Equity,NTAP US Equity,NTAP US Equity,NTAP US Equity,NTAP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,42.5,44.9375,18.5633,41.9188,30.8441,DOWN,0
2000-01-04,37.125,41.1875,18.6816,40.925,31.2341,UP,1
2000-01-05,39.1875,40.375,18.8164,40.5563,31.685,DOWN,0
2000-01-06,35.0313,38.5,18.9273,39.075,32.0525,UP,1
2000-01-07,42.5,34.5,19.0752,39.2688,32.5825,UP,1
2000-01-10,44.3125,44.2813,19.2328,39.6313,33.1297,DOWN,0
2000-01-11,41.25,45.5,19.373,40.4563,33.5847,UP,1
2000-01-12,43.5625,41.0,19.5252,41.3313,34.0859,DOWN,0
2000-01-13,42.8594,44.0,19.6762,42.8969,34.5444,UP,1
2000-01-14,46.8438,44.0,19.8398,43.7656,35.05,UP,1
2000-01-18,59.0625,48.9375,20.0616,46.7156,35.8013,DOWN,0
2000-01-19,54.25,56.8125,20.2604,49.3156,36.4341,UP,1
2000-01-20,57.5,57.3125,20.4788,52.1031,37.1069,UP,1
2000-01-21,58.5625,57.875,20.7005,55.2438,37.7806,DOWN,0
2000-01-24,51.0,59.9375,20.8823,56.075,38.315,UP,1
2000-01-25,53.5938,51.875,21.0766,54.9813,38.9119,UP,1
2000-01-26,54.1875,54.125,21.2681,54.9688,39.5363,DOWN,0
2000-01-27,51.4375,55.3125,21.4463,53.7563,40.1156,DOWN,0
2000-01-28,49.5938,50.6563,21.6209,51.9625,40.5903,UP,1
2000-01-31,50.1875,50.4375,21.8019,51.8,40.9741,UP,1
2000-02-01,53.9063,52.0625,22.0102,51.8625,41.4584,UP,1
2000-02-02,56.5625,54.5625,22.2308,52.3375,42.0106,UP,1
2000-02-03,57.3125,57.5,22.448,53.5125,42.5669,UP,1
2000-02-04,63.9688,58.0625,22.6992,56.3875,43.2534,DOWN,0
2000-02-07,62.6875,65.6875,22.9433,58.8875,43.8922,UP,1
