ticker,NTRS US Equity,NTRS US Equity,NTRS US Equity,NTRS US Equity,NTRS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,50.4688,52.5625,45.9418,52.3531,49.1097,DOWN,0
2000-01-04,47.1875,49.625,45.9468,51.4469,49.1297,UP,1
2000-01-05,48.25,47.5,45.9624,50.5469,49.1841,UP,1
2000-01-06,49.25,48.1875,45.9846,49.6313,49.2697,UP,1
2000-01-07,49.875,49.1406,46.009,49.0063,49.3484,DOWN,0
2000-01-10,48.625,49.9375,46.0295,48.6375,49.3472,DOWN,0
2000-01-11,47.75,48.375,46.0423,48.75,49.3366,UP,1
2000-01-12,49.9375,47.75,46.0679,49.0875,49.3641,UP,1
2000-01-13,54.8125,52.0,46.1199,50.2,49.4778,UP,1
2000-01-14,54.875,55.5,46.1724,51.2,49.6016,UP,1
2000-01-18,55.5625,54.4375,46.2301,52.5875,49.7316,UP,1
2000-01-19,57.1875,55.6875,46.2971,54.475,49.8722,DOWN,0
2000-01-20,53.9375,57.1875,46.3434,55.275,49.9378,UP,1
2000-01-21,55.0625,55.0,46.3873,55.325,50.0697,DOWN,0
2000-01-24,53.4375,55.0,46.4171,55.0375,50.1647,UP,1
2000-01-25,54.75,53.9375,46.4471,54.875,50.2978,UP,1
2000-01-26,57.0,54.875,46.4918,54.8375,50.4331,DOWN,0
2000-01-27,55.625,57.0625,46.5284,55.175,50.5588,DOWN,0
2000-01-28,54.0,55.375,46.5572,54.9625,50.6263,UP,1
2000-01-31,60.375,53.875,46.6242,56.35,50.8375,UP,1
2000-02-01,60.625,59.75,46.6844,57.525,51.0525,DOWN,0
2000-02-02,58.9063,61.25,46.7336,57.9063,51.2306,DOWN,0
2000-02-03,57.0625,59.8125,46.7764,58.1938,51.4056,UP,1
2000-02-04,58.1875,57.5938,46.8248,59.0313,51.6138,UP,1
2000-02-07,59.25,58.0,46.8836,58.8063,51.8481,UP,1
2000-02-08,59.4063,59.4375,46.948,58.5625,52.0844,DOWN,0
