ticker,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,13.5781,13.7031,12.5305,13.725,13.0678,DOWN,0
2000-01-04,13.4375,13.5625,12.5424,13.6125,13.1068,UP,1
2000-01-05,13.8125,13.4063,12.5579,13.625,13.1381,UP,1
2000-01-06,13.9375,13.7813,12.5729,13.6938,13.1693,UP,1
2000-01-07,13.9844,13.9063,12.5871,13.75,13.2031,DOWN,0
2000-01-10,13.4844,13.9844,12.5977,13.7313,13.2206,UP,1
2000-01-11,13.7656,13.5938,12.6099,13.7969,13.2365,DOWN,0
2000-01-12,13.2969,13.7656,12.6216,13.6938,13.25,UP,1
2000-01-13,13.75,13.375,12.6353,13.6563,13.2646,DOWN,0
2000-01-14,13.7031,13.75,12.6454,13.6,13.2825,DOWN,0
2000-01-18,13.4375,13.75,12.6513,13.5906,13.2971,UP,1
2000-01-19,13.8125,13.4688,12.66,13.6,13.3137,DOWN,0
2000-01-20,13.0938,13.7813,12.6636,13.5594,13.3237,DOWN,0
2000-01-21,12.7656,13.1563,12.6654,13.3625,13.3271,DOWN,0
2000-01-24,12.3281,12.8281,12.6647,13.0875,13.3212,DOWN,0
2000-01-25,12.2344,12.5,12.6625,12.8469,13.3078,DOWN,0
2000-01-26,12.1719,12.1875,12.6579,12.5188,13.3018,UP,1
2000-01-27,12.6406,12.1875,12.6514,12.4281,13.2996,UP,1
2000-01-28,12.6719,12.6094,12.6428,12.4094,13.2978,DOWN,0
2000-01-31,12.4375,12.4688,12.6316,12.4313,13.2981,UP,1
2000-02-01,12.4688,12.4688,12.6207,12.4781,13.2903,DOWN,0
2000-02-02,12.3906,12.5,12.6123,12.5219,13.2812,UP,1
2000-02-03,12.4688,12.4375,12.6052,12.4875,13.2784,DOWN,0
2000-02-04,12.1875,12.4063,12.5957,12.3906,13.275,DOWN,0
2000-02-07,12.0,11.875,12.5864,12.3031,13.2619,DOWN,0
