ticker,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,46.563,47.75,49.5638,46.775,45.8613,DOWN,0
2000-01-04,46.0,46.375,49.5847,46.7625,45.9188,DOWN,0
2000-01-05,45.875,46.0,49.6069,46.6875,45.9813,DOWN,0
2000-01-06,45.875,45.625,49.6313,46.4125,46.0588,UP,1
2000-01-07,46.75,45.5,49.6556,46.2125,46.2338,UP,1
2000-01-10,47.375,47.125,49.6847,46.375,46.4113,UP,1
2000-01-11,47.5,47.25,49.7134,46.675,46.5413,UP,1
2000-01-12,47.813,47.375,49.745,47.0625,46.63,UP,1
2000-01-13,48.875,47.75,49.7788,47.6625,46.695,DOWN,0
2000-01-14,48.813,49.125,49.8131,48.075,46.7488,DOWN,0
2000-01-18,47.75,48.625,49.8422,48.15,46.775,DOWN,0
2000-01-19,47.75,47.625,49.8688,48.2,46.7875,UP,1
2000-01-20,48.25,47.75,49.8963,48.2875,46.81,UP,1
2000-01-21,48.563,48.75,49.9272,48.225,46.8375,UP,1
2000-01-24,48.75,48.75,49.9566,48.2125,46.855,UP,1
2000-01-25,49.25,48.75,49.99,48.5125,46.875,DOWN,0
2000-01-26,48.625,49.0,50.0194,48.6875,46.8825,DOWN,0
2000-01-27,47.125,48.5,50.04,48.4625,46.8575,DOWN,0
2000-01-28,46.375,47.125,50.0506,48.025,46.805,DOWN,0
2000-01-31,45.25,46.375,50.0563,47.325,46.7138,DOWN,0
2000-02-01,44.875,45.0,50.0556,46.45,46.6125,DOWN,0
2000-02-02,44.625,45.125,50.0538,45.65,46.5025,DOWN,0
2000-02-03,44.375,44.5,50.0394,45.1,46.4038,UP,1
2000-02-04,45.313,44.125,50.0372,44.8875,46.3463,UP,1
2000-02-07,45.875,45.313,50.0303,45.0125,46.295,DOWN,0
2000-02-08,45.875,45.625,50.0194,45.2125,46.2388,DOWN,0
