ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,0.9877,0.9438,1.0732,1.0096,1.0833,DOWN,0
2000-01-04,0.9657,0.9657,1.0731,0.9855,1.0776,UP,1
2000-01-05,1.0864,1.0864,1.0736,0.9942,1.0747,DOWN,0
2000-01-06,0.9877,0.9877,1.0737,0.9942,1.069,DOWN,0
2000-01-07,0.9877,0.9877,1.0738,1.003,1.0629,UP,1
2000-01-10,1.0974,1.0206,1.0744,1.025,1.0589,DOWN,0
2000-01-11,0.9547,1.0754,1.0741,1.0228,1.0552,UP,1
2000-01-12,1.0206,0.9877,1.074,1.0096,1.0554,DOWN,0
2000-01-14,0.9986,1.0316,1.0739,1.0118,1.0541,UP,1
2000-01-18,1.0535,0.9986,1.074,1.025,1.0537,UP,1
2000-01-19,1.0864,1.0425,1.0743,1.0228,1.053,UP,1
2000-01-20,1.1193,1.0754,1.0749,1.0557,1.0543,DOWN,0
2000-01-21,1.0864,1.0864,1.0752,1.0689,1.0554,UP,1
2000-01-24,1.1084,1.1084,1.0756,1.0908,1.057,DOWN,0
2000-01-25,1.1029,1.1084,1.0759,1.1007,1.0573,UP,1
2000-01-26,1.1084,1.1139,1.0765,1.1051,1.0577,DOWN,0
2000-01-27,1.1084,1.1084,1.077,1.1029,1.059,UP,1
2000-01-28,1.1193,1.1193,1.0778,1.1095,1.0634,DOWN,0
2000-01-31,1.0425,1.1084,1.0781,1.0963,1.0632,DOWN,0
2000-02-01,1.0425,1.059,1.0784,1.0842,1.0627,UP,1
2000-02-02,1.0535,1.1139,1.0788,1.0733,1.0617,UP,1
2000-02-03,1.1193,1.0535,1.0794,1.0754,1.0615,DOWN,0
2000-02-04,1.1193,1.1193,1.0799,1.0754,1.0613,DOWN,0
2000-02-07,1.1029,1.1193,1.0802,1.0875,1.0605,UP,1
2000-02-08,1.1193,1.0864,1.081,1.1029,1.0603,DOWN,0
