ticker,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-04-06,17.0,,,,,UP,1
2017-04-07,23.51,23.56,,,,DOWN,0
2017-04-10,23.25,23.7,,,,UP,1
2017-04-11,23.3,23.15,,,,DOWN,0
2017-04-12,23.0,23.19,22.012,,,UP,1
2017-04-13,24.49,22.85,23.51,,,DOWN,0
2017-04-17,24.47,24.66,23.702,,,DOWN,0
2017-04-18,23.57,24.33,23.766,,,DOWN,0
2017-04-19,23.35,23.74,23.776,,,UP,1
2017-04-20,24.01,23.16,23.978,,,UP,1
2017-04-21,24.29,23.78,23.938,,,DOWN,0
2017-04-24,23.94,24.74,23.832,,,UP,1
2017-04-25,24.71,24.12,24.06,,,UP,1
2017-04-26,25.52,25.0,24.494,,,UP,1
2017-04-27,26.32,25.9,24.956,,,DOWN,0
2017-04-28,26.05,26.74,25.308,,,DOWN,0
2017-05-01,25.52,26.5,25.624,,,DOWN,0
2017-05-02,24.76,25.55,25.634,,,UP,1
2017-05-03,24.975,24.4,25.525,,,DOWN,0
2017-05-04,24.97,24.95,25.255,,,UP,1
2017-05-05,25.15,24.96,25.075,,,DOWN,0
2017-05-08,23.73,25.0,24.717,,,UP,1
2017-05-09,23.86,23.63,24.537,,,DOWN,0
2017-05-10,23.45,23.85,24.232,,,DOWN,0
2017-05-11,23.34,23.36,23.906,,,UP,1
2017-05-12,23.7,23.36,23.616,,,UP,1
2017-05-15,23.74,23.94,23.618,,,DOWN,0
2017-05-16,23.26,23.85,23.498,,,DOWN,0
2017-05-17,22.91,23.15,23.39,,,UP,1
2017-05-18,22.99,22.98,23.32,,,UP,1
2017-05-19,24.24,23.08,23.428,,,UP,1
2017-05-22,25.01,24.25,23.682,,,DOWN,0
2017-05-23,24.52,25.05,23.934,,,DOWN,0
2017-05-24,24.24,24.7144,24.2,,,UP,1
2017-05-25,25.06,24.29,24.614,,,UP,1
2017-05-26,25.99,25.0,24.964,,,DOWN,0
2017-05-30,25.99,26.11,25.16,,,UP,1
2017-05-31,26.1,26.3,25.476,,,DOWN,0
2017-06-01,25.3,26.29,25.688,,,DOWN,0
2017-06-02,24.93,25.28,25.662,,,DOWN,0
2017-06-05,24.61,25.06,25.386,,,UP,1
2017-06-06,24.85,24.5,25.158,,,UP,1
2017-06-07,25.69,25.39,25.076,,,UP,1
2017-06-08,27.15,27.6,25.446,,,DOWN,0
2017-06-09,25.09,27.43,25.478,,,DOWN,0
2017-06-12,23.81,25.5,25.318,,,UP,1
2017-06-13,25.53,24.0,25.454,,,UP,1
2017-06-14,26.55,25.67,25.626,,,DOWN,0
2017-06-15,25.64,26.24,25.324,,,UP,1
2017-06-16,26.48,25.71,25.602,24.4783,,UP,1
2017-06-19,27.31,26.67,26.302,24.6845,,DOWN,0
2017-06-20,26.61,27.39,26.518,24.7465,,DOWN,0
2017-06-21,25.94,26.69,26.396,24.8003,,UP,1
2017-06-22,26.3,25.94,26.528,24.8603,,DOWN,0
2017-06-23,25.53,26.28,26.338,24.9109,,DOWN,0
2017-06-26,25.28,25.59,25.932,24.9267,,DOWN,0
2017-06-27,24.04,25.1,25.418,24.9181,,DOWN,0
2017-06-28,23.99,24.2,25.028,24.9265,,DOWN,0
2017-06-29,23.29,23.89,24.426,24.9253,,DOWN,0
2017-06-30,22.8,23.14,23.88,24.9011,,DOWN,0
2017-07-03,22.5,23.0,23.324,24.8653,,DOWN,0
2017-07-05,22.38,22.67,22.992,24.8341,,UP,1
2017-07-06,22.78,22.11,22.75,24.7955,,UP,1
2017-07-07,23.4,22.82,22.772,24.7531,,DOWN,0
2017-07-10,23.21,23.41,22.854,24.6909,,DOWN,0
2017-07-11,23.02,23.08,22.958,24.6303,,UP,1
2017-07-12,23.32,22.93,23.146,24.5863,,DOWN,0
2017-07-13,23.19,23.24,23.228,24.5549,,DOWN,0
2017-07-14,23.14,23.07,23.176,24.5182,,UP,1
2017-07-17,23.76,22.99,23.286,24.494,,DOWN,0
2017-07-18,23.75,23.53,23.432,24.466,,UP,1
2017-07-19,24.15,23.7,23.598,24.4744,,DOWN,0
2017-07-20,24.03,24.12,23.766,24.4778,,UP,1
2017-07-21,24.27,24.2,23.992,24.4942,,DOWN,0
2017-07-24,23.66,24.17,23.972,24.5006,,UP,1
2017-07-25,23.68,23.58,23.958,24.5002,,DOWN,0
2017-07-26,23.52,23.88,23.832,24.4958,,DOWN,0
2017-07-27,22.69,23.56,23.564,24.4844,,DOWN,0
2017-07-28,22.37,22.58,23.184,24.4736,,DOWN,0
2017-07-31,21.95,22.56,22.842,24.4528,,UP,1
2017-08-01,22.69,22.28,22.644,24.4218,,DOWN,0
2017-08-02,22.19,22.72,22.378,24.3654,,UP,1
2017-08-03,22.82,22.06,22.404,24.3314,,UP,1
2017-08-04,23.01,22.77,22.532,24.3068,,UP,1
2017-08-07,23.44,22.93,22.83,24.2744,,UP,1
2017-08-08,23.56,23.35,23.004,24.2258,,UP,1
