ticker,OMC US Equity,OMC US Equity,OMC US Equity,OMC US Equity,OMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,48.4375,50.0,39.2582,49.725,46.0409,DOWN,0
2000-01-04,46.8438,48.4375,39.3035,49.0813,46.1952,DOWN,0
2000-01-05,45.5,46.5625,39.3472,48.125,46.3109,UP,1
2000-01-06,45.75,45.5,39.3896,47.3063,46.4227,UP,1
2000-01-07,47.6875,45.875,39.4401,46.8438,46.5615,UP,1
2000-01-10,49.8125,48.5,39.4954,47.1188,46.7115,DOWN,0
2000-01-11,48.7188,49.625,39.5429,47.4938,46.8059,DOWN,0
2000-01-12,48.5625,48.75,39.5872,48.1063,46.9071,DOWN,0
2000-01-13,48.5,48.5625,39.6299,48.6563,47.0571,DOWN,0
2000-01-14,47.9375,49.0,39.6787,48.7063,47.194,DOWN,0
2000-01-18,46.7813,48.0,39.7162,48.1,47.2996,UP,1
2000-01-19,48.6563,46.8125,39.7654,48.0875,47.4677,DOWN,0
2000-01-20,46.8438,49.9375,39.7997,47.7438,47.5846,UP,1
2000-01-21,47.4688,47.125,39.833,47.5375,47.7227,DOWN,0
2000-01-24,46.0,47.5938,39.8521,47.15,47.7959,DOWN,0
2000-01-25,45.2188,46.125,39.8654,46.8375,47.8134,UP,1
2000-01-26,46.9063,45.5,39.8918,46.4875,47.8615,DOWN,0
2000-01-27,46.5938,46.75,39.9285,46.4375,47.8952,UP,1
2000-01-28,47.3125,45.75,39.9788,46.4063,47.9465,DOWN,0
2000-01-31,46.8438,47.1875,40.0251,46.575,47.9746,UP,1
2000-02-01,48.1875,46.8438,40.0882,47.1688,48.0102,DOWN,0
2000-02-02,47.375,48.1875,40.1443,47.2625,48.0302,DOWN,0
2000-02-03,47.0,47.3125,40.1887,47.3438,48.0427,DOWN,0
2000-02-04,46.875,47.0,40.2283,47.2563,48.0671,DOWN,0
2000-02-07,45.9375,46.6875,40.2668,47.075,48.0652,UP,1
