ticker,ON US Equity,ON US Equity,ON US Equity,ON US Equity,ON US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-04-27,16.0,16.0,,,,UP,1
2000-04-28,21.9375,22.0,,,,UP,1
2000-05-01,25.0,23.25,,,,DOWN,0
2000-05-02,24.0,24.875,,,,DOWN,0
2000-05-03,22.5,23.6875,21.8875,,,DOWN,0
2000-05-04,21.125,23.5625,22.9125,,,DOWN,0
2000-05-05,20.875,20.75,22.7,,,DOWN,0
2000-05-08,20.25,20.4375,21.75,,,DOWN,0
2000-05-09,20.1875,20.625,20.9875,,,DOWN,0
2000-05-10,19.375,20.375,20.3625,,,UP,1
2000-05-11,20.0,19.875,20.1375,,,UP,1
2000-05-12,21.375,20.625,20.2375,,,UP,1
2000-05-15,21.6875,21.6875,20.525,,,UP,1
2000-05-16,22.25,21.8125,20.9375,,,DOWN,0
2000-05-17,21.875,21.625,21.4375,,,UP,1
2000-05-18,24.0,21.875,22.2375,,,DOWN,0
2000-05-19,22.75,23.25,22.5125,,,DOWN,0
2000-05-22,20.0,23.125,22.175,,,DOWN,0
2000-05-23,19.875,20.875,21.7,,,DOWN,0
2000-05-24,19.5,19.9375,21.225,,,DOWN,0
2000-05-25,18.1875,19.75,20.0625,,,DOWN,0
2000-05-26,18.0,18.1875,19.1125,,,UP,1
2000-05-30,20.0,18.0,19.1125,,,DOWN,0
2000-05-31,19.3125,20.6875,19.0,,,UP,1
2000-06-01,20.125,19.5938,19.125,,,UP,1
2000-06-02,23.0,20.6875,20.0875,,,DOWN,0
2000-06-05,22.875,22.75,21.0625,,,UP,1
2000-06-06,23.125,22.75,21.6875,,,DOWN,0
2000-06-07,22.25,23.1875,22.275,,,UP,1
2000-06-08,22.625,22.25,22.775,,,UP,1
2000-06-09,23.25,22.8125,22.825,,,UP,1
2000-06-12,24.0625,23.75,23.0625,,,DOWN,0
2000-06-13,23.4375,23.5625,23.125,,,DOWN,0
2000-06-14,22.9375,23.1563,23.2625,,,UP,1
2000-06-15,23.0,22.625,23.3375,,,DOWN,0
2000-06-16,21.0625,22.9688,22.9,,,UP,1
2000-06-19,21.25,21.5625,22.3375,,,UP,1
2000-06-20,21.875,21.375,22.025,,,UP,1
2000-06-21,22.6875,21.875,21.975,,,DOWN,0
2000-06-22,22.5,24.625,21.875,,,UP,1
2000-06-23,23.625,22.8125,22.3875,,,DOWN,0
2000-06-26,23.625,23.875,22.8625,,,DOWN,0
2000-06-27,22.9375,23.625,23.075,,,UP,1
2000-06-28,23.4375,23.0,23.225,,,DOWN,0
2000-06-29,23.0625,23.125,23.3375,,,DOWN,0
2000-06-30,21.875,22.375,22.9875,,,UP,1
2000-07-03,22.75,22.875,22.8125,,,DOWN,0
2000-07-05,21.5625,22.4375,22.5375,,,UP,1
2000-07-06,21.8125,21.5625,22.2125,,,DOWN,0
2000-07-07,21.8125,21.875,21.9625,21.7325,,DOWN,0
2000-07-10,21.75,21.75,21.9375,21.8475,,UP,1
2000-07-11,22.0,21.625,21.7875,21.8488,,DOWN,0
2000-07-12,21.9375,22.0625,21.8625,21.7875,,DOWN,0
2000-07-13,20.5,21.875,21.6,21.7175,,UP,1
2000-07-14,21.5625,22.1875,21.55,21.6988,,UP,1
2000-07-17,22.0,22.0,21.6,21.7163,,DOWN,0
2000-07-18,21.9375,22.0,21.5875,21.7375,,DOWN,0
2000-07-19,20.25,21.875,21.25,21.7375,,UP,1
2000-07-20,21.0,20.9375,21.35,21.7538,,DOWN,0
2000-07-21,20.5,21.6875,21.1375,21.7763,,UP,1
2000-07-24,20.75,20.375,20.8875,21.7913,,UP,1
2000-07-25,21.125,20.6875,20.725,21.7863,,UP,1
2000-07-26,21.1875,20.5,20.9125,21.7763,,DOWN,0
2000-07-27,20.0,21.0625,20.7125,21.7313,,DOWN,0
2000-07-28,20.0,20.0,20.6125,21.6938,,UP,1
2000-07-31,22.125,20.0,20.8875,21.6563,,DOWN,0
2000-08-01,21.625,21.75,20.9875,21.6338,,UP,1
2000-08-02,21.75,21.25,21.1,21.6688,,DOWN,0
2000-08-03,20.4375,20.8125,21.1875,21.68,,UP,1
2000-08-04,20.75,20.75,21.3375,21.705,,UP,1
2000-08-07,20.875,20.75,21.0875,21.7588,,DOWN,0
2000-08-08,20.6875,20.75,20.9,21.8125,,DOWN,0
2000-08-09,20.0,20.6875,20.55,21.8125,,DOWN,0
2000-08-10,17.25,20.2188,19.9125,21.7712,,DOWN,0
2000-08-11,17.25,17.25,19.2125,21.7138,,DOWN,0
2000-08-14,17.0,17.2813,18.4375,21.5938,,UP,1
2000-08-15,17.25,17.5625,17.75,21.4813,,DOWN,0
2000-08-16,17.125,17.5,17.175,21.3612,,DOWN,0
2000-08-17,16.875,16.9375,17.1,21.2538,,UP,1
2000-08-18,17.0,17.0,17.05,21.1413,,DOWN,0
2000-08-21,16.25,17.1875,16.9,21.0013,,UP,1
2000-08-22,16.75,16.25,16.8,20.855,,UP,1
2000-08-23,17.0,16.75,16.775,20.7263,,UP,1
