ticker,ORCL US Equity,ORCL US Equity,ORCL US Equity,ORCL US Equity,ORCL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,29.5313,31.1563,11.1033,27.8844,18.7778,DOWN,0
2000-01-04,26.9219,28.875,11.2039,27.9625,19.0956,DOWN,0
2000-01-05,25.5,25.4063,11.2988,27.5625,19.3891,DOWN,0
2000-01-06,24.0,25.0391,11.3864,26.7938,19.6519,UP,1
2000-01-07,25.8438,23.75,11.4823,26.3594,19.9447,UP,1
2000-01-10,28.9375,27.0,11.5926,26.2406,20.2941,DOWN,0
2000-01-11,28.0938,28.1563,11.6974,26.475,20.6181,DOWN,0
2000-01-12,26.4063,28.0625,11.7959,26.6563,20.8903,DOWN,0
2000-01-13,26.2656,27.125,11.8941,27.1094,21.1506,UP,1
2000-01-14,26.7031,27.25,11.9954,27.2813,21.3981,UP,1
2000-01-18,27.8125,26.9688,12.1028,27.0563,21.6634,UP,1
2000-01-19,28.5625,28.0625,12.216,27.15,21.9413,UP,1
2000-01-20,29.625,29.5,12.3373,27.7938,22.2366,UP,1
2000-01-21,29.8438,30.75,12.4574,28.5094,22.5413,DOWN,0
2000-01-24,27.0938,30.125,12.5605,28.5875,22.7888,UP,1
2000-01-25,28.2188,27.5313,12.6704,28.6688,23.0428,DOWN,0
2000-01-26,27.5313,28.375,12.7785,28.4625,23.2678,DOWN,0
2000-01-27,25.9063,27.9063,12.8779,27.7188,23.4656,DOWN,0
2000-01-28,23.6875,25.75,12.9652,26.4875,23.6169,UP,1
2000-01-31,24.9766,23.9688,13.0595,26.0641,23.7614,UP,1
2000-02-01,27.0,25.625,13.1653,25.8203,23.9305,UP,1
2000-02-02,27.1563,27.4688,13.272,25.7453,24.093,UP,1
2000-02-03,28.3438,27.6875,13.3836,26.2328,24.2727,UP,1
2000-02-04,28.9063,28.8125,13.4958,27.2766,24.4833,UP,1
2000-02-07,29.9688,29.6563,13.6115,28.275,24.7236,DOWN,0
