ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-03-19,45.25,40.0,,,,DOWN,0
2020-03-20,45.0,45.01,,,,DOWN,0
2020-03-23,40.0,42.0,,,,DOWN,0
2020-03-24,40.0,40.0,,,,UP,1
2020-03-25,41.01,40.0,42.252,,,UP,1
2020-03-26,45.0,45.0,42.202,,,UP,1
2020-03-27,45.235,45.0,42.249,,,UP,1
2020-03-30,50.0,44.25,44.249,,,DOWN,0
2020-03-31,50.0,46.5,46.249,,,DOWN,0
2020-04-01,46.7,45.99,47.387,,,DOWN,0
2020-04-02,44.0,45.024,47.187,,,UP,1
2020-04-03,47.32,43.75,47.604,,,DOWN,0
2020-04-06,45.94,47.0,46.792,,,DOWN,0
2020-04-07,44.28,45.15,45.648,,,DOWN,0
2020-04-08,44.09,42.21,45.126,,,UP,1
2020-04-09,49.14,44.05,46.154,,,DOWN,0
2020-04-13,46.0,48.55,45.89,,,DOWN,0
2020-04-14,45.89,45.91,45.88,,,DOWN,0
2020-04-15,44.55,44.19,45.934,,,UP,1
2020-04-16,45.62,44.08,46.24,,,UP,1
2020-04-17,46.15,47.0,45.642,,,DOWN,0
2020-04-20,45.39,45.0,45.52,,,UP,1
2020-04-21,45.9,44.5,45.522,,,UP,1
2020-04-22,47.05,47.31,46.022,,,UP,1
2020-04-23,47.47,47.44,46.392,,,UP,1
2020-04-24,47.85,48.02,46.732,,,UP,1
2020-04-27,48.22,48.08,47.298,,,UP,1
2020-04-28,49.86,49.07,48.09,,,UP,1
2020-04-29,51.15,50.77,48.91,,,DOWN,0
2020-04-30,50.91,50.97,49.598,,,DOWN,0
2020-05-01,49.71,50.33,49.97,,,DOWN,0
2020-05-04,49.53,48.85,50.232,,,DOWN,0
2020-05-05,48.09,49.53,49.878,,,UP,1
2020-05-06,48.31,48.61,49.31,,,UP,1
2020-05-07,51.81,49.02,49.49,,,UP,1
2020-05-08,52.95,52.12,50.138,,,DOWN,0
2020-05-11,51.81,52.0,50.594,,,DOWN,0
2020-05-12,49.72,52.19,50.92,,,DOWN,0
2020-05-13,48.21,49.0,50.9,,,DOWN,0
2020-05-14,48.0,47.61,50.138,,,UP,1
2020-05-15,48.89,47.32,49.326,,,UP,1
2020-05-18,52.13,50.12,49.39,,,UP,1
2020-05-19,52.31,51.68,49.908,,,UP,1
2020-05-20,53.18,52.55,50.902,,,DOWN,0
2020-05-21,52.03,52.36,51.708,,,DOWN,0
2020-05-22,51.71,52.46,52.272,,,DOWN,0
2020-05-26,50.89,53.03,52.024,,,UP,1
2020-05-27,52.38,51.59,52.038,,,DOWN,0
2020-05-28,50.96,52.87,51.594,,,UP,1
2020-05-29,52.65,50.44,51.718,48.0049,,UP,1
2020-06-01,54.08,52.45,52.192,48.1815,,UP,1
2020-06-02,54.15,54.16,52.844,48.3645,,UP,1
2020-06-03,55.47,55.0,53.462,48.6739,,DOWN,0
2020-06-04,55.4,55.3,54.35,48.9819,,UP,1
2020-06-05,58.57,57.83,55.534,49.3331,,UP,1
2020-06-08,61.26,58.68,56.97,49.6583,,DOWN,0
2020-06-09,60.65,60.4,58.27,49.9666,,DOWN,0
2020-06-10,59.03,60.61,58.982,50.1472,,DOWN,0
2020-06-11,56.25,56.0,59.152,50.2722,,DOWN,0
2020-06-12,56.04,57.73,58.646,50.459,,UP,1
2020-06-15,57.67,54.51,57.928,50.7324,,UP,1
2020-06-16,57.85,59.5,57.368,50.943,,DOWN,0
2020-06-17,56.74,58.12,56.91,51.159,,UP,1
2020-06-18,57.49,56.44,57.158,51.4232,,DOWN,0
2020-06-19,57.0,58.96,57.35,51.6814,,UP,1
2020-06-22,57.06,56.88,57.228,51.8398,,DOWN,0
2020-06-23,56.8,57.69,57.018,52.0558,,DOWN,0
2020-06-24,55.54,56.15,56.778,52.2488,,UP,1
2020-06-25,56.2,55.05,56.52,52.4818,,DOWN,0
2020-06-26,55.79,56.23,56.278,52.6852,,UP,1
2020-06-29,56.57,55.89,56.18,52.8936,,UP,1
2020-06-30,56.86,55.97,56.192,53.123,,DOWN,0
2020-07-01,55.78,57.0,56.24,53.3206,,UP,1
2020-07-02,56.5,56.43,56.3,53.5096,,UP,1
2020-07-06,56.86,57.38,56.514,53.6974,,DOWN,0
2020-07-07,56.82,56.43,56.564,53.8768,,UP,1
2020-07-08,56.92,57.03,56.576,54.0508,,DOWN,0
2020-07-09,56.11,56.86,56.642,54.1758,,UP,1
2020-07-10,56.98,56.23,56.738,54.2924,,DOWN,0
2020-07-13,56.89,56.56,56.744,54.412,,UP,1
2020-07-14,57.37,56.22,56.854,54.5652,,UP,1
2020-07-15,58.2,58.01,57.11,54.7386,,UP,1
2020-07-16,58.32,58.0,57.552,54.9432,,UP,1
2020-07-17,58.55,58.73,57.866,55.148,,UP,1
2020-07-20,58.56,58.42,58.2,55.283,,DOWN,0
2020-07-21,58.44,58.38,58.414,55.3928,,UP,1
