ticker,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,PANW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-07-19,14.0,14.0,,,,UP,1
2012-07-20,17.71,18.383,,,,DOWN,0
2012-07-23,17.17,17.533,,,,UP,1
2012-07-24,18.5,17.333,,,,UP,1
2012-07-25,19.65,18.833,17.406,,,UP,1
2012-07-26,19.96,19.927,18.598,,,DOWN,0
2012-07-27,19.0,20.293,18.856,,,DOWN,0
2012-07-30,18.333,18.953,19.0887,,,UP,1
2012-07-31,19.047,18.333,19.198,,,DOWN,0
2012-08-01,18.727,19.573,19.0133,,,DOWN,0
2012-08-02,18.367,18.56,18.6947,,,DOWN,0
2012-08-03,18.263,18.883,18.5473,,,DOWN,0
2012-08-06,18.26,18.567,18.5327,,,UP,1
2012-08-07,18.933,18.333,18.51,,,UP,1
2012-08-08,20.31,18.733,18.8267,,,UP,1
2012-08-09,20.443,20.333,19.242,,,DOWN,0
2012-08-10,20.44,20.333,19.6773,,,UP,1
2012-08-13,20.907,20.367,20.2067,,,DOWN,0
2012-08-14,19.933,21.377,20.4067,,,UP,1
2012-08-15,20.91,19.867,20.5267,,,UP,1
2012-08-16,22.167,21.167,20.8713,,,UP,1
2012-08-17,22.43,22.367,21.2693,,,DOWN,0
2012-08-20,21.823,22.26,21.4527,,,DOWN,0
2012-08-21,21.44,21.827,21.754,,,DOWN,0
2012-08-22,21.083,21.687,21.7887,,,UP,1
2012-08-23,21.38,21.067,21.6313,,,UP,1
2012-08-24,21.59,21.15,21.4633,,,DOWN,0
2012-08-27,21.23,21.683,21.3447,,,UP,1
2012-08-28,21.3,21.233,21.3167,,,UP,1
2012-08-29,21.577,21.407,21.4153,,,DOWN,0
2012-08-30,21.143,21.57,21.368,,,UP,1
2012-08-31,21.46,21.493,21.342,,,UP,1
2012-09-04,23.403,21.767,21.7767,,,DOWN,0
2012-09-05,23.333,24.203,22.1833,,,UP,1
2012-09-06,23.803,23.57,22.6287,,,DOWN,0
2012-09-07,23.58,24.053,23.116,,,UP,1
2012-09-10,23.917,23.837,23.6073,,,DOWN,0
2012-09-11,22.2,22.25,23.3667,,,DOWN,0
2012-09-12,21.62,22.56,23.024,,,UP,1
2012-09-13,22.66,21.583,22.7953,,,DOWN,0
2012-09-14,22.33,22.863,22.5453,,,UP,1
2012-09-17,22.637,22.24,22.2893,,,UP,1
2012-09-18,23.06,22.337,22.4613,,,DOWN,0
2012-09-19,22.667,22.987,22.6707,,,DOWN,0
2012-09-20,21.683,22.23,22.4753,,,DOWN,0
2012-09-21,21.34,21.817,22.2773,,,UP,1
2012-09-24,21.553,21.327,22.0607,,,DOWN,0
2012-09-25,21.39,21.8,21.7267,,,DOWN,0
2012-09-26,21.083,21.323,21.41,,,UP,1
2012-09-27,21.69,21.333,21.4113,20.8287,,DOWN,0
2012-09-28,20.523,21.667,21.248,20.9592,,DOWN,0
2012-10-01,20.2,20.537,20.9773,21.009,,UP,1
2012-10-02,20.667,20.55,20.8327,21.0789,,UP,1
2012-10-03,21.953,20.95,21.0067,21.148,,DOWN,0
2012-10-04,21.92,21.94,21.0527,21.1934,,DOWN,0
2012-10-05,20.667,21.75,21.0813,21.2075,,UP,1
2012-10-08,20.69,20.787,21.1793,21.2413,,DOWN,0
2012-10-09,20.653,20.39,21.1767,21.2877,,DOWN,0
2012-10-10,20.48,20.533,20.882,21.3164,,DOWN,0
2012-10-11,20.32,20.687,20.562,21.3483,,UP,1
2012-10-12,20.987,20.833,20.626,21.4007,,UP,1
2012-10-15,21.85,21.037,20.858,21.4724,,UP,1
2012-10-16,21.857,21.963,21.0987,21.5443,,DOWN,0
2012-10-17,21.833,21.743,21.3693,21.6023,,DOWN,0
2012-10-18,20.633,21.36,21.432,21.6088,,DOWN,0
2012-10-19,20.007,20.613,21.236,21.6001,,DOWN,0
2012-10-22,20.0,20.04,20.866,21.5913,,DOWN,0
2012-10-23,19.917,20.0,20.478,21.5715,,DOWN,0
2012-10-24,19.917,20.167,20.0947,21.5711,,DOWN,0
2012-10-25,19.35,20.04,19.838,21.5399,,DOWN,0
2012-10-26,18.767,19.55,19.59,21.4719,,DOWN,0
2012-10-31,18.327,18.8,19.2553,21.3899,,UP,1
2012-11-01,18.73,18.583,19.018,21.328,,DOWN,0
2012-11-02,18.2,18.817,18.6747,21.2632,,UP,1
2012-11-05,18.6,18.333,18.5247,21.2135,,DOWN,0
2012-11-06,18.473,18.6,18.466,21.1554,,DOWN,0
2012-11-07,17.967,18.28,18.394,21.0829,,DOWN,0
2012-11-08,17.32,17.953,18.112,21.0047,,UP,1
2012-11-09,17.333,17.233,17.9387,20.9254,,UP,1
2012-11-12,17.433,17.34,17.7053,20.8425,,UP,1
2012-11-13,17.73,17.583,17.5567,20.7743,,DOWN,0
2012-11-14,17.463,18.0,17.456,20.6943,,DOWN,0
2012-11-15,17.133,17.993,17.4187,20.5689,,UP,1
2012-11-16,17.75,16.903,17.502,20.4573,,UP,1
