ticker,PDD US Equity,PDD US Equity,PDD US Equity,PDD US Equity,PDD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-07-25,19.0,19.0,,,,UP,1
2018-07-26,26.7,26.5,,,,DOWN,0
2018-07-27,24.6,27.54,,,,DOWN,0
2018-07-30,22.5,23.31,,,,UP,1
2018-07-31,22.59,22.2,23.078,,,DOWN,0
2018-08-01,20.31,19.38,23.34,,,DOWN,0
2018-08-02,19.66,19.27,21.932,,,DOWN,0
2018-08-03,19.07,20.0,20.826,,,UP,1
2018-08-06,20.16,19.22,20.358,,,UP,1
2018-08-07,20.89,21.08,20.018,,,DOWN,0
2018-08-08,20.27,21.42,20.01,,,DOWN,0
2018-08-09,20.0,20.39,20.078,,,DOWN,0
2018-08-10,19.51,19.85,20.166,,,DOWN,0
2018-08-13,19.44,19.21,20.022,,,DOWN,0
2018-08-14,19.0,19.46,19.644,,,DOWN,0
2018-08-15,17.7,17.9,19.13,,,UP,1
2018-08-16,19.04,18.27,18.938,,,DOWN,0
2018-08-17,19.0,18.65,18.836,,,DOWN,0
2018-08-20,18.95,18.82,18.738,,,DOWN,0
2018-08-21,18.75,19.14,18.688,,,DOWN,0
2018-08-22,18.4,18.67,18.828,,,DOWN,0
2018-08-23,18.31,18.38,18.682,,,DOWN,0
2018-08-24,17.22,18.25,18.326,,,UP,1
2018-08-27,19.17,17.7,18.37,,,UP,1
2018-08-28,19.54,19.49,18.528,,,UP,1
2018-08-29,21.15,19.54,19.078,,,DOWN,0
2018-08-30,17.99,20.68,19.014,,,UP,1
2018-08-31,19.35,18.87,19.44,,,UP,1
2018-09-04,20.75,18.66,19.756,,,DOWN,0
2018-09-05,18.8,20.44,19.608,,,UP,1
2018-09-06,19.11,19.28,19.2,,,UP,1
2018-09-07,19.57,19.03,19.516,,,UP,1
2018-09-10,19.74,19.68,19.594,,,UP,1
2018-09-11,23.57,19.55,20.158,,,DOWN,0
2018-09-12,23.04,22.77,21.006,,,UP,1
2018-09-13,29.96,24.5,23.176,,,DOWN,0
2018-09-14,26.34,28.89,24.53,,,DOWN,0
2018-09-17,24.36,25.98,25.454,,,DOWN,0
2018-09-18,22.64,24.66,25.268,,,UP,1
2018-09-19,23.0,23.28,25.26,,,UP,1
2018-09-20,24.65,23.36,24.198,,,UP,1
2018-09-21,25.6,25.51,24.05,,,UP,1
2018-09-24,26.49,24.76,24.476,,,UP,1
2018-09-25,26.94,26.15,25.336,,,DOWN,0
2018-09-26,26.06,26.98,25.948,,,UP,1
2018-09-27,26.33,26.36,26.284,,,DOWN,0
2018-09-28,26.29,26.0,26.422,,,UP,1
2018-10-01,27.69,26.23,26.662,,,DOWN,0
2018-10-02,25.66,27.3,26.406,,,UP,1
2018-10-03,26.28,26.3,26.45,21.8228,,DOWN,0
2018-10-04,22.7,25.73,25.724,21.8968,,DOWN,0
2018-10-05,21.78,23.08,24.822,21.7984,,DOWN,0
2018-10-08,21.19,20.61,23.522,21.7302,,UP,1
2018-10-09,22.34,20.97,22.858,21.727,,DOWN,0
2018-10-10,20.33,22.78,21.668,21.6818,,UP,1
2018-10-11,20.82,20.24,21.292,21.692,,UP,1
2018-10-12,21.62,22.1012,21.26,21.7312,,DOWN,0
2018-10-15,21.11,21.28,21.244,21.772,,DOWN,0
2018-10-16,20.81,21.23,20.938,21.785,,DOWN,0
2018-10-17,19.99,20.85,20.87,21.767,,DOWN,0
2018-10-18,18.8,19.67,20.466,21.7376,,DOWN,0
2018-10-19,18.68,19.58,19.878,21.7112,,UP,1
2018-10-22,19.95,19.7,19.646,21.72,,DOWN,0
2018-10-23,18.51,19.0,19.186,21.7014,,DOWN,0
2018-10-24,17.32,18.71,18.652,21.6678,,UP,1
2018-10-25,18.56,17.97,18.604,21.685,,DOWN,0
2018-10-26,18.2,17.77,18.508,21.6682,,DOWN,0
2018-10-29,17.37,18.62,17.992,21.6356,,DOWN,0
2018-10-30,17.2,17.5,17.73,21.6006,,UP,1
2018-10-31,17.65,17.88,17.796,21.5786,,UP,1
2018-11-01,20.34,17.86,18.152,21.6174,,UP,1
2018-11-02,20.37,21.15,18.586,21.6586,,DOWN,0
2018-11-05,20.05,20.19,19.122,21.7152,,DOWN,0
2018-11-06,19.64,20.0,19.61,21.7246,,UP,1
2018-11-07,20.72,20.22,20.224,21.7482,,DOWN,0
2018-11-08,19.28,20.21,20.012,21.7108,,DOWN,0
2018-11-09,18.31,18.95,19.6,21.7172,,DOWN,0
2018-11-12,17.22,18.34,19.034,21.6746,,DOWN,0
2018-11-13,17.15,17.68,18.536,21.6026,,UP,1
2018-11-14,19.15,17.2,18.222,21.6096,,UP,1
2018-11-15,20.38,18.7,18.442,21.635,,UP,1
2018-11-16,20.83,20.0,18.946,21.6602,,DOWN,0
2018-11-19,19.84,20.43,19.47,21.6622,,UP,1
2018-11-20,23.14,20.85,20.668,21.6536,,UP,1
2018-11-21,23.66,23.5,21.57,21.666,,DOWN,0
2018-11-23,22.5,23.65,21.994,21.5168,,DOWN,0
