ticker,PEG US Equity,PEG US Equity,PEG US Equity,PEG US Equity,PEG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.0313,17.5,19.5069,17.3625,17.9044,UP,1
2000-01-04,17.1563,17.0625,19.4969,17.2875,17.8719,UP,1
2000-01-05,17.5938,17.1563,19.4892,17.325,17.845,UP,1
2000-01-06,17.6563,17.5938,19.4805,17.3688,17.8194,DOWN,0
2000-01-07,17.5313,17.6563,19.47,17.3938,17.7813,DOWN,0
2000-01-10,17.5,17.5938,19.4605,17.4875,17.7375,UP,1
2000-01-11,17.7188,17.5,19.4516,17.6,17.6963,UP,1
2000-01-12,17.75,17.7188,19.4442,17.6313,17.6588,DOWN,0
2000-01-13,17.6563,17.7188,19.437,17.6313,17.6169,DOWN,0
2000-01-14,17.375,17.5313,19.4275,17.6,17.5706,DOWN,0
2000-01-18,17.0938,17.25,19.4152,17.5188,17.5225,UP,1
2000-01-19,17.4063,17.2188,19.4056,17.4563,17.4806,UP,1
2000-01-20,17.4375,17.375,19.3969,17.3938,17.4425,UP,1
2000-01-21,17.7813,17.5,19.3889,17.4188,17.4138,DOWN,0
2000-01-24,17.625,17.8125,19.3803,17.4688,17.3925,DOWN,0
2000-01-25,17.3438,17.6563,19.3698,17.5188,17.3612,DOWN,0
2000-01-26,17.25,17.0625,19.3603,17.4875,17.3288,UP,1
2000-01-27,17.2969,17.1875,19.3529,17.4594,17.3041,DOWN,0
2000-01-28,16.75,17.0625,19.3427,17.2531,17.2672,UP,1
2000-01-31,17.1875,16.75,19.3343,17.1656,17.2403,UP,1
2000-02-01,17.2188,17.2188,19.3252,17.1406,17.2178,DOWN,0
2000-02-02,16.9688,17.1563,19.3115,17.0844,17.1959,UP,1
2000-02-03,17.2188,16.9375,19.3007,17.0688,17.1822,DOWN,0
2000-02-04,16.8438,17.1875,19.2873,17.0875,17.1678,DOWN,0
2000-02-07,16.75,16.625,19.273,17.0,17.1528,DOWN,0
