ticker,PG US Equity,PG US Equity,PG US Equity,PG US Equity,PG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,53.5938,53.9063,48.9404,54.7375,54.1988,DOWN,0
2000-01-04,52.5625,53.1875,48.9645,54.0875,54.2425,DOWN,0
2000-01-05,51.5625,52.4375,48.9881,53.4625,54.2769,UP,1
2000-01-06,53.9375,52.5625,49.0193,53.2875,54.3738,UP,1
2000-01-07,58.25,54.7813,49.0593,53.9813,54.5463,DOWN,0
2000-01-10,57.9688,57.9063,49.101,54.8563,54.6594,UP,1
2000-01-11,58.875,57.6875,49.1426,56.1188,54.7882,DOWN,0
2000-01-12,58.5,58.3125,49.1846,57.5063,54.8782,DOWN,0
2000-01-13,57.5,58.4375,49.2273,58.2188,54.9682,UP,1
2000-01-14,58.5,57.75,49.2737,58.2688,55.0707,DOWN,0
2000-01-18,58.4688,58.4688,49.3138,58.3688,55.1869,DOWN,0
2000-01-19,57.6875,57.0,49.3507,58.1313,55.2819,DOWN,0
2000-01-20,56.2813,57.0,49.3802,57.6875,55.3219,DOWN,0
2000-01-21,51.3438,56.3125,49.3851,56.4563,55.2738,UP,1
2000-01-24,51.4375,48.0,49.3887,55.0438,55.2288,DOWN,0
2000-01-25,48.75,51.8125,49.3751,53.1,55.1394,UP,1
2000-01-26,50.3125,49.5,49.3695,51.625,55.0757,UP,1
2000-01-27,52.0313,51.0,49.3818,50.775,55.0507,DOWN,0
2000-01-28,50.1563,51.8438,49.3913,50.5375,54.98,UP,1
2000-01-31,50.5313,50.125,49.3985,50.3563,54.9007,DOWN,0
2000-02-01,49.75,50.3438,49.4107,50.5563,54.8,DOWN,0
2000-02-02,49.3125,49.875,49.4177,50.3563,54.6813,DOWN,0
2000-02-03,48.9063,49.9063,49.4149,49.7313,54.5516,DOWN,0
2000-02-04,47.375,48.8125,49.4165,49.175,54.376,DOWN,0
2000-02-07,46.625,47.0,49.4234,48.3938,54.1841,UP,1
