ticker,PHM US Equity,PHM US Equity,PHM US Equity,PHM US Equity,PHM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.2813,5.625,5.4767,5.3969,5.1434,DOWN,0
2000-01-04,5.0313,5.2188,5.4756,5.3594,5.1553,DOWN,0
2000-01-05,4.9375,5.0313,5.475,5.2781,5.1691,DOWN,0
2000-01-06,4.9063,4.9531,5.4738,5.1563,5.1781,UP,1
2000-01-07,4.9844,4.875,5.4726,5.0281,5.1878,DOWN,0
2000-01-10,4.8906,4.9531,5.4704,4.95,5.1909,DOWN,0
2000-01-11,4.6875,4.9375,5.4671,4.8813,5.1841,DOWN,0
2000-01-12,4.5313,4.75,5.4622,4.8,5.1719,UP,1
2000-01-13,4.75,4.5469,5.4599,4.7688,5.1609,DOWN,0
2000-01-14,4.7188,4.8125,5.4588,4.7156,5.1488,DOWN,0
2000-01-18,4.6719,4.6875,5.4563,4.6719,5.135,DOWN,0
2000-01-19,4.4844,4.7031,5.4523,4.6313,5.1122,UP,1
2000-01-20,4.5313,4.5,5.4495,4.6313,5.0909,UP,1
2000-01-21,4.5938,4.8125,5.4466,4.6,5.0772,DOWN,0
2000-01-24,4.4688,4.625,5.443,4.55,5.0588,DOWN,0
2000-01-25,4.25,4.5313,5.4384,4.4656,5.0366,UP,1
2000-01-26,4.3594,4.2969,5.4353,4.4406,5.0169,UP,1
2000-01-27,4.4844,4.375,5.4308,4.4313,4.9944,DOWN,0
2000-01-28,4.4375,4.5156,5.4216,4.4,4.9681,DOWN,0
2000-01-31,4.3594,4.4844,5.4113,4.3781,4.9475,DOWN,0
2000-02-01,4.2969,4.4063,5.4016,4.3875,4.9269,DOWN,0
2000-02-02,4.25,4.3594,5.3934,4.3656,4.9047,UP,1
2000-02-03,4.3125,4.3125,5.3854,4.3313,4.8856,DOWN,0
2000-02-04,4.3125,4.3281,5.3777,4.3063,4.8672,DOWN,0
2000-02-07,4.1406,4.3125,5.3678,4.2625,4.8503,UP,1
