ticker,PKI US Equity,PKI US Equity,PKI US Equity,PKI US Equity,PKI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,20.7188,20.875,17.4497,20.5438,20.5063,DOWN,0
2000-01-04,19.75,20.7188,17.4814,20.5125,20.5175,DOWN,0
2000-01-05,19.5313,19.8438,17.5131,20.3375,20.5075,UP,1
2000-01-06,19.7813,19.6563,17.5469,20.125,20.5125,UP,1
2000-01-07,20.0313,19.9688,17.5813,19.9625,20.5275,UP,1
2000-01-10,20.8438,19.9063,17.62,19.9875,20.5487,DOWN,0
2000-01-11,20.1875,20.9375,17.655,20.075,20.5444,UP,1
2000-01-12,20.2188,20.0625,17.6917,20.2125,20.5494,UP,1
2000-01-13,20.7813,20.0938,17.7297,20.4125,20.5675,DOWN,0
2000-01-14,20.7813,20.875,17.7667,20.5625,20.5938,UP,1
2000-01-18,21.5625,20.75,17.8067,20.7063,20.6394,UP,1
2000-01-19,21.875,21.5,17.8483,21.0438,20.6844,UP,1
2000-01-20,22.75,21.875,17.8938,21.55,20.7406,UP,1
2000-01-21,23.5625,23.0625,17.9436,22.1063,20.8169,UP,1
2000-01-24,23.6563,23.75,17.993,22.6813,20.8919,UP,1
2000-01-25,23.7813,23.7813,18.0425,23.125,20.9606,UP,1
2000-01-26,23.8438,23.75,18.0947,23.5188,21.0363,UP,1
2000-01-27,24.5938,24.8125,18.1495,23.8875,21.1313,UP,1
2000-01-28,24.9063,24.6875,18.2047,24.1563,21.22,UP,1
2000-01-31,25.0313,24.8438,18.2608,24.4313,21.3006,UP,1
2000-02-01,25.7188,24.9063,18.318,24.8188,21.3769,DOWN,0
2000-02-02,25.3125,25.625,18.3727,25.1125,21.4475,UP,1
2000-02-03,25.4688,25.4063,18.4278,25.2875,21.5206,UP,1
2000-02-04,26.3438,25.5938,18.4842,25.575,21.6244,UP,1
2000-02-07,26.6563,26.625,18.5402,25.9,21.7319,UP,1
2000-02-08,27.5313,26.7813,18.6016,26.2625,21.8519,DOWN,0
