ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-12-12,27.5,27.5,,,,UP,1
2001-12-13,29.3,29.1,,,,UP,1
2001-12-14,29.68,29.9,,,,DOWN,0
2001-12-17,29.45,29.95,,,,UP,1
2001-12-18,29.95,29.5,29.176,,,UP,1
2001-12-19,30.15,29.85,29.706,,,UP,1
2001-12-20,30.17,30.25,29.88,,,UP,1
2001-12-21,30.99,30.4,30.142,,,UP,1
2001-12-24,31.45,30.75,30.542,,,UP,1
2001-12-26,32.2,31.5,30.992,,,UP,1
2001-12-27,32.85,32.2,31.532,,,UP,1
2001-12-28,32.94,32.86,32.086,,,UP,1
2001-12-31,33.19,33.11,32.526,,,DOWN,0
2002-01-02,31.3,32.61,32.496,,,DOWN,0
2002-01-03,31.25,31.3,32.306,,,UP,1
2002-01-04,31.95,31.2,32.126,,,DOWN,0
2002-01-07,31.95,31.75,31.928,,,DOWN,0
2002-01-08,31.78,31.25,31.646,,,DOWN,0
2002-01-09,31.3,31.95,31.646,,,DOWN,0
2002-01-10,31.01,31.12,31.598,,,DOWN,0
2002-01-11,30.9,31.01,31.388,,,DOWN,0
2002-01-14,30.05,30.75,31.008,,,UP,1
2002-01-15,30.78,30.4,30.808,,,DOWN,0
2002-01-16,30.68,30.58,30.684,,,DOWN,0
2002-01-17,30.52,30.88,30.586,,,DOWN,0
2002-01-18,30.25,30.4,30.456,,,UP,1
2002-01-22,31.25,30.49,30.696,,,DOWN,0
2002-01-23,30.52,31.65,30.644,,,DOWN,0
2002-01-24,30.25,30.6,30.558,,,UP,1
2002-01-25,30.43,30.0,30.54,,,UP,1
2002-01-28,30.93,30.65,30.676,,,DOWN,0
2002-01-29,30.39,30.0,30.504,,,DOWN,0
2002-01-30,30.15,30.5,30.43,,,UP,1
2002-01-31,31.05,30.48,30.59,,,DOWN,0
2002-02-01,30.6,30.95,30.624,,,UP,1
2002-02-04,30.88,30.6,30.614,,,UP,1
2002-02-05,31.05,30.85,30.746,,,UP,1
2002-02-06,31.15,31.2,30.946,,,DOWN,0
2002-02-07,30.62,30.95,30.86,,,UP,1
2002-02-08,31.03,30.57,30.946,,,UP,1
2002-02-11,31.76,30.7,31.122,,,DOWN,0
2002-02-12,31.5,31.41,31.212,,,UP,1
2002-02-13,32.09,31.2,31.4,,,DOWN,0
2002-02-14,32.03,32.05,31.682,,,DOWN,0
2002-02-15,31.5,31.83,31.776,,,DOWN,0
2002-02-19,30.26,31.0,31.476,,,UP,1
2002-02-20,30.65,30.5,31.306,,,UP,1
2002-02-21,30.84,30.45,31.056,,,DOWN,0
2002-02-22,30.24,30.55,30.698,,,UP,1
2002-02-25,30.28,30.25,30.454,30.8998,,UP,1
2002-02-26,30.5,30.38,30.502,30.9598,,DOWN,0
2002-02-27,30.35,30.6,30.442,30.9808,,UP,1
2002-02-28,30.57,30.35,30.388,30.9986,,UP,1
2002-03-01,30.85,30.69,30.51,31.0266,,DOWN,0
2002-03-04,30.7,30.88,30.594,31.0416,,UP,1
2002-03-05,31.44,30.7,30.782,31.0674,,DOWN,0
2002-03-06,31.4,31.0,30.992,31.092,,UP,1
2002-03-07,31.57,31.2,31.192,31.1036,,UP,1
2002-03-08,31.75,31.85,31.372,31.1096,,DOWN,0
2002-03-11,31.35,31.85,31.502,31.0926,,DOWN,0
2002-03-12,30.9,31.0,31.394,31.0536,,DOWN,0
2002-03-13,30.63,30.63,31.24,31.0074,,UP,1
2002-03-14,30.97,30.7,31.12,30.963,,UP,1
2002-03-15,31.1,30.69,30.99,30.959,,UP,1
2002-03-18,31.39,31.55,30.998,30.9618,,UP,1
2002-03-19,31.4,31.3,31.098,30.9508,,DOWN,0
2002-03-20,31.35,31.25,31.242,30.9388,,DOWN,0
2002-03-21,31.25,31.17,31.298,30.9282,,DOWN,0
2002-03-22,31.25,30.85,31.328,30.9272,,DOWN,0
2002-03-25,31.21,31.2,31.292,30.9312,,UP,1
2002-03-26,31.43,31.05,31.298,30.9418,,DOWN,0
2002-03-27,31.37,31.25,31.302,30.9682,,DOWN,0
2002-03-28,31.05,31.37,31.262,30.9736,,DOWN,0
2002-04-01,31.05,31.15,31.222,30.981,,UP,1
2002-04-02,31.35,31.0,31.25,30.9976,,DOWN,0
2002-04-03,31.35,31.27,31.234,31.0196,,UP,1
2002-04-04,31.84,31.35,31.328,31.0314,,UP,1
2002-04-05,32.31,31.95,31.58,31.0672,,UP,1
2002-04-08,32.72,32.31,31.914,31.1166,,UP,1
2002-04-09,33.0,32.97,32.244,31.168,,DOWN,0
2002-04-10,32.79,32.85,32.532,31.2052,,DOWN,0
2002-04-11,32.6,32.79,32.684,31.2494,,DOWN,0
2002-04-12,32.51,32.5,32.724,31.2966,,DOWN,0
2002-04-15,32.07,32.6,32.594,31.317,,UP,1
2002-04-16,32.6,32.35,32.514,31.357,,DOWN,0
2002-04-17,32.22,32.5,32.4,31.3838,,DOWN,0
