ticker,PSA US Equity,PSA US Equity,PSA US Equity,PSA US Equity,PSA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,22.75,22.688,25.5984,22.7125,23.1325,DOWN,0
2000-01-04,22.75,22.625,25.5847,22.7375,23.1238,UP,1
2000-01-05,22.938,22.688,25.5763,22.775,23.1213,UP,1
2000-01-06,23.813,22.813,25.5725,22.9875,23.1388,UP,1
2000-01-07,24.125,23.875,25.57,23.275,23.1588,UP,1
2000-01-10,24.625,24.125,25.5719,23.65,23.1888,DOWN,0
2000-01-11,24.375,24.5,25.5684,23.975,23.1938,UP,1
2000-01-12,24.438,24.188,25.5644,24.275,23.195,DOWN,0
2000-01-13,24.188,24.375,25.5603,24.35,23.1788,DOWN,0
2000-01-14,24.125,24.25,25.5569,24.35,23.1475,DOWN,0
2000-01-18,23.75,24.0,25.5506,24.175,23.11,DOWN,0
2000-01-19,23.563,23.75,25.5463,24.0125,23.0775,DOWN,0
2000-01-20,23.375,23.375,25.5409,23.8,23.0513,DOWN,0
2000-01-21,22.875,23.25,25.5344,23.5375,23.0212,UP,1
2000-01-24,23.0,22.813,25.5309,23.3125,23.0038,DOWN,0
2000-01-25,22.875,22.938,25.5234,23.1375,22.9888,UP,1
2000-01-26,23.125,22.75,25.5147,23.05,22.985,DOWN,0
2000-01-27,22.875,23.063,25.5025,22.95,22.9788,DOWN,0
2000-01-28,22.625,22.938,25.4878,22.9,22.9563,UP,1
2000-01-31,22.688,22.625,25.4681,22.8375,22.94,UP,1
2000-02-01,23.063,22.688,25.4472,22.875,22.9338,DOWN,0
2000-02-02,22.938,22.938,25.4269,22.8375,22.91,DOWN,0
2000-02-03,22.875,22.938,25.4056,22.8375,22.9,DOWN,0
2000-02-04,22.875,22.813,25.3834,22.8875,22.8913,DOWN,0
2000-02-07,22.625,22.75,25.3566,22.875,22.8813,UP,1
2000-02-08,22.688,22.75,25.3313,22.8,22.8725,DOWN,0
