ticker,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-04-12,34.0,33.25,,,,UP,1
2012-04-13,37.0,34.0,,,,DOWN,0
2012-04-16,36.55,37.0,,,,DOWN,0
2012-04-17,36.0,36.4,,,,DOWN,0
2012-04-18,36.0,36.0,35.91,,,DOWN,0
2012-04-19,36.0,36.0,36.31,,,UP,1
2012-04-20,36.32,36.1,36.174,,,DOWN,0
2012-04-23,35.68,36.24,36.0,,,DOWN,0
2012-04-24,34.75,36.0,35.75,,,DOWN,0
2012-04-25,34.75,34.8,35.5,,,UP,1
2012-04-26,34.95,34.61,35.29,,,DOWN,0
2012-04-27,34.11,35.25,34.848,,,DOWN,0
2012-04-30,34.05,34.34,34.522,,,DOWN,0
2012-05-01,32.76,33.74,34.124,,,DOWN,0
2012-05-02,32.0,32.6,33.574,,,DOWN,0
2012-05-03,31.39,31.93,32.862,,,DOWN,0
2012-05-04,30.16,30.85,32.072,,,DOWN,0
2012-05-07,29.35,30.1,31.132,,,UP,1
2012-05-08,30.1,29.09,30.6,,,UP,1
2012-05-09,32.49,29.81,30.698,,,DOWN,0
2012-05-10,32.48,33.05,30.916,,,DOWN,0
2012-05-11,31.83,31.73,31.25,,,DOWN,0
2012-05-14,31.32,31.19,31.644,,,UP,1
2012-05-15,31.67,31.35,31.958,,,UP,1
2012-05-16,32.1,31.46,31.88,,,DOWN,0
2012-05-17,31.26,31.89,31.636,,,UP,1
2012-05-18,31.38,31.43,31.546,,,UP,1
2012-05-21,32.19,31.23,31.72,,,DOWN,0
2012-05-22,31.63,31.88,31.712,,,DOWN,0
2012-05-23,31.41,31.35,31.574,,,DOWN,0
2012-05-24,31.13,31.42,31.548,,,UP,1
2012-05-25,31.3,31.01,31.532,,,DOWN,0
2012-05-29,31.01,31.28,31.296,,,DOWN,0
2012-05-30,30.44,30.79,31.058,,,DOWN,0
2012-05-31,30.03,30.26,30.782,,,DOWN,0
2012-06-01,29.92,29.5,30.54,,,DOWN,0
2012-06-04,29.53,29.3,30.186,,,UP,1
2012-06-05,29.9,29.37,29.964,,,UP,1
2012-06-06,31.53,30.03,30.182,,,UP,1
2012-06-07,31.83,32.07,30.542,,,UP,1
2012-06-08,32.12,31.66,30.982,,,UP,1
2012-06-11,32.6,32.45,31.596,,,UP,1
2012-06-12,33.49,32.56,32.314,,,DOWN,0
2012-06-13,32.77,33.27,32.562,,,UP,1
2012-06-14,33.53,32.77,32.902,,,UP,1
2012-06-15,34.9,33.6,33.458,,,DOWN,0
2012-06-18,33.86,34.38,33.71,,,DOWN,0
2012-06-19,33.86,34.06,33.784,,,UP,1
2012-06-20,34.66,33.79,34.162,,,DOWN,0
2012-06-21,33.48,34.7,34.152,32.7514,,UP,1
2012-06-22,34.16,33.65,34.004,32.7546,,DOWN,0
2012-06-25,32.87,33.69,33.806,32.672,,DOWN,0
2012-06-26,32.58,32.81,33.55,32.5926,,DOWN,0
2012-06-27,31.89,32.61,32.996,32.5104,,UP,1
2012-06-28,32.31,31.54,32.762,32.4366,,UP,1
2012-06-29,33.24,32.78,32.578,32.3814,,UP,1
2012-07-02,34.0,33.59,32.804,32.335,,UP,1
2012-07-03,34.24,34.02,33.136,32.3062,,DOWN,0
2012-07-05,33.8,33.83,33.518,32.2872,,DOWN,0
2012-07-06,33.37,33.4,33.73,32.2596,,DOWN,0
2012-07-09,33.25,33.08,33.732,32.2256,,DOWN,0
2012-07-10,32.68,33.47,33.468,32.197,,UP,1
2012-07-11,33.48,32.66,33.316,32.1856,,DOWN,0
2012-07-12,33.01,33.15,33.158,32.1906,,UP,1
2012-07-13,34.94,33.61,33.472,32.2494,,UP,1
2012-07-16,36.1,34.69,34.042,32.3436,,UP,1
2012-07-17,36.69,36.16,34.844,32.4742,,UP,1
2012-07-18,37.1,36.65,35.568,32.6292,,DOWN,0
2012-07-19,35.6,36.99,36.086,32.7392,,DOWN,0
2012-07-20,35.32,35.18,36.162,32.7958,,DOWN,0
2012-07-23,35.02,34.79,35.946,32.8466,,UP,1
2012-07-24,35.23,35.25,35.654,32.9146,,UP,1
2012-07-25,35.4,35.6,35.314,32.9962,,UP,1
2012-07-26,35.96,35.76,35.386,33.082,,UP,1
2012-07-27,36.52,36.23,35.626,33.1704,,UP,1
2012-07-30,37.65,36.86,36.152,33.2982,,DOWN,0
2012-07-31,37.6,37.74,36.626,33.4226,,UP,1
2012-08-01,38.27,39.08,37.2,33.5442,,UP,1
2012-08-02,38.3,37.94,37.668,33.6776,,UP,1
2012-08-03,39.67,38.6,38.298,33.8428,,UP,1
2012-08-06,40.07,39.94,38.782,34.0216,,DOWN,0
2012-08-07,39.77,40.39,39.216,34.191,,UP,1
2012-08-08,40.15,39.6,39.592,34.3738,,UP,1
2012-08-09,40.32,39.9,39.996,34.5714,,DOWN,0
2012-08-10,40.0,40.26,40.062,34.7708,,UP,1
2012-08-13,40.15,39.86,40.078,34.9754,,DOWN,0
