ticker,QRVO US Equity,QRVO US Equity,QRVO US Equity,QRVO US Equity,QRVO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-01-02,70.4,69.0,,,,DOWN,0
2015-01-05,67.63,71.23,,,,DOWN,0
2015-01-06,64.67,67.93,,,,UP,1
2015-01-07,66.65,65.01,,,,UP,1
2015-01-08,67.69,67.95,67.408,,,DOWN,0
2015-01-09,67.11,68.45,66.75,,,DOWN,0
2015-01-12,65.52,67.39,66.328,,,DOWN,0
2015-01-13,65.02,65.74,66.398,,,DOWN,0
2015-01-14,64.59,64.65,65.986,,,DOWN,0
2015-01-15,64.39,64.23,65.326,,,UP,1
2015-01-16,65.81,64.02,65.066,,,UP,1
2015-01-20,67.96,65.75,65.554,,,UP,1
2015-01-21,68.84,67.61,66.318,,,UP,1
2015-01-22,70.61,69.54,67.522,,,UP,1
2015-01-23,73.37,70.72,69.318,,,DOWN,0
2015-01-26,73.15,72.4,70.786,,,UP,1
2015-01-27,73.75,73.0,71.944,,,UP,1
2015-01-28,75.5,75.0,73.276,,,UP,1
2015-01-29,75.76,72.7,74.306,,,DOWN,0
2015-01-30,73.87,74.64,74.406,,,DOWN,0
2015-02-02,68.72,73.08,73.52,,,DOWN,0
2015-02-03,68.52,68.74,72.474,,,DOWN,0
2015-02-04,68.33,67.53,71.04,,,DOWN,0
2015-02-05,67.39,67.66,69.366,,,DOWN,0
2015-02-06,65.89,67.5,67.77,,,DOWN,0
2015-02-09,63.74,65.2,66.774,,,UP,1
2015-02-10,65.02,63.87,66.074,,,DOWN,0
2015-02-11,64.75,64.93,65.358,,,UP,1
2015-02-12,66.2,65.63,65.12,,,UP,1
2015-02-13,70.03,66.35,65.948,,,DOWN,0
2015-02-17,69.44,70.0,67.088,,,DOWN,0
2015-02-18,67.54,69.15,67.592,,,DOWN,0
2015-02-19,65.3,67.0,67.702,,,DOWN,0
2015-02-20,65.17,65.57,67.496,,,DOWN,0
2015-02-23,65.05,65.16,66.5,,,UP,1
2015-02-24,69.34,65.36,66.48,,,DOWN,0
2015-02-25,67.21,68.95,66.414,,,UP,1
2015-02-26,71.53,68.0,67.66,,,DOWN,0
2015-02-27,69.4,70.75,68.506,,,DOWN,0
2015-03-02,69.35,69.39,69.366,,,UP,1
2015-03-03,70.84,69.36,69.666,,,UP,1
2015-03-04,72.02,70.23,70.628,,,UP,1
2015-03-05,74.51,72.2,71.224,,,DOWN,0
2015-03-06,72.98,73.41,71.94,,,UP,1
2015-03-09,74.83,73.24,73.036,,,DOWN,0
2015-03-10,72.15,74.13,73.298,,,UP,1
2015-03-11,72.95,72.67,73.484,,,UP,1
2015-03-12,73.42,73.34,73.266,,,DOWN,0
2015-03-13,72.57,73.35,73.184,,,UP,1
2015-03-16,76.33,74.21,73.484,69.2562,,UP,1
2015-03-17,77.71,76.16,74.596,69.4024,,UP,1
2015-03-18,79.96,77.86,75.998,69.649,,UP,1
2015-03-19,80.38,81.52,77.39,69.9632,,UP,1
2015-03-20,80.8,81.44,79.036,70.2462,,UP,1
2015-03-23,84.09,81.15,80.588,70.5742,,DOWN,0
2015-03-24,83.21,84.6,81.688,70.8962,,DOWN,0
2015-03-25,77.13,83.55,81.122,71.1284,,UP,1
2015-03-26,77.19,73.5,80.484,71.3718,,UP,1
2015-03-27,79.28,77.63,80.18,71.6656,,UP,1
2015-03-30,81.4,80.22,79.642,72.0058,,DOWN,0
2015-03-31,79.7,80.93,78.94,72.2836,,DOWN,0
2015-04-01,78.8,78.53,79.274,72.5004,,DOWN,0
2015-04-02,77.79,79.2,79.394,72.6794,,DOWN,0
2015-04-06,76.51,76.88,78.84,72.7974,,DOWN,0
2015-04-07,73.23,77.08,77.206,72.7946,,DOWN,0
2015-04-08,72.84,73.8,75.834,72.7884,,UP,1
2015-04-09,74.63,72.71,75.0,72.806,,DOWN,0
2015-04-10,73.58,75.61,74.158,72.7676,,DOWN,0
2015-04-13,72.63,73.79,73.382,72.705,,DOWN,0
2015-04-14,70.5,72.38,72.836,72.6376,,UP,1
2015-04-15,70.91,71.0,72.45,72.6814,,UP,1
2015-04-16,71.46,70.8,71.816,72.7402,,DOWN,0
2015-04-17,70.07,70.7,71.114,72.775,,UP,1
2015-04-20,72.01,70.4,70.99,72.8674,,UP,1
2015-04-21,74.07,72.5,71.704,73.031,,UP,1
2015-04-22,74.48,74.25,72.418,73.2458,,DOWN,0
2015-04-23,73.27,73.93,72.78,73.4108,,DOWN,0
2015-04-24,70.12,73.08,72.79,73.5182,,DOWN,0
2015-04-27,69.37,69.93,72.262,73.5816,,DOWN,0
2015-04-28,67.86,69.97,71.02,73.5382,,UP,1
2015-04-29,68.65,67.59,69.854,73.5224,,DOWN,0
2015-04-30,65.91,68.47,68.382,73.4898,,UP,1
2015-05-01,69.6,66.8,68.278,73.5758,,DOWN,0
2015-05-04,68.99,69.85,68.202,73.6522,,DOWN,0
2015-05-05,67.07,68.51,68.044,73.6926,,UP,1
2015-05-06,69.06,67.7,68.126,73.687,,UP,1
