ticker,RE US Equity,RE US Equity,RE US Equity,RE US Equity,RE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,21.875,22.8125,28.4669,22.325,23.9713,DOWN,0
2000-01-04,21.8125,22.125,28.4138,22.1125,23.9375,UP,1
2000-01-05,23.25,22.1875,28.3753,22.2625,23.9125,UP,1
2000-01-06,24.3125,23.1875,28.3394,22.7125,23.9113,UP,1
2000-01-07,25.625,24.375,28.3119,23.375,23.935,DOWN,0
2000-01-10,25.5,25.625,28.2863,24.1,23.9313,UP,1
2000-01-11,25.5625,25.625,28.2597,24.85,23.9275,UP,1
2000-01-12,25.625,25.5625,28.2334,25.325,23.9338,UP,1
2000-01-13,25.75,25.6875,28.2063,25.6125,23.9488,UP,1
2000-01-14,26.4375,25.875,28.1859,25.775,23.9788,DOWN,0
2000-01-18,26.4375,26.5,28.1653,25.9625,24.0013,DOWN,0
2000-01-19,26.0625,26.4375,28.1425,26.0625,23.9813,DOWN,0
2000-01-20,26.0625,26.0625,28.1153,26.15,23.9813,UP,1
2000-01-21,26.5625,26.125,28.0916,26.3125,24.0013,DOWN,0
2000-01-24,25.4375,26.3125,28.0616,26.1125,24.0025,DOWN,0
2000-01-25,25.1875,25.375,28.0288,25.8625,24.0138,DOWN,0
2000-01-26,24.75,24.9375,28.0009,25.6,24.0088,UP,1
2000-01-27,25.25,25.0,27.9756,25.4375,24.015,DOWN,0
2000-01-28,25.125,25.5,27.9484,25.15,24.0013,UP,1
2000-01-31,25.1875,25.0,27.9263,25.1,24.0038,UP,1
2000-02-01,25.3125,25.25,27.8997,25.125,24.0225,DOWN,0
2000-02-02,25.0,25.3125,27.8691,25.175,24.0313,DOWN,0
2000-02-03,24.8125,25.0,27.8322,25.0875,24.045,UP,1
2000-02-04,24.9375,24.6875,27.7963,25.05,24.0638,UP,1
2000-02-07,25.0,24.9375,27.7603,25.0125,24.0975,UP,1
2000-02-08,25.0625,24.9375,27.7259,24.9625,24.135,DOWN,0
