ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,19.9375,19.875,20.7603,20.225,20.0063,UP,1
2000-01-04,20.0,19.875,20.7603,20.1125,20.0238,DOWN,0
2000-01-05,19.875,20.0,20.7606,19.9625,20.0413,UP,1
2000-01-06,20.0,19.8125,20.7613,19.9625,20.0663,UP,1
2000-01-07,20.6875,20.0,20.7647,20.1,20.085,UP,1
2000-01-10,20.75,20.75,20.7691,20.2625,20.1038,DOWN,0
2000-01-11,20.75,20.6875,20.7744,20.4125,20.1225,DOWN,0
2000-01-12,20.5,20.75,20.7797,20.5375,20.1425,DOWN,0
2000-01-13,20.3125,20.4375,20.7875,20.6,20.1462,DOWN,0
2000-01-14,20.1875,20.4375,20.7928,20.5,20.15,UP,1
2000-01-18,20.25,20.25,20.7972,20.4,20.1563,UP,1
2000-01-19,20.5,20.125,20.8016,20.35,20.1675,DOWN,0
2000-01-20,20.5,20.5625,20.8044,20.35,20.1663,DOWN,0
2000-01-21,20.3125,20.3125,20.8059,20.35,20.165,DOWN,0
2000-01-24,19.875,20.375,20.8072,20.2875,20.16,DOWN,0
2000-01-25,19.875,19.875,20.8072,20.2125,20.1575,UP,1
2000-01-26,20.0625,19.875,20.8056,20.125,20.1563,DOWN,0
2000-01-27,19.9375,20.1875,20.8009,20.0125,20.1513,DOWN,0
2000-01-28,19.125,19.9375,20.7928,19.775,20.1325,UP,1
2000-01-31,19.5625,19.25,20.7844,19.7125,20.115,UP,1
2000-02-01,19.625,19.5625,20.7769,19.6625,20.1,UP,1
2000-02-02,19.6875,19.625,20.7703,19.5875,20.0825,UP,1
2000-02-03,19.875,19.8125,20.7616,19.575,20.0725,DOWN,0
2000-02-04,19.875,19.875,20.7513,19.725,20.0675,DOWN,0
2000-02-07,19.8125,18.75,20.7416,19.775,20.0563,UP,1
2000-02-08,20.0,19.875,20.7338,19.85,20.0487,DOWN,0
