ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.2222,5.463,6.0437,5.3669,5.6485,DOWN,0
2000-01-04,5.037,5.1481,6.0388,5.3333,5.6393,DOWN,0
2000-01-05,4.9815,4.963,6.0347,5.2481,5.6319,DOWN,0
2000-01-06,4.9815,5.0556,6.0302,5.1481,5.6215,UP,1
2000-01-07,5.037,4.9074,6.0254,5.0519,5.6071,UP,1
2000-01-10,5.0741,5.0741,6.0212,5.0222,5.5904,UP,1
2000-01-11,5.1296,5.0741,6.0167,5.0407,5.573,UP,1
2000-01-12,5.1852,5.1852,6.0134,5.0815,5.5578,UP,1
2000-01-13,5.5,5.1852,6.0116,5.1852,5.5467,DOWN,0
2000-01-14,5.1852,5.4074,6.0085,5.2148,5.5289,UP,1
2000-01-18,5.3704,5.1296,6.006,5.2741,5.5119,DOWN,0
2000-01-19,5.2037,5.4074,6.0036,5.2889,5.4893,DOWN,0
2000-01-20,5.1481,5.2593,6.0006,5.2815,5.4726,DOWN,0
2000-01-21,5.0926,5.1481,5.9975,5.2,5.4563,UP,1
2000-01-24,5.1852,5.037,5.9938,5.2,5.4445,UP,1
2000-01-25,5.3333,5.2222,5.9892,5.1926,5.4359,UP,1
2000-01-26,5.4074,5.3148,5.9831,5.2333,5.4222,UP,1
2000-01-27,5.7963,5.4815,5.9811,5.363,5.4145,DOWN,0
2000-01-28,5.5556,5.7407,5.9776,5.4556,5.3985,UP,1
2000-01-31,5.6296,5.5185,5.9747,5.5444,5.39,DOWN,0
2000-02-01,5.5185,5.6296,5.972,5.5815,5.3782,UP,1
2000-02-02,5.5741,5.5,5.9711,5.6148,5.37,UP,1
2000-02-03,5.6852,5.6111,5.9685,5.5926,5.3674,UP,1
2000-02-04,5.8889,5.6852,5.9668,5.6593,5.3704,DOWN,0
2000-02-07,5.8333,5.8704,5.9658,5.7,5.3734,DOWN,0
