ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.4375,17.3125,19.3678,17.1625,17.3263,DOWN,0
2000-01-04,16.75,17.1875,19.3541,17.1125,17.2738,UP,1
2000-01-05,17.0625,16.6875,19.3403,17.125,17.21,DOWN,0
2000-01-06,17.0625,17.0625,19.3269,17.075,17.1788,UP,1
2000-01-07,17.5,17.0625,19.3144,17.1625,17.1575,UP,1
2000-01-10,18.25,18.3125,19.3063,17.325,17.1462,DOWN,0
2000-01-11,17.625,18.125,19.2953,17.5,17.1288,DOWN,0
2000-01-12,16.75,17.0,19.2809,17.4375,17.0963,DOWN,0
2000-01-13,16.4375,16.0,19.2638,17.3125,17.0625,DOWN,0
2000-01-14,16.3125,16.625,19.2475,17.075,17.0363,DOWN,0
2000-01-18,16.0,16.125,19.2219,16.625,17.0125,UP,1
2000-01-19,16.25,15.75,19.2009,16.35,16.9888,DOWN,0
2000-01-20,15.75,16.375,19.175,16.15,16.9587,DOWN,0
2000-01-21,15.5,15.875,19.1381,15.9625,16.925,DOWN,0
2000-01-24,15.0625,15.625,19.0956,15.7125,16.8988,DOWN,0
2000-01-25,14.75,14.9375,19.0525,15.4625,16.8588,UP,1
2000-01-26,15.125,14.8125,19.0128,15.2375,16.8225,UP,1
2000-01-27,15.5,15.25,18.975,15.1875,16.7925,DOWN,0
2000-01-28,15.375,15.875,18.9369,15.1625,16.76,DOWN,0
2000-01-31,14.875,15.25,18.8938,15.125,16.72,DOWN,0
2000-02-01,14.625,14.8125,18.8519,15.1,16.675,DOWN,0
2000-02-02,14.5625,15.125,18.8116,14.9875,16.635,DOWN,0
2000-02-03,14.375,14.625,18.7722,14.7625,16.5775,DOWN,0
2000-02-04,14.125,14.4375,18.7341,14.5125,16.5212,UP,1
2000-02-07,16.25,14.875,18.7041,14.7875,16.5113,UP,1
2000-02-08,16.4375,16.75,18.6731,15.15,16.4875,DOWN,0
