ticker,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,0.8889,0.8779,0.9462,0.883,0.9238,DOWN,0
2000-01-04,0.8816,0.8816,0.9459,0.8823,0.9231,DOWN,0
2000-01-05,0.8779,0.8816,0.9456,0.8801,0.9224,UP,1
2000-01-06,0.8852,0.8779,0.9453,0.8823,0.9219,UP,1
2000-01-07,0.8925,0.8925,0.9449,0.8852,0.9215,UP,1
2000-01-10,0.8999,0.8925,0.9446,0.8874,0.9212,DOWN,0
2000-01-11,0.8962,0.8962,0.9441,0.8904,0.9207,DOWN,0
2000-01-12,0.8962,0.8962,0.9436,0.894,0.9202,DOWN,0
2000-01-13,0.8925,0.8999,0.9431,0.8955,0.9197,UP,1
2000-01-14,0.8962,0.8962,0.9427,0.8962,0.9191,DOWN,0
2000-01-18,0.8852,0.8925,0.9421,0.8933,0.9182,DOWN,0
2000-01-19,0.8816,0.8852,0.9415,0.8904,0.9168,UP,1
2000-01-20,0.8889,0.8816,0.941,0.8889,0.9156,DOWN,0
2000-01-21,0.8779,0.8889,0.9404,0.886,0.9141,DOWN,0
2000-01-24,0.8523,0.8779,0.9396,0.8772,0.9122,UP,1
2000-01-25,0.8633,0.8706,0.9389,0.8728,0.9108,UP,1
2000-01-26,0.8669,0.8706,0.9384,0.8699,0.9094,DOWN,0
2000-01-27,0.856,0.8743,0.9379,0.8633,0.9074,DOWN,0
2000-01-28,0.8413,0.8596,0.9371,0.856,0.9048,UP,1
2000-01-31,0.9072,0.834,0.9368,0.8669,0.9037,DOWN,0
2000-02-01,0.8962,0.9072,0.9366,0.8735,0.9024,UP,1
2000-02-02,0.9072,0.8999,0.9365,0.8816,0.9015,UP,1
2000-02-03,0.9145,0.9035,0.9364,0.8933,0.901,UP,1
2000-02-04,0.9182,0.9218,0.9364,0.9086,0.9007,DOWN,0
2000-02-07,0.9182,0.9145,0.9362,0.9108,0.9003,UP,1
