ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,2.1719,2.2617,2.6995,2.2156,2.363,DOWN,0
2000-01-04,2.0781,2.1563,2.6972,2.1844,2.3523,UP,1
2000-01-05,2.125,2.0859,2.6953,2.1734,2.3436,DOWN,0
2000-01-06,1.8984,2.1016,2.6918,2.1031,2.3322,DOWN,0
2000-01-07,1.875,1.8828,2.688,2.0297,2.32,UP,1
2000-01-10,1.9063,1.875,2.6844,1.9766,2.3073,DOWN,0
2000-01-11,1.8203,1.8906,2.6799,1.925,2.2922,DOWN,0
2000-01-12,1.6992,1.8203,2.675,1.8398,2.2746,DOWN,0
2000-01-13,1.6328,1.6914,2.6695,1.7867,2.2552,UP,1
2000-01-14,1.7031,1.6563,2.6643,1.7523,2.2368,DOWN,0
2000-01-18,1.6016,1.6953,2.6591,1.6914,2.2188,DOWN,0
2000-01-19,1.5313,1.6055,2.6531,1.6336,2.1995,UP,1
2000-01-20,1.6289,1.5313,2.6475,1.6195,2.1834,UP,1
2000-01-21,1.6797,1.6875,2.6425,1.6289,2.1691,DOWN,0
2000-01-24,1.5703,1.6758,2.6364,1.6023,2.1527,DOWN,0
2000-01-25,1.5703,1.5703,2.6305,1.5961,2.1372,UP,1
2000-01-26,1.6484,1.5469,2.6253,1.6195,2.1234,DOWN,0
2000-01-27,1.6172,1.6758,2.6198,1.6172,2.1088,DOWN,0
2000-01-28,1.6094,1.6211,2.6145,1.6031,2.0934,DOWN,0
2000-01-31,1.5938,1.6094,2.609,1.6078,2.0798,DOWN,0
2000-02-01,1.5859,1.6328,2.6038,1.6109,2.0664,DOWN,0
2000-02-02,1.5703,1.6211,2.5983,1.5953,2.0538,UP,1
2000-02-03,1.9375,1.7656,2.5941,1.6594,2.0473,DOWN,0
2000-02-04,1.875,1.9063,2.59,1.7125,2.0402,DOWN,0
2000-02-07,1.875,1.8906,2.5857,1.7688,2.0332,UP,1
