ticker,RSG US Equity,RSG US Equity,RSG US Equity,RSG US Equity,RSG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,9.4167,9.75,10.9065,9.15,8.1883,DOWN,0
2000-01-04,8.8333,9.2917,10.9004,9.2583,8.2317,DOWN,0
2000-01-05,8.6667,8.9167,10.8946,9.1667,8.2717,DOWN,0
2000-01-06,8.625,8.6667,10.889,9.0083,8.3142,UP,1
2000-01-07,9.0833,8.625,10.8842,8.925,8.3683,UP,1
2000-01-10,9.125,9.0,10.8802,8.8667,8.3925,DOWN,0
2000-01-11,8.9167,9.125,10.8754,8.8833,8.4075,UP,1
2000-01-12,8.9583,8.9167,10.8704,8.9417,8.4117,UP,1
2000-01-13,9.0,8.9167,10.8615,9.0167,8.4175,DOWN,0
2000-01-14,8.9583,8.9167,10.8538,8.9917,8.425,DOWN,0
2000-01-18,8.8333,9.0,10.844,8.9333,8.4342,DOWN,0
2000-01-19,8.6667,8.75,10.8338,8.8833,8.4475,DOWN,0
2000-01-20,8.6667,8.6667,10.824,8.825,8.4675,DOWN,0
2000-01-21,8.6667,8.7083,10.814,8.7583,8.4808,DOWN,0
2000-01-24,8.4583,8.6667,10.8013,8.6583,8.4917,DOWN,0
2000-01-25,8.3333,8.5,10.7892,8.5583,8.5025,DOWN,0
2000-01-26,7.9167,8.25,10.7744,8.4083,8.5033,UP,1
2000-01-27,8.0,8.25,10.7548,8.275,8.5067,DOWN,0
2000-01-28,7.8333,8.0,10.7325,8.1083,8.5092,DOWN,0
2000-01-31,7.8333,7.8333,10.7048,7.9833,8.5075,DOWN,0
2000-02-01,7.4167,7.9167,10.6731,7.8,8.4958,UP,1
2000-02-02,7.4583,7.4167,10.6419,7.7083,8.4825,DOWN,0
2000-02-03,7.2083,7.375,10.6129,7.55,8.4617,UP,1
2000-02-04,7.6667,7.2917,10.5863,7.5167,8.4458,DOWN,0
2000-02-07,7.5833,7.6667,10.561,7.4667,8.435,DOWN,0
