ticker,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,18.0,18.563,17.95,13.0475,,DOWN,0
2000-01-04,17.75,17.938,18.0,13.2025,,DOWN,0
2000-01-05,17.0,16.625,17.9,13.3475,,DOWN,0
2000-01-06,16.938,16.875,17.6875,13.485,,UP,1
2000-01-07,18.375,16.813,17.6125,13.6525,,UP,1
2000-01-10,22.0,21.875,18.4125,13.8938,,UP,1
2000-01-11,25.875,22.719,20.0375,14.2163,,DOWN,0
2000-01-12,22.75,27.5,21.1875,14.4788,,UP,1
2000-01-13,25.438,24.125,22.8875,14.795,,DOWN,0
2000-01-14,25.063,25.469,24.225,15.1063,,UP,1
2000-01-18,27.938,23.25,25.4125,15.4675,,DOWN,0
2000-01-19,26.875,27.938,25.6125,15.8075,,DOWN,0
2000-01-20,26.875,26.375,26.4375,16.1325,,DOWN,0
2000-01-21,26.875,27.25,26.725,16.43,,UP,1
2000-01-24,28.375,26.875,27.3875,16.7325,,UP,1
2000-01-25,30.5,28.438,27.9,17.045,,UP,1
2000-01-26,31.5,31.563,28.825,17.43,,DOWN,0
2000-01-27,28.938,32.0,29.2375,17.7638,,UP,1
2000-01-28,30.25,26.875,29.9125,18.1313,,UP,1
2000-01-31,30.313,29.75,30.3,18.4963,,UP,1
2000-02-01,33.125,31.969,30.825,18.9188,,UP,1
2000-02-02,34.0,33.938,31.325,19.3588,,UP,1
2000-02-03,35.0,34.063,32.5375,19.8175,,DOWN,0
2000-02-04,34.5,35.0,33.3875,20.2775,,UP,1
2000-02-07,35.375,34.75,34.4,20.7613,,DOWN,0
2000-02-08,34.625,35.5,34.7,21.2288,,DOWN,0
2000-02-09,33.75,34.313,34.65,21.6788,,UP,1
2000-02-10,34.75,33.875,34.6,22.1438,,UP,1
2000-02-11,34.875,35.25,34.675,22.6125,,DOWN,0
2000-02-14,34.875,35.25,34.575,23.075,,UP,1
2000-02-15,35.063,35.0,34.6625,23.5175,,DOWN,0
2000-02-16,34.125,35.125,34.7375,23.9388,,DOWN,0
2000-02-17,31.625,33.0,34.1125,24.2987,,DOWN,0
2000-02-18,27.75,31.781,32.6875,24.5738,,UP,1
2000-02-22,30.125,30.0,31.7375,24.8938,,UP,1
2000-02-23,30.875,30.313,30.9,25.2263,,UP,1
2000-02-24,33.25,33.0,30.725,25.6075,,UP,1
2000-02-25,36.0,34.125,31.6,26.0388,,DOWN,0
2000-02-28,36.0,36.5,33.25,26.4838,,UP,1
2000-02-29,40.5,36.813,35.325,26.9938,,UP,1
2000-03-01,43.375,41.0,37.825,27.5438,,DOWN,0
2000-03-02,42.875,43.25,39.75,28.0588,,UP,1
2000-03-03,44.125,43.5,41.375,28.6163,,DOWN,0
2000-03-06,43.25,44.25,42.825,29.1413,,UP,1
2000-03-07,44.75,43.813,43.675,29.6988,,UP,1
2000-03-08,48.125,45.125,44.625,30.3213,,DOWN,0
2000-03-09,47.375,49.375,45.525,30.9188,,UP,1
2000-03-10,49.625,48.0,46.625,31.5613,,UP,1
2000-03-13,53.75,49.5,48.725,32.2763,,DOWN,0
2000-03-14,52.5,54.625,50.275,32.9513,,DOWN,0
2000-03-15,48.938,52.563,50.4375,33.57,,DOWN,0
2000-03-16,45.375,49.375,50.0375,34.1225,,UP,1
2000-03-17,50.063,45.25,50.125,34.7838,,DOWN,0
2000-03-20,49.25,50.188,49.225,35.43,,DOWN,0
2000-03-21,47.188,49.25,48.1625,36.0063,,UP,1
2000-03-22,48.063,47.25,47.9875,36.5275,,UP,1
2000-03-23,48.625,49.0,48.6375,36.9825,,DOWN,0
2000-03-24,46.25,48.5,47.875,37.4525,,UP,1
2000-03-27,49.063,45.5,47.8375,37.925,,DOWN,0
2000-03-28,48.938,49.688,48.1875,38.4025,18.928,DOWN,0
2000-03-29,45.5,49.0,47.675,38.7537,19.1105,DOWN,0
2000-03-30,40.0,45.125,45.95,39.0163,19.2661,UP,1
2000-03-31,44.0,40.25,45.5,39.3588,19.4427,DOWN,0
2000-04-03,41.5,44.125,43.9875,39.6513,19.6052,DOWN,0
2000-04-04,38.625,41.688,41.925,39.8563,19.752,UP,1
2000-04-05,39.75,37.0,40.775,40.0413,19.9055,UP,1
2000-04-06,42.688,40.938,41.3125,40.265,20.072,UP,1
2000-04-07,45.125,43.0,41.5375,40.5888,20.252,DOWN,0
2000-04-10,43.125,48.5,41.8625,40.8463,20.4217,DOWN,0
2000-04-11,38.625,42.875,41.8625,41.0125,20.5686,UP,1
2000-04-12,39.875,39.063,41.8875,41.1475,20.7211,DOWN,0
2000-04-13,38.5,40.625,41.05,41.2375,20.8652,DOWN,0
2000-04-14,35.875,35.5,39.2,41.255,20.9948,DOWN,0
2000-04-17,34.25,34.0,37.425,41.25,21.1117,UP,1
2000-04-18,40.125,33.0,37.725,41.345,21.2589,DOWN,0
2000-04-19,36.813,40.25,37.1125,41.3888,21.3886,UP,1
