ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,3.082,2.9844,3.4993,3.0727,3.3074,DOWN,0
2000-01-04,2.9844,3.0078,3.4956,3.0398,3.3087,UP,1
2000-01-05,3.0234,2.9922,3.4929,3.0273,3.3096,UP,1
2000-01-06,3.1328,3.0,3.4904,3.0508,3.3112,DOWN,0
2000-01-07,3.1172,3.0938,3.4877,3.068,3.3113,UP,1
2000-01-10,3.25,3.2344,3.4863,3.1016,3.3113,DOWN,0
2000-01-11,3.1563,3.2422,3.4837,3.1359,3.3065,UP,1
2000-01-12,3.1641,3.1719,3.4818,3.1641,3.3021,UP,1
2000-01-13,3.3906,3.1719,3.4813,3.2156,3.3023,DOWN,0
2000-01-14,3.3047,3.3984,3.4793,3.2531,3.3018,DOWN,0
2000-01-18,3.2578,3.2734,3.4763,3.2547,3.3005,DOWN,0
2000-01-19,3.1875,3.2578,3.473,3.2609,3.2924,DOWN,0
2000-01-20,3.1328,3.1953,3.4693,3.2547,3.2827,DOWN,0
2000-01-21,3.1211,3.1641,3.465,3.2008,3.2725,DOWN,0
2000-01-24,3.0703,3.125,3.4601,3.1539,3.2631,UP,1
2000-01-25,3.25,3.0391,3.4561,3.1523,3.2573,UP,1
2000-01-26,3.625,3.3672,3.4542,3.2398,3.2592,DOWN,0
2000-01-27,3.6094,3.6094,3.4526,3.3352,3.2609,UP,1
2000-01-28,3.7266,3.625,3.4508,3.4563,3.2645,UP,1
2000-01-31,4.0,3.7422,3.4509,3.6422,3.2723,UP,1
2000-02-01,4.0391,3.9688,3.4526,3.8,3.2778,DOWN,0
2000-02-02,3.9766,4.0313,3.4532,3.8703,3.2864,DOWN,0
2000-02-03,3.9297,3.9844,3.4534,3.9344,3.2956,UP,1
2000-02-04,4.2969,4.0625,3.4544,4.0484,3.3141,DOWN,0
2000-02-07,4.2813,4.2891,3.4558,4.1047,3.3309,UP,1
