ticker,SCHW US Equity,SCHW US Equity,SCHW US Equity,SCHW US Equity,SCHW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,24.6667,25.6667,29.5861,25.2917,25.6467,DOWN,0
2000-01-04,24.3333,24.6667,29.5592,25.5833,25.7101,UP,1
2000-01-05,24.5,24.2917,29.5401,24.8833,25.7901,DOWN,0
2000-01-06,24.5,24.25,29.522,24.7,25.8651,UP,1
2000-01-07,25.9167,25.4583,29.5007,24.7833,25.9317,UP,1
2000-01-10,26.0,26.5417,29.4757,25.05,25.9551,UP,1
2000-01-11,26.0833,26.3333,29.4463,25.4,25.9634,DOWN,0
2000-01-12,25.0833,26.0,29.4147,25.5167,25.9467,UP,1
2000-01-13,27.0,22.6667,29.3895,26.0167,25.9651,UP,1
2000-01-14,27.3333,27.9583,29.369,26.3,25.9984,DOWN,0
2000-01-18,26.0,27.0417,29.3267,26.3,25.9584,UP,1
2000-01-19,26.6667,26.625,29.2813,26.4167,25.9567,DOWN,0
2000-01-20,26.1667,26.7083,29.2188,26.6333,25.9434,DOWN,0
2000-01-21,25.6667,26.1667,29.1497,26.3667,25.9501,DOWN,0
2000-01-24,25.3333,25.25,29.0663,25.9667,25.9501,DOWN,0
2000-01-25,24.5417,24.625,28.964,25.675,25.9484,UP,1
2000-01-26,25.4167,24.4583,28.8403,25.425,25.8851,DOWN,0
2000-01-27,24.875,25.375,28.7342,25.1667,25.7859,DOWN,0
2000-01-28,23.4583,24.7083,28.6449,24.725,25.6417,UP,1
2000-01-31,23.9167,23.5,28.5731,24.4417,25.5609,DOWN,0
2000-02-01,23.75,24.2917,28.5206,24.2833,25.4234,UP,1
2000-02-02,23.8333,23.6667,28.4618,23.9667,25.2934,DOWN,0
2000-02-03,23.75,24.0,28.3839,23.7417,25.1817,UP,1
2000-02-04,25.2917,23.7917,28.309,24.1083,25.1276,UP,1
2000-02-07,27.0,25.625,28.2429,24.725,25.1342,DOWN,0
