ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-03-06,7.0,7.0,,,,UP,1
2001-03-07,8.25,7.6563,,,,UP,1
2001-03-08,8.75,8.5625,,,,DOWN,0
2001-03-09,8.5,8.875,,,,DOWN,0
2001-03-12,7.75,8.6094,8.05,,,DOWN,0
2001-03-13,7.6875,7.8281,8.1875,,,DOWN,0
2001-03-14,7.25,7.25,7.9875,,,DOWN,0
2001-03-15,6.625,7.3125,7.5625,,,UP,1
2001-03-16,7.0625,6.6406,7.275,,,UP,1
2001-03-19,7.125,7.125,7.15,,,DOWN,0
2001-03-20,7.0625,7.1094,7.025,,,DOWN,0
2001-03-21,7.0,7.0625,6.975,,,DOWN,0
2001-03-22,7.0,7.0,7.05,,,DOWN,0
2001-03-23,6.6875,7.0313,6.975,,,UP,1
2001-03-26,6.9063,6.625,6.9313,,,DOWN,0
2001-03-27,6.5625,7.0625,6.8313,,,DOWN,0
2001-03-28,6.1875,6.75,6.6688,,,DOWN,0
2001-03-29,5.4375,6.0469,6.3563,,,DOWN,0
2001-03-30,5.0,5.375,6.0188,,,UP,1
2001-04-02,5.5,5.5,5.7375,,,DOWN,0
2001-04-03,5.1875,5.375,5.4625,,,DOWN,0
2001-04-04,4.875,5.1875,5.2,,,UP,1
2001-04-05,5.5938,5.0625,5.2313,,,UP,1
2001-04-06,6.5,5.75,5.5313,,,UP,1
2001-04-09,6.7,6.5,5.7713,,,DOWN,0
2001-04-10,6.4,6.745,6.0138,,,UP,1
2001-04-11,6.52,6.405,6.3428,,,UP,1
2001-04-12,6.58,6.55,6.54,,,DOWN,0
2001-04-16,6.06,6.58,6.452,,,UP,1
2001-04-17,6.1,6.01,6.332,,,UP,1
2001-04-18,6.82,6.1,6.416,,,DOWN,0
2001-04-19,6.8,6.89,6.472,,,UP,1
2001-04-20,6.95,6.7,6.546,,,DOWN,0
2001-04-23,6.95,7.0,6.724,,,DOWN,0
2001-04-24,6.85,6.895,6.874,,,DOWN,0
2001-04-25,6.75,6.69,6.86,,,DOWN,0
2001-04-26,6.65,6.76,6.83,,,UP,1
2001-04-27,8.24,6.675,7.088,,,DOWN,0
2001-04-30,8.05,8.21,7.308,,,UP,1
2001-05-01,8.08,8.05,7.554,,,UP,1
2001-05-02,8.25,8.255,7.854,,,DOWN,0
2001-05-03,8.1,8.165,8.144,,,UP,1
2001-05-04,9.2,8.045,8.336,,,UP,1
2001-05-07,10.38,9.6,8.802,,,DOWN,0
2001-05-08,10.35,10.975,9.256,,,DOWN,0
2001-05-09,10.02,10.3,9.61,,,DOWN,0
2001-05-10,9.91,10.05,9.972,,,UP,1
2001-05-11,9.93,9.895,10.118,,,DOWN,0
2001-05-14,8.82,9.99,9.806,,,DOWN,0
2001-05-15,8.1,8.92,9.356,7.3012,,UP,1
2001-05-16,9.39,8.08,9.23,7.349,,DOWN,0
2001-05-17,8.97,9.4,9.042,7.3634,,DOWN,0
2001-05-18,8.25,8.93,8.706,7.3534,,UP,1
2001-05-21,8.43,8.15,8.628,7.352,,UP,1
2001-05-22,8.9,8.9,8.788,7.375,,UP,1
2001-05-23,9.15,8.77,8.74,7.4043,,UP,1
2001-05-24,9.18,9.2,8.782,7.4429,,DOWN,0
2001-05-25,8.78,9.18,8.888,7.486,,DOWN,0
2001-05-29,8.75,8.875,8.952,7.5197,,DOWN,0
2001-05-30,8.69,8.66,8.91,7.551,,UP,1
2001-05-31,9.0,8.64,8.88,7.5898,,DOWN,0
2001-06-01,8.71,8.995,8.786,7.624,,UP,1
2001-06-04,9.0,8.745,8.83,7.664,,UP,1
2001-06-05,9.25,9.15,8.93,7.7152,,DOWN,0
2001-06-06,8.92,9.25,8.976,7.7555,,DOWN,0
2001-06-07,8.75,9.0,8.926,7.7992,,DOWN,0
2001-06-08,8.52,8.9,8.888,7.8459,,DOWN,0
2001-06-11,7.55,8.84,8.598,7.8881,,DOWN,0
2001-06-12,6.94,7.74,8.136,7.9269,,UP,1
2001-06-13,7.08,7.035,7.768,7.9585,,DOWN,0
2001-06-14,6.58,7.0,7.334,7.9864,,UP,1
2001-06-15,6.8,6.52,6.99,8.0249,,DOWN,0
2001-06-18,6.7,6.71,6.82,8.047,,DOWN,0
2001-06-19,6.46,6.69,6.724,8.0462,,DOWN,0
2001-06-20,6.26,6.45,6.56,8.0374,,UP,1
2001-06-21,6.85,6.22,6.614,8.0464,,DOWN,0
2001-06-22,6.5,6.885,6.554,8.046,,UP,1
2001-06-25,6.7,6.84,6.554,8.0484,,DOWN,0
2001-06-26,6.66,6.82,6.594,8.0604,,UP,1
2001-06-27,6.74,6.765,6.69,8.0732,,DOWN,0
2001-06-28,6.55,6.75,6.63,8.0678,,DOWN,0
2001-06-29,6.1,6.5,6.55,8.0538,,UP,1
2001-07-02,6.33,6.14,6.476,8.0414,,UP,1
2001-07-03,6.44,6.39,6.432,8.0312,,UP,1
