ticker,SNPS US Equity,SNPS US Equity,SNPS US Equity,SNPS US Equity,SNPS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,32.7813,33.75,28.3888,32.5625,32.5069,DOWN,0
2000-01-04,30.4375,32.4375,28.4173,32.3313,32.57,UP,1
2000-01-05,30.7031,30.375,28.4537,32.0094,32.6228,DOWN,0
2000-01-06,28.4688,30.7188,28.4729,31.1531,32.6153,UP,1
2000-01-07,28.75,28.5625,28.4891,30.2281,32.5966,UP,1
2000-01-10,30.1563,29.25,28.5152,29.7031,32.5947,DOWN,0
2000-01-11,28.9688,29.9375,28.5266,29.4094,32.5509,DOWN,0
2000-01-12,26.7188,28.7813,28.529,28.6125,32.4772,UP,1
2000-01-13,27.5313,27.6328,28.5323,28.425,32.3884,UP,1
2000-01-14,28.1875,28.0313,28.5404,28.3125,32.3266,DOWN,0
2000-01-18,27.5938,28.0,28.5634,27.8,32.2391,DOWN,0
2000-01-19,27.125,27.6875,28.5771,27.4313,32.1247,UP,1
2000-01-20,27.2813,27.25,28.5965,27.5438,32.0122,UP,1
2000-01-21,27.3125,27.3125,28.6138,27.5,31.9022,DOWN,0
2000-01-24,26.4375,27.6875,28.6293,27.15,31.7522,DOWN,0
2000-01-25,24.0,26.625,28.6363,26.4313,31.5578,DOWN,0
2000-01-26,23.8125,23.8125,28.6498,25.7688,31.3509,DOWN,0
2000-01-27,21.9063,24.0625,28.6527,24.6938,31.1372,DOWN,0
2000-01-28,21.6719,22.0938,28.6486,23.5656,30.91,UP,1
2000-01-31,23.0938,21.7188,28.6516,22.8969,30.7119,UP,1
2000-02-01,23.2813,23.3125,28.6528,22.7531,30.52,DOWN,0
2000-02-02,22.9063,23.5313,28.6514,22.5719,30.3231,UP,1
2000-02-03,23.4063,23.0,28.6631,22.8719,30.1363,DOWN,0
2000-02-04,22.625,23.625,28.6681,23.0625,29.9288,DOWN,0
2000-02-07,21.75,22.625,28.6642,22.7938,29.6963,UP,1
