ticker,SO US Equity,SO US Equity,SO US Equity,SO US Equity,SO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,13.8555,14.0458,15.8712,14.2666,14.7888,UP,1
2000-01-04,14.0078,13.7794,15.8636,14.1753,14.7546,UP,1
2000-01-05,14.731,14.0839,15.8602,14.2666,14.7355,UP,1
2000-01-06,14.7691,14.8833,15.8549,14.3351,14.7195,UP,1
2000-01-07,15.0355,14.9594,15.852,14.4798,14.699,DOWN,0
2000-01-10,14.9213,14.9594,15.8507,14.6929,14.6739,DOWN,0
2000-01-11,14.8071,14.8452,15.8518,14.8528,14.6465,UP,1
2000-01-12,15.0736,14.7691,15.8564,14.9213,14.6274,DOWN,0
2000-01-13,14.8833,15.0355,15.8598,14.9442,14.6038,DOWN,0
2000-01-14,14.6929,14.8452,15.8617,14.8757,14.5787,DOWN,0
2000-01-18,14.2362,14.4265,15.8613,14.7386,14.5483,UP,1
2000-01-19,14.5788,14.1981,15.8649,14.6929,14.5216,DOWN,0
2000-01-20,14.5026,14.3884,15.8665,14.5788,14.4957,UP,1
2000-01-21,14.9213,14.6929,15.8676,14.5864,14.4828,UP,1
2000-01-24,15.302,14.9975,15.8722,14.7082,14.4835,UP,1
2000-01-25,15.4542,15.2639,15.8758,14.9518,14.4858,UP,1
2000-01-26,15.5304,15.4542,15.8802,15.1421,14.4896,UP,1
2000-01-27,15.5684,15.5304,15.8861,15.3553,14.4957,DOWN,0
2000-01-28,15.4162,15.5684,15.8887,15.4542,14.5003,UP,1
2000-01-31,15.6446,15.4162,15.892,15.5228,14.5155,DOWN,0
2000-02-01,15.4542,15.6065,15.8908,15.5228,14.5269,DOWN,0
2000-02-02,15.34,15.3781,15.8834,15.4847,14.5361,DOWN,0
2000-02-03,15.1497,14.9975,15.8767,15.4009,14.5467,DOWN,0
2000-02-04,14.8071,15.302,15.8689,15.2791,14.5566,DOWN,0
2000-02-07,14.8071,14.731,15.8611,15.1117,14.5657,UP,1
