ticker,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity,SPGI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,29.219,30.5,27.1944,30.0313,29.5589,DOWN,0
2000-01-04,27.875,28.969,27.2003,29.6438,29.5582,DOWN,0
2000-01-05,27.5,27.813,27.2105,29.1875,29.5145,DOWN,0
2000-01-06,26.75,27.688,27.2108,28.4313,29.4695,UP,1
2000-01-07,27.0,26.813,27.2077,27.6688,29.432,UP,1
2000-01-10,28.875,27.438,27.2169,27.6,29.4245,UP,1
2000-01-11,29.031,29.5,27.2264,27.8313,29.4089,UP,1
2000-01-12,29.25,29.0,27.2369,28.1813,29.387,UP,1
2000-01-13,30.594,29.375,27.2536,28.95,29.4157,DOWN,0
2000-01-14,29.375,30.469,27.265,29.425,29.4276,DOWN,0
2000-01-18,28.406,28.75,27.2666,29.3313,29.4139,UP,1
2000-01-19,28.844,28.625,27.2732,29.2938,29.4032,DOWN,0
2000-01-20,28.75,28.969,27.2767,29.1938,29.3895,UP,1
2000-01-21,29.125,28.75,27.2767,28.9,29.3895,DOWN,0
2000-01-24,28.094,29.0,27.2694,28.6438,29.3645,DOWN,0
2000-01-25,27.625,28.344,27.2571,28.4875,29.3445,UP,1
2000-01-26,29.469,28.375,27.2583,28.6125,29.3482,UP,1
2000-01-27,29.813,29.063,27.2655,28.825,29.3501,DOWN,0
2000-01-28,29.125,29.313,27.2724,28.825,29.3389,DOWN,0
2000-01-31,28.031,28.938,27.275,28.8125,29.3057,DOWN,0
2000-02-01,28.031,28.344,27.2788,28.8938,29.2632,UP,1
2000-02-02,28.813,28.375,27.2894,28.7625,29.2314,UP,1
2000-02-03,29.438,28.813,27.2989,28.6875,29.2176,DOWN,0
2000-02-04,28.75,29.469,27.3074,28.6125,29.2208,DOWN,0
2000-02-07,28.094,28.313,27.3077,28.625,29.212,DOWN,0
2000-02-08,28.063,28.219,27.3078,28.6313,29.2095,DOWN,0
