ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,145.4375,148.25,134.9281,146.3906,140.2524,DOWN,0
2000-01-04,139.75,143.5313,134.9771,145.1031,140.4455,UP,1
2000-01-05,140.0,139.9375,135.0462,143.7406,140.6568,DOWN,0
2000-01-06,137.75,139.625,135.1004,141.9625,140.8555,UP,1
2000-01-07,145.75,140.3125,135.1817,141.7375,141.168,UP,1
2000-01-10,146.25,146.25,135.2701,141.9,141.4018,DOWN,0
2000-01-11,144.5,145.8125,135.3368,142.85,141.5518,DOWN,0
2000-01-12,143.0625,144.5938,135.3998,143.4625,141.7018,UP,1
2000-01-13,145.0,144.4688,135.4829,144.9125,141.9099,UP,1
2000-01-14,146.9688,146.5313,135.571,145.1563,142.1393,DOWN,0
2000-01-18,145.8125,145.3438,135.6381,145.0688,142.3249,UP,1
2000-01-19,147.0,145.3125,135.7126,145.5688,142.5074,DOWN,0
2000-01-20,144.75,146.9688,135.7706,145.9063,142.6424,DOWN,0
2000-01-21,144.4375,145.5,135.8185,145.7938,142.7971,DOWN,0
2000-01-24,140.3438,145.6563,135.8459,144.4688,142.8496,UP,1
2000-01-25,141.9375,140.5156,135.874,143.6938,142.9184,DOWN,0
2000-01-26,140.8125,141.0,135.9009,142.4563,142.9396,DOWN,0
2000-01-27,140.25,141.8438,135.9363,141.5563,142.943,DOWN,0
2000-01-28,135.875,139.4375,135.9524,139.8438,142.8355,UP,1
2000-01-31,139.5625,135.8125,135.9926,139.6875,142.7943,UP,1
2000-02-01,140.9375,139.75,136.0515,139.4875,142.7605,UP,1
2000-02-02,141.0625,141.2813,136.1012,139.5375,142.7319,UP,1
2000-02-03,143.1875,140.875,136.1428,140.125,142.7463,DOWN,0
2000-02-04,142.5938,143.1875,136.1749,141.4688,142.7738,DOWN,0
2000-02-07,142.375,142.5625,136.2078,142.0313,142.7819,UP,1
