ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.0938,17.375,14.8607,17.4344,15.8431,DOWN,0
2000-01-04,16.9063,17.0313,14.8802,17.2688,15.8775,UP,1
2000-01-05,17.4219,16.9063,14.9048,17.2688,15.9203,UP,1
2000-01-06,17.7969,17.375,14.9312,17.325,15.9803,UP,1
2000-01-07,19.4375,17.7813,14.9648,17.7313,16.0691,DOWN,0
2000-01-10,19.2188,19.4375,14.9984,18.1563,16.1484,UP,1
2000-01-11,19.4063,19.125,15.0319,18.6563,16.2278,DOWN,0
2000-01-12,19.0,19.4063,15.0635,18.9719,16.2956,DOWN,0
2000-01-13,18.9844,19.0,15.0954,19.2094,16.3553,UP,1
2000-01-14,19.2969,19.1094,15.1294,19.1813,16.4134,UP,1
2000-01-18,19.6563,19.2344,15.1656,19.2688,16.4709,UP,1
2000-01-19,19.9063,19.6719,15.2041,19.3688,16.5384,DOWN,0
2000-01-20,19.625,19.875,15.2422,19.4938,16.6028,DOWN,0
2000-01-21,19.5938,19.6094,15.2795,19.6156,16.6709,UP,1
2000-01-24,19.6563,19.5938,15.3161,19.6875,16.7541,DOWN,0
2000-01-25,19.25,19.6563,15.35,19.6063,16.83,DOWN,0
2000-01-26,19.1719,19.2344,15.3837,19.4594,16.9044,DOWN,0
2000-01-27,19.0938,19.125,15.416,19.3531,16.9725,DOWN,0
2000-01-28,15.75,18.375,15.432,18.5844,16.975,UP,1
2000-01-31,15.8125,15.8438,15.448,17.8156,16.9697,UP,1
2000-02-01,16.125,15.7656,15.4663,17.1906,16.965,UP,1
2000-02-02,16.3125,16.75,15.4871,16.6188,16.9625,DOWN,0
2000-02-03,16.2031,16.25,15.4909,16.0406,16.9716,UP,1
2000-02-04,16.4531,16.25,15.498,16.1813,16.9969,UP,1
2000-02-07,16.6563,16.4375,15.5052,16.35,17.0184,UP,1
