ticker,SYY US Equity,SYY US Equity,SYY US Equity,SYY US Equity,SYY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,19.0625,19.5,16.3795,19.3438,19.0625,DOWN,0
2000-01-04,18.4688,18.75,16.4027,19.1813,19.0725,UP,1
2000-01-05,18.625,18.5,16.4266,19.0875,19.0769,UP,1
2000-01-06,19.4063,18.5,16.4539,19.0688,19.1081,UP,1
2000-01-07,19.4375,19.4063,16.4819,19.0,19.1306,UP,1
2000-01-10,19.5,19.4688,16.5108,19.0875,19.1481,DOWN,0
2000-01-11,19.5,19.4375,16.5383,19.2938,19.1538,UP,1
2000-01-12,20.2188,19.5,16.5717,19.6125,19.1706,DOWN,0
2000-01-13,20.0625,20.0,16.6063,19.7438,19.1925,DOWN,0
2000-01-14,19.6875,20.2813,16.6367,19.7938,19.2031,DOWN,0
2000-01-18,19.5625,19.625,16.6684,19.8063,19.21,DOWN,0
2000-01-19,19.0938,19.5,16.6984,19.725,19.2006,DOWN,0
2000-01-20,18.0,19.2188,16.7234,19.2813,19.1575,DOWN,0
2000-01-21,17.75,17.5625,16.7455,18.8188,19.1213,DOWN,0
2000-01-24,17.0,18.4375,16.7636,18.2813,19.0688,UP,1
2000-01-25,17.2188,17.0938,16.7823,17.8125,19.0294,UP,1
2000-01-26,17.4688,17.25,16.803,17.4875,18.9944,DOWN,0
2000-01-27,17.25,17.4688,16.8209,17.3375,18.9525,DOWN,0
2000-01-28,17.0313,17.0,16.8356,17.1938,18.8994,UP,1
2000-01-31,17.7813,17.0313,16.8531,17.35,18.8575,DOWN,0
2000-02-01,17.625,17.6563,16.87,17.4313,18.8125,UP,1
2000-02-02,17.6875,17.875,16.8875,17.475,18.7656,DOWN,0
2000-02-03,17.2188,17.5625,16.9019,17.4688,18.71,DOWN,0
2000-02-04,16.875,17.0938,16.9145,17.4375,18.6563,DOWN,0
2000-02-07,16.3438,16.5,16.9242,17.15,18.595,UP,1
