ticker,TDG US Equity,TDG US Equity,TDG US Equity,TDG US Equity,TDG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-03-14,21.0,21.0,,,,UP,1
2006-03-15,24.1,23.95,,,,UP,1
2006-03-16,24.27,24.1,,,,UP,1
2006-03-17,25.01,24.25,,,,DOWN,0
2006-03-20,24.9,25.17,23.856,,,DOWN,0
2006-03-21,24.2,24.89,24.496,,,DOWN,0
2006-03-22,24.16,24.05,24.508,,,DOWN,0
2006-03-23,24.1,24.09,24.474,,,UP,1
2006-03-24,24.5,24.3,24.372,,,UP,1
2006-03-27,24.75,24.65,24.342,,,DOWN,0
2006-03-28,24.7,24.73,24.442,,,UP,1
2006-03-29,24.9,24.95,24.59,,,UP,1
2006-03-30,25.45,24.95,24.86,,,UP,1
2006-03-31,25.75,25.5,25.11,,,DOWN,0
2006-04-03,24.9,25.8,25.14,,,DOWN,0
2006-04-04,24.8,24.89,25.16,,,DOWN,0
2006-04-05,24.68,24.75,25.116,,,DOWN,0
2006-04-06,24.25,24.5,24.876,,,DOWN,0
2006-04-07,24.11,24.25,24.548,,,UP,1
2006-04-10,24.31,24.05,24.43,,,DOWN,0
2006-04-11,24.1,24.28,24.29,,,DOWN,0
2006-04-12,24.1,25.35,24.174,,,UP,1
2006-04-13,24.38,24.15,24.2,,,UP,1
2006-04-17,24.6,24.39,24.298,,,DOWN,0
2006-04-18,24.25,24.52,24.286,,,UP,1
2006-04-19,24.75,24.25,24.416,,,UP,1
2006-04-20,25.6,24.8,24.716,,,DOWN,0
2006-04-21,25.45,25.7,24.93,,,UP,1
2006-04-24,25.51,25.45,25.112,,,UP,1
2006-04-25,25.8,25.48,25.422,,,DOWN,0
2006-04-26,25.75,25.65,25.622,,,DOWN,0
2006-04-27,25.39,25.76,25.58,,,DOWN,0
2006-04-28,24.73,25.39,25.436,,,UP,1
2006-05-01,25.14,24.73,25.362,,,DOWN,0
2006-05-02,24.75,25.15,25.152,,,DOWN,0
2006-05-03,24.62,24.75,24.926,,,DOWN,0
2006-05-04,24.58,24.52,24.764,,,DOWN,0
2006-05-05,24.55,24.5,24.728,,,UP,1
2006-05-08,24.86,24.5,24.672,,,UP,1
2006-05-09,24.92,24.88,24.706,,,UP,1
2006-05-10,24.99,25.05,24.78,,,UP,1
2006-05-11,25.8,25.09,25.024,,,DOWN,0
2006-05-12,25.47,25.4,25.208,,,DOWN,0
2006-05-15,25.28,25.39,25.292,,,UP,1
2006-05-16,25.54,25.25,25.416,,,DOWN,0
2006-05-17,25.4,25.45,25.498,,,UP,1
2006-05-18,25.41,25.33,25.42,,,DOWN,0
2006-05-19,25.4,25.31,25.406,,,UP,1
2006-05-22,25.51,25.36,25.452,,,DOWN,0
2006-05-23,25.25,25.35,25.394,24.8144,,UP,1
2006-05-24,25.3,25.2,25.374,24.9004,,DOWN,0
2006-05-25,25.08,25.25,25.308,24.92,,DOWN,0
2006-05-26,25.0,25.0,25.228,24.9346,,DOWN,0
2006-05-30,24.98,24.98,25.122,24.934,,UP,1
2006-05-31,25.19,25.0,25.11,24.9398,,UP,1
2006-06-01,26.0,25.09,25.25,24.9758,,UP,1
2006-06-02,26.5,25.9,25.534,25.0226,,DOWN,0
2006-06-05,26.48,26.4,25.83,25.0702,,DOWN,0
2006-06-06,26.05,26.48,26.044,25.1012,,DOWN,0
2006-06-07,25.87,26.05,26.18,25.1236,,DOWN,0
2006-06-08,25.82,25.77,26.144,25.146,,DOWN,0
2006-06-09,24.8,25.85,25.804,25.144,,DOWN,0
2006-06-12,24.01,24.85,25.31,25.1152,,DOWN,0
2006-06-13,23.04,23.89,24.708,25.061,,DOWN,0
2006-06-14,22.23,23.0,23.98,25.0076,,UP,1
2006-06-15,22.45,22.33,23.306,24.9606,,UP,1
2006-06-16,23.45,22.51,23.036,24.936,,DOWN,0
2006-06-19,22.9,23.65,22.814,24.909,,UP,1
2006-06-20,23.67,23.13,22.94,24.9002,,UP,1
2006-06-21,24.44,23.62,23.382,24.9028,,UP,1
2006-06-22,24.63,24.53,23.818,24.9134,,UP,1
2006-06-23,25.38,24.7,24.204,24.939,,UP,1
2006-06-26,26.06,25.4,24.836,24.9726,,UP,1
2006-06-27,26.11,25.83,25.324,25.0028,,DOWN,0
2006-06-28,25.47,26.16,25.53,25.0272,,UP,1
2006-06-29,25.88,25.47,25.78,25.0498,,DOWN,0
2006-06-30,23.95,25.9,25.494,25.0168,,DOWN,0
2006-07-03,23.53,24.2,24.988,24.9784,,DOWN,0
2006-07-05,23.48,23.43,24.462,24.9378,,DOWN,0
2006-07-06,23.04,23.48,23.976,24.8826,,DOWN,0
2006-07-07,23.0,22.96,23.4,24.8276,,UP,1
2006-07-10,23.16,23.0,23.242,24.783,,UP,1
2006-07-11,23.47,23.12,23.23,24.7578,,UP,1
2006-07-12,23.55,23.46,23.244,24.726,,DOWN,0
2006-07-13,23.48,23.43,23.332,24.7006,,DOWN,0
2006-07-14,23.11,23.22,23.354,24.6704,,UP,1
