ticker,TDY US Equity,TDY US Equity,TDY US Equity,TDY US Equity,TDY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,9.375,9.5625,9.325,,,DOWN,0
2000-01-04,9.125,9.375,9.3125,,,UP,1
2000-01-05,9.5,9.0625,9.3375,,,DOWN,0
2000-01-06,9.25,9.625,9.3375,,,UP,1
2000-01-07,9.5625,9.5625,9.3625,,,UP,1
2000-01-10,9.75,9.5625,9.4375,,,DOWN,0
2000-01-11,9.375,9.5,9.4875,,,DOWN,0
2000-01-12,9.375,9.375,9.4625,,,DOWN,0
2000-01-13,9.25,9.25,9.4625,,,UP,1
2000-01-14,9.5625,9.25,9.4625,,,UP,1
2000-01-18,9.625,9.5625,9.4375,,,UP,1
2000-01-19,9.6875,9.75,9.5,,,DOWN,0
2000-01-20,9.4375,9.6875,9.5125,,,UP,1
2000-01-21,9.75,9.375,9.6125,,,DOWN,0
2000-01-24,9.625,9.9375,9.625,,,DOWN,0
2000-01-25,9.5625,9.75,9.6125,,,DOWN,0
2000-01-26,9.5625,9.6875,9.5875,,,UP,1
2000-01-27,9.6875,9.6875,9.6375,,,DOWN,0
2000-01-28,9.25,9.8125,9.5375,,,DOWN,0
2000-01-31,9.25,9.375,9.4625,,,DOWN,0
2000-02-01,9.25,9.1875,9.4,,,DOWN,0
2000-02-02,9.1875,9.375,9.325,,,DOWN,0
2000-02-03,9.1875,9.1875,9.225,9.1613,,DOWN,0
2000-02-04,9.0,9.4375,9.175,9.1725,,DOWN,0
2000-02-07,8.9375,9.1875,9.1125,9.1413,,UP,1
2000-02-08,9.0,8.9375,9.0625,9.1113,,DOWN,0
2000-02-09,8.9375,9.0,9.0125,9.105,,DOWN,0
2000-02-10,8.75,9.0625,8.925,9.1038,,DOWN,0
2000-02-11,8.6875,8.875,8.8625,9.085,,DOWN,0
2000-02-14,8.625,8.8125,8.8,9.07,,UP,1
2000-02-15,8.9375,8.625,8.7875,9.06,,DOWN,0
2000-02-16,8.8125,8.875,8.7625,9.0513,,UP,1
2000-02-17,9.0,8.9375,8.8125,9.0525,,UP,1
2000-02-18,9.1875,8.9375,8.9125,9.0563,,UP,1
2000-02-22,9.5,9.375,9.0875,9.0788,,DOWN,0
2000-02-23,9.0,9.625,9.1,9.0975,,DOWN,0
2000-02-24,8.875,9.125,9.1125,9.1163,,DOWN,0
2000-02-25,8.8125,9.125,9.075,9.1337,,UP,1
2000-02-28,8.875,8.9375,9.0125,9.15,,DOWN,0
2000-02-29,8.6875,9.0,8.85,9.1575,,DOWN,0
2000-03-01,8.5625,8.6875,8.7625,9.1613,,DOWN,0
2000-03-02,8.5,8.5,8.6875,9.1625,,UP,1
2000-03-03,8.875,8.625,8.7,9.1725,,UP,1
2000-03-06,9.0,8.8125,8.725,9.1775,,DOWN,0
2000-03-07,8.625,9.0625,8.7125,9.1725,,UP,1
2000-03-08,8.8125,8.625,8.7625,9.1688,,UP,1
2000-03-09,9.0,8.9375,8.8625,9.165,,UP,1
2000-03-10,9.3125,9.125,8.95,9.1638,,UP,1
2000-03-13,10.1875,9.4375,9.1875,9.1825,,UP,1
2000-03-14,10.8125,10.5,9.625,9.21,,DOWN,0
2000-03-15,10.625,10.9375,9.9875,9.235,,UP,1
2000-03-16,10.9375,11.0,10.375,9.2713,,UP,1
2000-03-17,12.375,11.0,10.9875,9.3288,,UP,1
2000-03-20,13.0625,13.0,11.5625,9.405,,UP,1
2000-03-21,13.625,13.4375,12.125,9.4863,,DOWN,0
2000-03-22,13.5625,13.625,12.7125,9.5625,,UP,1
2000-03-23,13.625,13.5,13.25,9.6475,,UP,1
2000-03-24,15.6875,13.9375,13.9125,9.7738,,UP,1
2000-03-27,18.375,16.5,14.975,9.9563,,UP,1
2000-03-28,26.0,19.5625,17.45,10.285,,DOWN,0
2000-03-29,18.75,24.9375,18.4875,10.4675,,UP,1
2000-03-30,19.0,18.25,19.5625,10.6538,,DOWN,0
2000-03-31,18.5,18.25,20.125,10.835,,DOWN,0
2000-04-03,15.8125,17.5,19.6125,10.9563,,DOWN,0
2000-04-04,14.875,15.75,17.3875,11.0613,,UP,1
2000-04-05,16.0,14.875,16.8375,11.19,,DOWN,0
2000-04-06,15.8125,16.25,16.2,11.315,,UP,1
2000-04-07,15.9375,16.1875,15.6875,11.44,,DOWN,0
2000-04-10,15.875,16.4375,15.7,11.5725,,DOWN,0
2000-04-11,15.625,15.8125,15.85,11.7,,DOWN,0
2000-04-12,15.5625,15.8125,15.7625,11.8263,,UP,1
2000-04-13,16.1875,15.625,15.8375,11.9663,,DOWN,0
2000-04-14,13.875,16.3125,15.425,12.06,,UP,1
2000-04-17,14.625,13.75,15.175,12.1725,,UP,1
2000-04-18,16.5625,15.125,15.3625,12.325,,UP,1
2000-04-19,17.125,16.5625,15.675,12.4875,,DOWN,0
2000-04-20,17.0625,17.0,15.85,12.65,,UP,1
2000-04-24,17.8125,17.0625,16.6375,12.8313,,UP,1
2000-04-25,19.1875,17.9375,17.55,13.0413,,UP,1
