ticker,TGT US Equity,TGT US Equity,TGT US Equity,TGT US Equity,TGT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,36.0313,36.125,32.4433,36.6375,33.661,DOWN,0
2000-01-04,34.4688,34.75,32.4485,36.1063,33.6854,DOWN,0
2000-01-05,33.6875,34.4688,32.45,35.5625,33.701,DOWN,0
2000-01-06,32.0938,33.0,32.4429,34.6,33.7322,UP,1
2000-01-07,33.75,32.0,32.4379,34.0063,33.7854,DOWN,0
2000-01-10,33.0938,33.25,32.4325,33.4188,33.8097,UP,1
2000-01-11,34.0938,33.0313,32.4313,33.3438,33.8454,DOWN,0
2000-01-12,33.7188,34.1563,32.428,33.35,33.8841,UP,1
2000-01-13,34.5,34.5625,32.434,33.8313,33.9372,UP,1
2000-01-14,34.625,35.0,32.4382,34.0063,33.9972,DOWN,0
2000-01-18,34.0,33.75,32.4397,34.1875,34.0379,UP,1
2000-01-19,34.9688,34.0313,32.4427,34.3625,34.0835,DOWN,0
2000-01-20,33.8438,34.9688,32.4404,34.3875,34.1316,DOWN,0
2000-01-21,32.4063,34.375,32.425,33.9688,34.1604,DOWN,0
2000-01-24,31.75,32.75,32.399,33.3938,34.1854,UP,1
2000-01-25,32.5625,32.25,32.3724,33.1063,34.2235,UP,1
2000-01-26,34.0625,32.5,32.3605,32.925,34.291,DOWN,0
2000-01-27,33.6563,33.9688,32.3516,32.8875,34.3441,DOWN,0
2000-01-28,31.6875,33.7188,32.3391,32.7438,34.3704,UP,1
2000-01-31,32.9375,31.875,32.3332,32.9813,34.406,UP,1
2000-02-01,33.7188,33.0,32.3424,33.2125,34.4441,UP,1
2000-02-02,34.0,33.75,32.3443,33.2,34.4785,DOWN,0
2000-02-03,33.0313,33.875,32.339,33.075,34.4947,DOWN,0
2000-02-04,32.3125,33.4688,32.3286,33.2,34.4741,UP,1
2000-02-07,32.8438,32.5,32.3182,33.1813,34.4653,UP,1
