ticker,TMO US Equity,TMO US Equity,TMO US Equity,TMO US Equity,TMO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,12.938,12.938,13.762,12.9708,12.4921,DOWN,0
2000-01-04,12.453,12.831,13.7633,12.8738,12.5126,UP,1
2000-01-05,12.561,12.723,13.7668,12.7768,12.5363,DOWN,0
2000-01-06,12.561,12.399,13.7701,12.6905,12.559,UP,1
2000-01-07,12.723,12.453,13.7736,12.6474,12.5892,DOWN,0
2000-01-10,12.615,12.561,13.7768,12.5827,12.6118,UP,1
2000-01-11,12.723,12.507,13.7798,12.6366,12.6334,DOWN,0
2000-01-12,12.399,12.723,13.783,12.6043,12.6463,UP,1
2000-01-13,12.831,12.292,13.7887,12.6582,12.6603,DOWN,0
2000-01-14,12.615,12.885,13.7935,12.6366,12.6689,DOWN,0
2000-01-18,12.453,12.723,13.7959,12.6043,12.6743,DOWN,0
2000-01-19,12.292,12.345,13.7976,12.518,12.6786,UP,1
2000-01-20,12.507,12.345,13.8016,12.5396,12.6873,DOWN,0
2000-01-21,12.453,12.507,13.8067,12.4641,12.697,UP,1
2000-01-24,12.615,12.507,13.8145,12.4641,12.7088,UP,1
2000-01-25,12.723,12.561,13.8213,12.518,12.7261,UP,1
2000-01-26,13.424,12.723,13.8318,12.7444,12.7574,UP,1
2000-01-27,14.232,14.017,13.848,13.0894,12.807,DOWN,0
2000-01-28,14.017,13.909,13.8633,13.4021,12.8522,UP,1
2000-01-31,14.933,14.125,13.8765,13.8658,12.9148,UP,1
2000-02-01,15.257,15.311,13.8922,14.3725,12.973,DOWN,0
2000-02-02,14.987,15.095,13.904,14.6852,13.0237,UP,1
2000-02-03,15.149,15.041,13.9164,14.8685,13.0765,DOWN,0
2000-02-04,15.041,15.095,13.9288,15.0733,13.1229,DOWN,0
2000-02-07,15.041,14.987,13.9404,15.0949,13.1692,DOWN,0
2000-02-08,14.556,15.095,13.9472,14.9547,13.208,DOWN,0
