ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-10-04,2.0,2.0,,,,UP,1
2000-10-05,2.5391,2.5,,,,DOWN,0
2000-10-06,2.4531,2.5469,,,,DOWN,0
2000-10-09,2.2656,2.4297,,,,UP,1
2000-10-10,2.2969,2.25,2.3109,,,DOWN,0
2000-10-11,2.2188,2.2891,2.3547,,,DOWN,0
2000-10-12,2.1094,2.1875,2.2688,,,UP,1
2000-10-13,2.1563,2.0781,2.2094,,,UP,1
2000-10-16,2.1641,2.1563,2.1891,,,UP,1
2000-10-17,2.2969,2.1563,2.1891,,,DOWN,0
2000-10-18,2.1797,2.2813,2.1813,,,DOWN,0
2000-10-19,2.1328,2.1953,2.1859,,,DOWN,0
2000-10-20,2.125,2.1484,2.1797,,,DOWN,0
2000-10-23,2.0938,2.125,2.1656,,,UP,1
2000-10-24,2.1875,2.125,2.1438,,,UP,1
2000-10-25,2.2813,2.1875,2.1641,,,DOWN,0
2000-10-26,2.2656,2.2656,2.1906,,,UP,1
2000-10-27,2.4375,2.2891,2.2531,,,UP,1
2000-10-30,2.6875,2.4141,2.3719,,,UP,1
2000-10-31,2.9219,2.8125,2.5188,,,DOWN,0
2000-11-01,2.8984,2.8906,2.6422,,,UP,1
2000-11-02,2.9844,2.9141,2.7859,,,UP,1
2000-11-03,3.1563,2.9531,2.9297,,,DOWN,0
2000-11-06,3.0078,3.1563,2.9938,,,DOWN,0
2000-11-07,2.9688,3.0,3.0031,,,UP,1
2000-11-08,3.0,2.7813,3.0234,,,DOWN,0
2000-11-09,2.9922,3.0,3.025,,,UP,1
2000-11-10,3.0938,2.9844,3.0125,,,DOWN,0
2000-11-13,2.7656,3.0625,2.9641,,,UP,1
2000-11-14,2.8438,2.75,2.9391,,,UP,1
2000-11-15,2.875,2.8594,2.9141,,,DOWN,0
2000-11-16,2.8672,2.8594,2.8891,,,UP,1
2000-11-17,2.9219,2.8906,2.8547,,,DOWN,0
2000-11-20,2.8438,2.9063,2.8703,,,DOWN,0
2000-11-21,2.8281,2.8359,2.8672,,,UP,1
2000-11-22,2.875,2.8438,2.8672,,,DOWN,0
2000-11-24,2.875,2.875,2.8688,,,UP,1
2000-11-27,2.9688,2.9063,2.8781,,,DOWN,0
2000-11-28,2.9375,2.9453,2.8969,,,DOWN,0
2000-11-29,2.7813,2.9063,2.8875,,,DOWN,0
2000-11-30,2.7656,2.75,2.8656,,,DOWN,0
2000-12-01,2.75,2.7344,2.8406,,,UP,1
2000-12-04,2.8906,2.7344,2.825,,,DOWN,0
2000-12-05,2.7813,2.8906,2.7938,,,UP,1
2000-12-06,2.8828,2.7656,2.8141,,,UP,1
2000-12-07,3.0,2.9141,2.8609,,,UP,1
2000-12-08,3.1719,3.0313,2.9453,,,UP,1
2000-12-11,3.2266,3.1719,3.0125,,,DOWN,0
2000-12-12,3.1172,3.1641,3.0797,,,DOWN,0
2000-12-13,3.0,3.1016,3.1031,2.6777,,DOWN,0
2000-12-14,2.6328,3.0,3.0297,2.6903,,DOWN,0
2000-12-15,2.6328,2.6406,2.9219,2.6922,,DOWN,0
2000-12-18,2.5781,2.6563,2.7922,2.6947,,UP,1
2000-12-19,2.5938,2.5703,2.6875,2.7013,,DOWN,0
2000-12-20,2.5313,2.5859,2.5938,2.7059,,UP,1
2000-12-21,2.625,2.5469,2.5922,2.7141,,UP,1
2000-12-22,2.7969,2.625,2.625,2.7278,,UP,1
2000-12-26,2.9375,2.8047,2.6969,2.7434,,UP,1
2000-12-27,3.125,3.0,2.8031,2.7627,,UP,1
2000-12-28,3.5313,3.125,3.0031,2.7873,,UP,1
2000-12-29,3.5938,3.5313,3.1969,2.8156,,DOWN,0
2001-01-02,3.2656,3.5781,3.2906,2.8383,,DOWN,0
2001-01-03,3.2578,3.25,3.3547,2.8609,,DOWN,0
2001-01-04,3.125,3.25,3.3547,2.8816,,DOWN,0
2001-01-05,3.0469,3.1094,3.2578,2.8988,,DOWN,0
2001-01-08,2.8047,3.0313,3.1,2.9092,,UP,1
2001-01-09,2.9063,2.875,3.0281,2.922,,UP,1
2001-01-10,3.1406,3.1563,3.0047,2.9361,,UP,1
2001-01-11,3.4063,3.1563,3.0609,2.9505,,DOWN,0
2001-01-12,3.3281,3.375,3.1172,2.9586,,UP,1
2001-01-16,3.5547,3.2969,3.2672,2.9717,,UP,1
2001-01-17,3.625,3.5547,3.4109,2.9845,,UP,1
2001-01-18,3.75,3.625,3.5328,2.9964,,UP,1
2001-01-19,3.7969,3.8125,3.6109,3.0122,,UP,1
2001-01-22,3.875,3.8047,3.7203,3.0303,,DOWN,0
2001-01-23,3.875,4.0,3.7844,3.0478,,DOWN,0
2001-01-24,3.8438,3.8672,3.8281,3.0648,,DOWN,0
2001-01-25,3.7813,3.8359,3.8344,3.0786,,UP,1
2001-01-26,3.8125,3.7813,3.8375,3.0995,,UP,1
2001-01-29,3.8725,3.8275,3.837,3.1201,,UP,1
