ticker,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.5625,18.5313,17.2655,18.0563,17.9861,DOWN,0
2000-01-04,17.0313,17.3438,17.2607,17.9125,18.0161,DOWN,0
2000-01-05,17.0,16.875,17.2608,17.6125,18.0455,UP,1
2000-01-06,17.5,16.9688,17.2646,17.5125,18.088,DOWN,0
2000-01-07,17.375,17.6094,17.2674,17.2938,18.1286,UP,1
2000-01-10,17.5625,17.6563,17.2713,17.2938,18.1542,DOWN,0
2000-01-11,17.5,17.5,17.2724,17.3875,18.1492,UP,1
2000-01-12,18.25,17.7813,17.2788,17.6375,18.1417,UP,1
2000-01-13,19.25,18.3125,17.2891,17.9875,18.1711,UP,1
2000-01-14,19.5313,19.375,17.3068,18.4188,18.2117,DOWN,0
2000-01-18,18.7813,19.4063,17.3198,18.6625,18.2255,UP,1
2000-01-19,19.0625,18.8438,17.3339,18.975,18.233,DOWN,0
2000-01-20,19.0625,19.2813,17.3468,19.1375,18.2367,UP,1
2000-01-21,19.9688,19.4375,17.3625,19.2813,18.2686,DOWN,0
2000-01-24,19.75,20.0625,17.3799,19.325,18.303,UP,1
2000-01-25,21.1875,19.7188,17.4055,19.8063,18.3661,DOWN,0
2000-01-26,21.0,21.1875,17.429,20.1938,18.4198,DOWN,0
2000-01-27,19.625,20.9375,17.446,20.3063,18.4423,DOWN,0
2000-01-28,18.25,19.6875,17.4597,19.9625,18.4148,UP,1
2000-01-31,19.4375,18.125,17.4725,19.9,18.4223,UP,1
2000-02-01,19.5625,19.3125,17.4779,19.575,18.4386,UP,1
2000-02-02,19.8125,19.5625,17.4854,19.3375,18.4405,DOWN,0
2000-02-03,19.2188,20.0,17.4825,19.2563,18.4223,DOWN,0
2000-02-04,18.5625,19.375,17.4825,19.3188,18.4048,DOWN,0
2000-02-07,18.3438,19.4063,17.4839,19.1,18.3973,DOWN,0
