ticker,TRV US Equity,TRV US Equity,TRV US Equity,TRV US Equity,TRV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,33.0,33.25,31.8171,33.3375,32.0845,DOWN,0
2000-01-04,32.563,32.5,31.8152,33.175,32.1895,DOWN,0
2000-01-05,32.313,32.563,31.8161,33.0,32.2907,UP,1
2000-01-06,32.938,32.313,31.8227,32.9,32.4157,UP,1
2000-01-07,34.25,33.438,31.8333,33.0125,32.5532,DOWN,0
2000-01-10,33.625,34.75,31.8411,33.1375,32.6245,DOWN,0
2000-01-11,33.25,33.375,31.8433,33.275,32.6495,UP,1
2000-01-12,33.313,33.0,31.8492,33.475,32.6832,UP,1
2000-01-13,34.0,33.313,31.8639,33.6875,32.7095,DOWN,0
2000-01-14,34.0,33.938,31.8746,33.6375,32.7495,DOWN,0
2000-01-18,32.75,33.75,31.8777,33.4625,32.7432,UP,1
2000-01-19,32.813,32.5,31.8855,33.375,32.6782,DOWN,0
2000-01-20,32.625,32.75,31.8921,33.2375,32.6145,DOWN,0
2000-01-21,31.5,32.0,31.8964,32.7375,32.5432,UP,1
2000-01-24,32.125,31.625,31.9027,32.3625,32.4995,DOWN,0
2000-01-25,31.375,32.125,31.9071,32.0875,32.4557,UP,1
2000-01-26,32.375,31.438,31.9239,32.0,32.4182,DOWN,0
2000-01-27,30.563,32.0,31.9277,31.5875,32.357,DOWN,0
2000-01-28,30.0,30.063,31.928,31.2875,32.262,UP,1
2000-01-31,30.188,29.813,31.9321,30.9,32.192,DOWN,0
2000-02-01,29.313,30.0,31.933,30.4875,32.1207,DOWN,0
2000-02-02,27.875,29.375,31.9267,29.5875,32.0232,DOWN,0
2000-02-03,26.625,27.875,31.9142,28.8,31.9282,UP,1
2000-02-04,26.75,26.75,31.8958,28.15,31.842,DOWN,0
2000-02-07,26.625,26.75,31.8771,27.4375,31.757,DOWN,0
2000-02-08,26.313,26.75,31.8614,26.8375,31.6583,DOWN,0
