ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-06-28,1.133,1.133,,,,UP,1
2010-06-29,1.593,1.267,,,,DOWN,0
2010-06-30,1.589,1.719,,,,DOWN,0
2010-07-01,1.464,1.667,,,,DOWN,0
2010-07-02,1.28,1.533,1.4117,,,DOWN,0
2010-07-06,1.074,1.333,1.3999,,,DOWN,0
2010-07-07,1.053,1.093,1.292,,,UP,1
2010-07-08,1.164,1.076,1.2071,,,DOWN,0
2010-07-09,1.16,1.172,1.1463,,,DOWN,0
2010-07-12,1.137,1.197,1.1176,,,UP,1
2010-07-13,1.209,1.16,1.1447,,,UP,1
2010-07-14,1.323,1.196,1.1985,,,UP,1
2010-07-15,1.326,1.329,1.2309,,,UP,1
2010-07-16,1.376,1.38,1.2741,,,UP,1
2010-07-19,1.461,1.425,1.3389,,,DOWN,0
2010-07-20,1.353,1.457,1.3677,,,DOWN,0
2010-07-21,1.348,1.377,1.3728,,,UP,1
2010-07-22,1.4,1.367,1.3876,,,UP,1
2010-07-23,1.419,1.413,1.3963,,,DOWN,0
2010-07-26,1.397,1.433,1.3835,,,DOWN,0
2010-07-27,1.37,1.394,1.3868,,,UP,1
2010-07-28,1.381,1.37,1.3935,,,DOWN,0
2010-07-29,1.357,1.385,1.3848,,,DOWN,0
2010-07-30,1.329,1.347,1.3668,,,UP,1
2010-08-02,1.395,1.367,1.3664,,,UP,1
2010-08-03,1.463,1.4,1.3851,,,DOWN,0
2010-08-04,1.417,1.463,1.3923,,,DOWN,0
2010-08-05,1.363,1.436,1.3936,,,DOWN,0
2010-08-06,1.306,1.34,1.3889,,,UP,1
2010-08-09,1.307,1.327,1.3713,,,DOWN,0
2010-08-10,1.269,1.31,1.3324,,,DOWN,0
2010-08-11,1.193,1.246,1.2876,,,DOWN,0
2010-08-12,1.173,1.187,1.2496,,,UP,1
2010-08-13,1.221,1.212,1.2327,,,UP,1
2010-08-16,1.252,1.23,1.2217,,,UP,1
2010-08-17,1.277,1.264,1.2233,,,DOWN,0
2010-08-18,1.251,1.306,1.2349,,,UP,1
2010-08-19,1.253,1.236,1.2508,,,UP,1
2010-08-20,1.273,1.243,1.2612,,,UP,1
2010-08-23,1.342,1.273,1.2792,,,DOWN,0
2010-08-24,1.28,1.283,1.2799,,,UP,1
2010-08-25,1.327,1.277,1.2949,,,DOWN,0
2010-08-26,1.317,1.326,1.3077,,,DOWN,0
2010-08-27,1.313,1.317,1.3157,,,UP,1
2010-08-30,1.325,1.313,1.3123,,,DOWN,0
2010-08-31,1.299,1.311,1.316,,,UP,1
2010-09-01,1.363,1.308,1.3233,,,UP,1
2010-09-02,1.404,1.358,1.3408,,,DOWN,0
2010-09-03,1.403,1.391,1.3588,,,DOWN,0
2010-09-07,1.369,1.374,1.3677,1.317,,UP,1
2010-09-08,1.393,1.377,1.3867,1.3222,,DOWN,0
2010-09-09,1.381,1.4,1.3901,1.318,,DOWN,0
2010-09-10,1.345,1.383,1.3783,1.3131,,UP,1
2010-09-13,1.381,1.393,1.3739,1.3115,,UP,1
2010-09-14,1.408,1.369,1.3816,1.314,,UP,1
2010-09-15,1.465,1.399,1.396,1.3219,,DOWN,0
2010-09-16,1.396,1.477,1.3991,1.3287,,DOWN,0
2010-09-17,1.349,1.401,1.3999,1.3324,,UP,1
2010-09-20,1.404,1.378,1.4043,1.3373,,DOWN,0
2010-09-21,1.385,1.393,1.3997,1.3422,,DOWN,0
2010-09-22,1.325,1.391,1.3715,1.3445,,DOWN,0
2010-09-23,1.304,1.326,1.3531,1.3442,,UP,1
2010-09-24,1.34,1.33,1.3514,1.3444,,UP,1
2010-09-27,1.369,1.36,1.3444,1.3443,,UP,1
2010-09-28,1.427,1.403,1.3528,1.3436,,UP,1
2010-09-29,1.465,1.413,1.3809,1.3459,,DOWN,0
2010-09-30,1.36,1.467,1.3922,1.3461,,UP,1
2010-10-01,1.373,1.379,1.3989,1.3456,,UP,1
2010-10-04,1.399,1.362,1.405,1.3452,,UP,1
2010-10-05,1.408,1.41,1.4013,1.3454,,DOWN,0
2010-10-06,1.364,1.404,1.381,1.3453,,DOWN,0
2010-10-07,1.362,1.371,1.3813,1.3449,,DOWN,0
2010-10-08,1.362,1.362,1.3791,1.345,,DOWN,0
2010-10-11,1.349,1.363,1.3691,1.3454,,DOWN,0
2010-10-12,1.349,1.347,1.3573,1.3445,,UP,1
2010-10-13,1.369,1.376,1.3584,1.3426,,UP,1
2010-10-14,1.383,1.4,1.3627,1.3419,,DOWN,0
2010-10-15,1.369,1.393,1.3641,1.3421,,DOWN,0
2010-10-18,1.349,1.368,1.364,1.3429,,DOWN,0
2010-10-19,1.337,1.347,1.3615,1.3435,,UP,1
2010-10-20,1.377,1.344,1.3629,1.3457,,UP,1
2010-10-21,1.383,1.374,1.3629,1.3495,,DOWN,0
2010-10-22,1.381,1.379,1.3653,1.3536,,UP,1
