ticker,TSN US Equity,TSN US Equity,TSN US Equity,TSN US Equity,TSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,16.0625,16.375,18.7987,16.175,16.7535,DOWN,0
2000-01-04,16.0,16.0,18.7793,16.175,16.756,UP,1
2000-01-05,16.0625,16.0,18.7621,16.1375,16.7623,UP,1
2000-01-06,16.1875,16.1875,18.7443,16.1125,16.7735,UP,1
2000-01-07,16.9375,16.3125,18.7343,16.25,16.8048,DOWN,0
2000-01-10,16.75,16.9375,18.7253,16.3875,16.8335,UP,1
2000-01-11,16.875,16.5,18.7143,16.5625,16.866,DOWN,0
2000-01-12,16.5625,16.8125,18.7021,16.6625,16.8823,UP,1
2000-01-13,17.1875,17.375,18.6846,16.8625,16.9085,DOWN,0
2000-01-14,16.3125,17.1875,18.6662,16.7375,16.9098,DOWN,0
2000-01-18,16.0,16.3125,18.6481,16.5875,16.9023,DOWN,0
2000-01-19,15.75,16.0,18.6274,16.3625,16.8835,DOWN,0
2000-01-20,15.625,15.875,18.6071,16.175,16.866,DOWN,0
2000-01-21,15.4375,15.6875,18.5856,15.825,16.846,DOWN,0
2000-01-24,14.8125,15.375,18.5596,15.525,16.8048,DOWN,0
2000-01-25,14.25,14.875,18.5321,15.175,16.7448,DOWN,0
2000-01-26,14.0,14.25,18.5031,14.825,16.676,UP,1
2000-01-27,14.1875,14.0,18.4746,14.5375,16.611,UP,1
2000-01-28,14.25,14.25,18.4462,14.3,16.551,DOWN,0
2000-01-31,13.6875,14.375,18.4146,14.075,16.476,UP,1
2000-02-01,13.875,13.6875,18.3856,14.0,16.3935,DOWN,0
2000-02-02,13.5625,14.0,18.354,13.9125,16.3135,DOWN,0
2000-02-03,13.25,13.625,18.3199,13.725,16.2285,DOWN,0
2000-02-04,13.0,13.125,18.2856,13.475,16.136,DOWN,0
2000-02-07,12.875,13.0,18.2506,13.3125,16.0435,DOWN,0
2000-02-08,12.8125,12.875,18.2168,13.1,15.9473,DOWN,0
