ticker,TXN US Equity,TXN US Equity,TXN US Equity,TXN US Equity,TXN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,51.4375,49.75,38.0137,51.2438,48.9712,DOWN,0
2000-01-04,49.25,50.75,38.134,50.3563,49.1749,DOWN,0
2000-01-05,48.0625,49.25,38.2603,49.35,49.3399,DOWN,0
2000-01-06,46.75,48.1875,38.3757,48.7625,49.4762,UP,1
2000-01-07,47.0,46.2813,38.4876,48.5,49.6387,UP,1
2000-01-10,50.2188,49.2188,38.6183,48.2563,49.808,DOWN,0
2000-01-11,49.75,50.25,38.7408,48.3563,49.9055,UP,1
2000-01-12,50.5,49.625,38.8701,48.8438,50.0455,UP,1
2000-01-13,51.1875,51.25,39.002,49.7313,50.1805,UP,1
2000-01-14,53.9375,52.4375,39.1422,51.1188,50.343,UP,1
2000-01-18,55.1875,52.5,39.2797,52.1125,50.4874,DOWN,0
2000-01-19,54.75,55.9688,39.4142,53.1125,50.648,UP,1
2000-01-20,56.4375,56.0,39.5555,54.3,50.8543,DOWN,0
2000-01-21,55.3984,57.375,39.6949,55.1422,51.0279,UP,1
2000-01-24,55.4375,57.25,39.8338,55.4422,51.1629,UP,1
2000-01-25,56.9375,56.4375,39.985,55.7922,51.2873,DOWN,0
2000-01-26,56.25,56.6563,40.1336,56.0922,51.4048,UP,1
2000-01-27,56.5,56.125,40.2859,56.1047,51.5485,DOWN,0
2000-01-28,53.5625,56.0313,40.4181,55.7375,51.611,UP,1
2000-01-31,53.875,53.4688,40.5501,55.425,51.7391,UP,1
2000-02-01,56.5625,53.8125,40.7017,55.35,51.8891,UP,1
2000-02-02,59.6875,57.6875,40.8751,56.0375,52.101,UP,1
2000-02-03,67.0,60.5,41.0742,58.1375,52.4485,DOWN,0
2000-02-04,66.0,65.875,41.2664,60.625,52.7717,UP,1
2000-02-07,67.25,65.625,41.467,63.3,53.1064,UP,1
2000-02-08,69.4375,67.5625,41.6745,65.875,53.4645,UP,1
