ticker,TYL US Equity,TYL US Equity,TYL US Equity,TYL US Equity,TYL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.875,6.0,5.1463,5.475,4.2275,UP,1
2000-01-04,6.0,6.0,5.1541,5.725,4.2625,UP,1
2000-01-05,6.188,6.125,5.1631,5.8125,4.3012,DOWN,0
2000-01-06,6.188,6.25,5.1719,5.95,4.34,DOWN,0
2000-01-07,5.938,6.188,5.1797,6.0375,4.3663,UP,1
2000-01-10,6.188,6.0,5.185,6.1,4.3975,DOWN,0
2000-01-11,5.5,6.188,5.1866,6.0,4.4138,UP,1
2000-01-12,5.813,5.5,5.1941,5.925,4.445,DOWN,0
2000-01-13,5.688,5.938,5.2006,5.825,4.4713,UP,1
2000-01-14,5.813,5.75,5.2078,5.8,4.5025,UP,1
2000-01-18,6.0,5.938,5.2172,5.7625,4.5388,DOWN,0
2000-01-19,5.938,6.0,5.2275,5.85,4.5713,DOWN,0
2000-01-20,5.875,5.938,5.2375,5.8625,4.6038,DOWN,0
2000-01-21,5.688,5.75,5.2453,5.8625,4.6288,DOWN,0
2000-01-24,5.5,5.813,5.2522,5.8,4.6475,DOWN,0
2000-01-25,5.313,5.375,5.2559,5.6625,4.6688,DOWN,0
2000-01-26,5.25,5.438,5.2603,5.525,4.6913,DOWN,0
2000-01-27,4.813,5.188,5.265,5.3125,4.7038,DOWN,0
2000-01-28,4.688,4.75,5.2653,5.1125,4.715,DOWN,0
2000-01-31,4.375,4.563,5.2622,4.8875,4.7213,DOWN,0
2000-02-01,4.188,4.313,5.2588,4.6625,4.725,UP,1
2000-02-02,4.25,4.188,5.255,4.4625,4.7313,UP,1
2000-02-03,5.0,4.25,5.25,4.5,4.7513,DOWN,0
2000-02-04,4.938,5.0,5.2438,4.55,4.7738,DOWN,0
2000-02-07,4.688,4.813,5.235,4.6125,4.7875,DOWN,0
2000-02-08,4.438,4.563,5.2266,4.6625,4.7963,DOWN,0
