ticker,UHS US Equity,UHS US Equity,UHS US Equity,UHS US Equity,UHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,9.3125,9.0313,9.7449,9.0555,8.1809,DOWN,0
2000-01-04,9.125,9.2656,9.7397,9.1125,8.2259,UP,1
2000-01-05,9.5,9.1563,9.7365,9.1969,8.2765,UP,1
2000-01-06,10.2031,9.4688,9.7376,9.4281,8.3399,UP,1
2000-01-07,11.0469,10.25,9.7437,9.8375,8.4193,UP,1
2000-01-10,11.5781,11.1563,9.7543,10.2906,8.5037,DOWN,0
2000-01-11,11.125,11.5469,9.7604,10.6906,8.5793,DOWN,0
2000-01-12,11.0781,11.1406,9.764,11.0063,8.6505,UP,1
2000-01-13,11.5,11.0625,9.7675,11.2656,8.7287,DOWN,0
2000-01-14,11.4531,11.5,9.7727,11.3469,8.8077,DOWN,0
2000-01-18,11.4375,11.5156,9.778,11.3188,8.8865,DOWN,0
2000-01-19,11.1406,11.4063,9.7838,11.3219,8.9593,UP,1
2000-01-20,12.0,12.0,9.794,11.5063,9.0499,DOWN,0
2000-01-21,12.0,12.0156,9.8047,11.6063,9.1359,DOWN,0
2000-01-24,12.0,11.9688,9.8123,11.7156,9.2168,DOWN,0
2000-01-25,11.8594,12.0156,9.8191,11.8,9.2927,DOWN,0
2000-01-26,11.6406,11.8594,9.8227,11.9,9.3634,DOWN,0
2000-01-27,11.5,11.6406,9.8233,11.8,9.429,DOWN,0
2000-01-28,11.25,11.5,9.8219,11.65,9.489,DOWN,0
2000-01-31,11.1719,11.2813,9.8147,11.4844,9.5437,UP,1
2000-02-01,11.2656,11.2031,9.8054,11.3656,9.5965,UP,1
2000-02-02,11.5,11.2656,9.7966,11.3375,9.6534,UP,1
2000-02-03,12.0156,11.5,9.7901,11.4406,9.7209,UP,1
2000-02-04,12.125,11.9844,9.7845,11.6156,9.8002,DOWN,0
2000-02-07,11.9375,12.125,9.7791,11.7688,9.8752,DOWN,0
