ticker,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-10-24,18.0,18.0,,,,UP,1
2007-10-25,29.82,33.0,,,,UP,1
2007-10-26,32.0,29.69,,,,UP,1
2007-10-29,34.7,34.0,,,,UP,1
2007-10-30,35.43,35.22,29.99,,,DOWN,0
2007-10-31,34.2,34.93,33.23,,,DOWN,0
2007-11-01,32.73,33.5,33.812,,,DOWN,0
2007-11-02,32.42,32.74,33.896,,,DOWN,0
2007-11-05,31.5,31.61,33.256,,,DOWN,0
2007-11-06,31.43,31.51,32.456,,,DOWN,0
2007-11-07,29.35,31.3,31.486,,,UP,1
2007-11-08,30.0,29.25,30.94,,,DOWN,0
2007-11-09,29.9,29.65,30.436,,,DOWN,0
2007-11-12,29.04,29.67,29.944,,,UP,1
2007-11-13,29.13,29.3,29.484,,,UP,1
2007-11-14,29.95,29.16,29.604,,,UP,1
2007-11-15,30.2,29.71,29.644,,,UP,1
2007-11-16,30.69,30.2,29.802,,,DOWN,0
2007-11-19,29.19,30.05,29.832,,,DOWN,0
2007-11-20,27.0,29.71,29.406,,,DOWN,0
2007-11-21,24.35,26.33,28.286,,,DOWN,0
2007-11-23,24.17,23.74,27.08,,,UP,1
2007-11-26,24.2,24.77,25.782,,,DOWN,0
2007-11-27,23.87,24.44,24.718,,,UP,1
2007-11-28,24.85,24.47,24.288,,,DOWN,0
2007-11-29,24.79,24.49,24.376,,,UP,1
2007-11-30,25.74,25.0,24.69,,,UP,1
2007-12-03,26.3,25.98,25.11,,,DOWN,0
2007-12-04,25.85,26.29,25.506,,,UP,1
2007-12-05,26.54,26.08,25.844,,,UP,1
2007-12-06,27.49,26.55,26.384,,,UP,1
2007-12-07,27.98,27.67,26.832,,,DOWN,0
2007-12-10,27.5,28.23,27.072,,,DOWN,0
2007-12-11,20.91,26.5,26.084,,,DOWN,0
2007-12-12,19.55,21.12,24.686,,,DOWN,0
2007-12-13,18.56,19.55,22.9,,,DOWN,0
2007-12-14,18.55,18.7,21.014,,,DOWN,0
2007-12-17,17.86,18.6,19.086,,,DOWN,0
2007-12-18,17.7,18.0,18.444,,,UP,1
2007-12-19,17.75,17.81,18.084,,,DOWN,0
2007-12-20,16.75,17.75,17.722,,,DOWN,0
2007-12-21,16.58,17.0,17.328,,,UP,1
2007-12-24,16.8,16.74,17.116,,,UP,1
2007-12-26,17.35,16.7,17.046,,,DOWN,0
2007-12-27,17.27,17.25,16.95,,,DOWN,0
2007-12-28,17.1,17.26,17.02,,,UP,1
2007-12-31,17.15,17.0,17.134,,,DOWN,0
2008-01-02,16.55,17.0,17.084,,,DOWN,0
2008-01-03,15.5,16.24,16.714,,,DOWN,0
2008-01-04,14.49,15.75,16.158,24.7346,,DOWN,0
2008-01-07,12.52,14.56,15.242,24.625,,UP,1
2008-01-08,13.55,12.8,14.522,24.2996,,UP,1
2008-01-09,14.5,13.49,14.112,23.9496,,UP,1
2008-01-10,16.07,14.35,14.226,23.577,,DOWN,0
2008-01-11,15.8,15.7,14.488,23.1844,,UP,1
2008-01-14,16.05,15.77,15.194,22.8214,,DOWN,0
2008-01-15,15.61,15.65,15.606,22.479,,UP,1
2008-01-16,15.91,15.6,15.888,22.1488,,DOWN,0
2008-01-17,14.76,15.83,15.626,21.814,,DOWN,0
2008-01-18,12.5,14.66,14.966,21.4354,,UP,1
2008-01-22,12.58,12.0,14.272,21.1,,UP,1
2008-01-23,14.25,12.28,14.0,20.785,,UP,1
2008-01-24,14.3,14.3,13.678,20.473,,UP,1
2008-01-25,15.19,14.53,13.764,20.196,,UP,1
2008-01-28,15.5,15.11,14.364,19.9234,,UP,1
2008-01-29,16.35,15.5,15.118,19.6514,,DOWN,0
2008-01-30,15.55,16.11,15.378,19.3584,,DOWN,0
2008-01-31,15.24,15.4,15.566,19.0494,,DOWN,0
2008-02-01,14.75,15.55,15.478,18.7606,,DOWN,0
2008-02-04,14.03,14.63,15.184,18.5012,,DOWN,0
2008-02-05,14.0,13.71,14.714,18.2942,,UP,1
2008-02-06,14.2,14.04,14.444,18.0948,,UP,1
2008-02-07,15.92,14.15,14.58,17.9292,,DOWN,0
2008-02-08,15.55,15.75,14.74,17.7628,,DOWN,0
2008-02-11,15.09,15.55,14.952,17.5676,,DOWN,0
2008-02-12,14.91,15.14,15.134,17.37,,UP,1
2008-02-13,14.93,15.02,15.28,17.1538,,DOWN,0
2008-02-14,14.79,14.99,15.054,16.9236,,DOWN,0
2008-02-15,14.79,14.74,14.902,16.7024,,DOWN,0
2008-02-19,14.78,15.05,14.84,16.4672,,UP,1
2008-02-20,14.92,14.74,14.842,16.2158,,DOWN,0
2008-02-21,14.78,15.06,14.812,15.9518,,DOWN,0
2008-02-22,14.0,14.79,14.654,15.6818,,UP,1
2008-02-25,14.15,14.0,14.526,15.5466,,UP,1
2008-02-26,15.17,14.08,14.604,15.459,,DOWN,0
2008-02-27,14.82,14.96,14.584,15.3842,,DOWN,0
