ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,6.719,6.641,7.0672,6.5953,6.5575,DOWN,0
2000-01-04,6.633,6.672,7.0665,6.6297,6.5688,DOWN,0
2000-01-05,6.617,6.641,7.0665,6.6484,6.5788,UP,1
2000-01-06,6.859,6.625,7.0679,6.6938,6.5935,UP,1
2000-01-07,7.664,7.188,7.0733,6.8984,6.6236,DOWN,0
2000-01-10,7.531,7.727,7.0782,7.0609,6.6494,UP,1
2000-01-11,7.547,7.375,7.0836,7.2438,6.6711,DOWN,0
2000-01-12,7.477,7.484,7.0884,7.4156,6.6902,UP,1
2000-01-13,7.711,7.516,7.0941,7.5859,6.7061,DOWN,0
2000-01-14,7.703,7.75,7.0997,7.5938,6.7278,DOWN,0
2000-01-18,7.375,7.531,7.1033,7.5625,6.7453,UP,1
2000-01-19,7.438,7.313,7.1089,7.5406,6.7627,UP,1
2000-01-20,7.625,7.438,7.1154,7.5703,6.7778,DOWN,0
2000-01-21,7.297,7.625,7.1239,7.4875,6.7905,DOWN,0
2000-01-24,6.898,7.172,7.1288,7.3266,6.7955,DOWN,0
2000-01-25,6.898,6.938,7.1342,7.2313,6.8017,DOWN,0
2000-01-26,6.883,6.813,7.1399,7.1203,6.8063,DOWN,0
2000-01-27,6.773,6.883,7.144,6.95,6.8053,DOWN,0
2000-01-28,6.578,6.531,7.1465,6.8063,6.7992,UP,1
2000-01-31,6.625,6.578,7.1483,6.7516,6.7908,UP,1
2000-02-01,6.805,6.688,7.1504,6.7328,6.7806,UP,1
2000-02-02,6.984,6.859,7.1515,6.7531,6.7811,DOWN,0
2000-02-03,6.922,6.922,7.1523,6.7828,6.7821,UP,1
2000-02-04,7.094,6.953,7.1541,6.8859,6.7847,DOWN,0
2000-02-07,7.0,7.0,7.1555,6.9609,6.7924,DOWN,0
2000-02-08,7.0,7.0,7.1565,7.0,6.8028,DOWN,0
