ticker,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity,UPS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,67.063,69.688,68.2125,,,DOWN,0
2000-01-04,64.938,67.0,67.4,,,UP,1
2000-01-05,68.0,64.875,67.4,,,DOWN,0
2000-01-06,68.0,65.875,67.4,,,DOWN,0
2000-01-07,66.375,67.625,66.875,,,UP,1
2000-01-10,67.063,66.875,66.875,,,DOWN,0
2000-01-11,65.25,67.125,66.9375,,,UP,1
2000-01-12,67.375,66.125,66.8125,,,UP,1
2000-01-13,68.313,67.625,66.875,,,UP,1
2000-01-14,69.063,68.875,67.4125,,,DOWN,0
2000-01-18,67.0,69.0,67.4,,,UP,1
2000-01-19,68.25,68.5,68.0,,,UP,1
2000-01-20,68.875,68.125,68.3,67.0113,,DOWN,0
2000-01-21,67.25,68.875,68.0875,67.3563,,DOWN,0
2000-01-24,66.0,67.875,67.475,67.3113,,DOWN,0
2000-01-25,65.875,65.625,67.25,67.1288,,DOWN,0
2000-01-26,65.125,65.25,66.625,67.0213,,DOWN,0
2000-01-27,65.125,65.313,65.875,66.9438,,DOWN,0
2000-01-28,64.938,65.125,65.4125,66.9225,,DOWN,0
2000-01-31,60.0,63.0,64.2125,66.7688,,UP,1
2000-02-01,61.375,59.688,63.3125,66.67,,DOWN,0
2000-02-02,58.25,59.75,61.9375,66.535,,DOWN,0
2000-02-03,57.625,59.25,60.4375,66.425,,DOWN,0
2000-02-04,56.375,58.188,58.725,66.2288,,DOWN,0
2000-02-07,55.75,56.625,57.875,65.99,,UP,1
2000-02-08,59.375,56.25,57.475,65.795,,DOWN,0
2000-02-09,58.0,59.5,57.425,65.5925,,DOWN,0
2000-02-10,57.063,58.063,57.3125,65.4125,,DOWN,0
2000-02-11,55.125,56.813,57.0625,65.1975,,DOWN,0
2000-02-14,54.375,55.313,56.7875,64.9438,,UP,1
2000-02-15,54.938,54.438,55.9,64.7138,,UP,1
2000-02-16,56.0,55.188,55.5,64.5088,,UP,1
2000-02-17,58.0,56.5,55.6875,64.3088,,DOWN,0
2000-02-18,56.938,58.0,56.05,64.08,,DOWN,0
2000-02-22,55.0,56.938,56.175,63.83,,DOWN,0
2000-02-23,54.938,55.063,56.175,63.6063,,DOWN,0
2000-02-24,54.063,55.0,55.7875,63.3675,,UP,1
2000-02-25,55.5,54.938,55.2875,63.1775,,DOWN,0
2000-02-28,55.0,55.563,54.9,63.0025,,DOWN,0
2000-02-29,54.625,55.0,54.825,62.815,,DOWN,0
2000-03-01,52.5,54.625,54.3375,62.5325,,UP,1
2000-03-02,53.313,52.125,54.1875,62.2288,,DOWN,0
2000-03-03,52.688,53.313,53.625,61.9025,,UP,1
2000-03-06,52.75,54.375,53.175,61.6175,,DOWN,0
2000-03-07,50.625,52.75,52.375,61.275,,UP,1
2000-03-08,54.313,52.75,52.7375,60.9675,,DOWN,0
2000-03-09,53.0,54.5,52.675,60.6475,,UP,1
2000-03-10,53.438,53.75,52.825,60.3563,,DOWN,0
2000-03-13,52.75,52.25,52.825,60.0513,,DOWN,0
2000-03-14,52.563,52.5,53.2125,59.7225,,UP,1
2000-03-15,54.938,52.938,53.3375,59.48,,UP,1
2000-03-16,56.25,55.875,53.9875,59.3063,,DOWN,0
2000-03-17,55.5,57.063,54.4,59.0563,,UP,1
2000-03-20,56.563,56.5,55.1625,58.8275,,UP,1
2000-03-21,58.188,56.313,56.2875,58.6638,,DOWN,0
2000-03-22,56.875,58.188,56.675,58.46,,UP,1
2000-03-23,59.625,56.813,57.35,58.3475,,UP,1
2000-03-24,63.75,60.0,59.0,58.275,,DOWN,0
2000-03-27,63.188,63.0,60.325,58.1725,,DOWN,0
2000-03-28,60.25,62.5,60.7375,57.9963,,DOWN,0
2000-03-29,59.063,61.25,61.175,57.8375,,DOWN,0
2000-03-30,58.563,58.813,60.9625,57.6438,,UP,1
2000-03-31,62.988,59.563,60.8102,57.526,,DOWN,0
2000-04-03,59.375,62.0,60.0477,57.3685,,DOWN,0
2000-04-04,57.813,59.375,59.5602,57.2048,,UP,1
2000-04-05,58.188,56.813,59.3852,57.051,,UP,1
2000-04-06,59.875,58.313,59.6477,56.946,,UP,1
2000-04-07,60.875,59.875,59.225,56.861,,UP,1
2000-04-10,64.0,61.125,60.15,56.8423,,DOWN,0
2000-04-11,63.188,63.313,61.225,56.906,,DOWN,0
2000-04-12,61.5,62.813,61.8875,56.9085,,DOWN,0
2000-04-13,60.25,61.5,61.9625,56.9485,,DOWN,0
2000-04-14,55.0,58.5,60.7875,56.896,,UP,1
2000-04-17,58.0,57.0,59.5875,56.9285,,UP,1
2000-04-18,60.688,58.0,59.0875,57.0273,,DOWN,0
2000-04-19,59.063,60.188,58.6,57.021,,UP,1
2000-04-20,63.5,61.0,59.25,57.131,,DOWN,0
2000-04-24,62.625,63.0,60.775,57.2423,,UP,1
2000-04-25,66.438,64.313,62.4625,57.4685,,DOWN,0
2000-04-26,66.188,66.5,63.5625,57.7048,,DOWN,0
