ticker,URI US Equity,URI US Equity,URI US Equity,URI US Equity,URI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,16.6875,17.375,24.3278,17.0125,17.3725,DOWN,0
2000-01-04,16.5,16.5,24.2747,16.8875,17.34,DOWN,0
2000-01-05,16.4375,16.625,24.2238,16.75,17.3063,UP,1
2000-01-06,17.375,16.3125,24.1781,16.825,17.295,UP,1
2000-01-07,17.9375,18.0,24.1363,16.9875,17.305,DOWN,0
2000-01-10,17.8125,18.25,24.0828,17.2125,17.2913,DOWN,0
2000-01-11,17.8125,17.875,24.0163,17.475,17.275,DOWN,0
2000-01-12,17.8125,18.0,23.9553,17.75,17.2362,UP,1
2000-01-13,18.5625,17.8125,23.9056,17.9875,17.2362,UP,1
2000-01-14,18.75,18.75,23.8556,18.15,17.2438,UP,1
2000-01-18,19.0,18.75,23.8116,18.3875,17.2613,UP,1
2000-01-19,20.75,19.125,23.7813,18.975,17.325,DOWN,0
2000-01-20,20.125,22.0,23.7513,19.4375,17.3888,UP,1
2000-01-21,20.625,21.0,23.72,19.85,17.4713,UP,1
2000-01-24,21.1875,21.125,23.6928,20.3375,17.5613,DOWN,0
2000-01-25,20.3125,21.25,23.6619,20.6,17.6375,UP,1
2000-01-26,21.25,20.3125,23.6313,20.7,17.7375,DOWN,0
2000-01-27,20.3125,22.0,23.5837,20.7375,17.8238,DOWN,0
2000-01-28,19.1875,18.5,23.5272,20.45,17.905,DOWN,0
2000-01-31,19.125,19.4375,23.4688,20.0375,17.9862,UP,1
2000-02-01,19.75,18.875,23.4072,19.925,18.0688,DOWN,0
2000-02-02,19.3125,19.5,23.3438,19.5375,18.1438,DOWN,0
2000-02-03,19.25,19.5,23.2813,19.325,18.2238,DOWN,0
2000-02-04,18.9375,20.25,23.2259,19.275,18.3088,DOWN,0
2000-02-07,18.5,19.0,23.1678,19.15,18.3625,DOWN,0
2000-02-08,17.6875,18.75,23.1069,18.7375,18.4025,DOWN,0
