ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,39.375,39.438,42.5736,39.4875,39.9937,DOWN,0
2000-01-04,39.25,39.125,42.5529,39.45,40.0212,UP,1
2000-01-05,41.875,39.25,42.5514,39.9875,40.0924,UP,1
2000-01-06,41.938,41.625,42.5411,40.475,40.1749,UP,1
2000-01-07,42.063,42.125,42.5379,40.9,40.2199,UP,1
2000-01-10,43.75,42.313,42.5486,41.775,40.2724,DOWN,0
2000-01-11,42.813,43.563,42.5501,42.4875,40.3024,DOWN,0
2000-01-12,42.188,43.0,42.5551,42.55,40.3149,UP,1
2000-01-13,42.875,42.438,42.5629,42.7375,40.3424,UP,1
2000-01-14,43.0,42.938,42.5683,42.925,40.3712,UP,1
2000-01-18,44.188,43.0,42.5892,43.0125,40.4137,DOWN,0
2000-01-19,44.125,42.75,42.602,43.275,40.4562,DOWN,0
2000-01-20,43.563,44.125,42.6204,43.55,40.4837,DOWN,0
2000-01-21,42.75,44.0,42.6323,43.525,40.5049,DOWN,0
2000-01-24,42.188,43.0,42.6411,43.3625,40.5237,DOWN,0
2000-01-25,42.063,44.125,42.6436,42.9375,40.5462,UP,1
2000-01-26,42.875,42.125,42.6529,42.6875,40.5749,UP,1
2000-01-27,43.063,42.625,42.6576,42.5875,40.5999,DOWN,0
2000-01-28,41.938,43.0,42.6501,42.425,40.5837,UP,1
2000-01-31,42.313,41.813,42.6329,42.45,40.5812,DOWN,0
2000-02-01,42.313,42.125,42.6133,42.5,40.5549,DOWN,0
2000-02-02,42.25,42.188,42.5939,42.375,40.5337,UP,1
2000-02-03,42.875,42.625,42.5783,42.3375,40.5437,DOWN,0
2000-02-04,42.563,42.625,42.5595,42.4625,40.5825,DOWN,0
2000-02-07,42.063,42.5,42.5367,42.4125,40.6338,UP,1
2000-02-08,42.125,42.063,42.5083,42.375,40.6838,DOWN,0
