ticker,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,23.5116,22.9833,24.3405,23.2739,22.5527,DOWN,0
2000-01-04,23.5116,23.3355,24.3418,23.362,22.5923,UP,1
2000-01-05,24.1281,23.2915,24.3478,23.494,22.6452,UP,1
2000-01-06,24.4363,24.04,24.3559,23.6966,22.7059,UP,1
2000-01-07,24.6124,24.3042,24.3645,24.04,22.7746,UP,1
2000-01-10,24.8325,24.6124,24.3757,24.3042,22.8398,DOWN,0
2000-01-11,24.5684,24.9206,24.3799,24.5155,22.8847,DOWN,0
2000-01-12,24.3042,24.3922,24.3806,24.5507,22.9199,DOWN,0
2000-01-13,24.2601,24.3042,24.3803,24.5155,22.9419,DOWN,0
2000-01-14,23.8639,24.2601,24.3775,24.3658,22.9586,UP,1
2000-01-18,24.1721,23.7758,24.3788,24.2337,22.9833,DOWN,0
2000-01-19,24.04,24.1721,24.3823,24.1281,22.9983,DOWN,0
2000-01-20,23.8199,23.9519,24.3845,24.0312,23.0132,DOWN,0
2000-01-21,23.6437,23.8639,24.3863,23.9079,23.0256,DOWN,0
2000-01-24,22.8512,23.4676,24.3839,23.7054,23.022,DOWN,0
2000-01-25,22.543,22.8512,24.3766,23.3796,23.0141,UP,1
2000-01-26,22.587,22.543,24.3669,23.089,23.008,DOWN,0
2000-01-27,22.499,22.4109,24.3561,22.8248,23.0018,DOWN,0
2000-01-28,22.499,22.499,24.3445,22.5958,22.9974,DOWN,0
2000-01-31,22.0587,22.499,24.3253,22.4373,22.9815,UP,1
2000-02-01,22.3669,22.2348,24.3,22.4021,22.9727,DOWN,0
2000-02-02,22.3669,22.3669,24.2747,22.3581,22.9666,DOWN,0
2000-02-03,22.0147,22.0147,24.2483,22.2612,22.9507,DOWN,0
2000-02-04,21.5744,22.0147,24.2185,22.0763,22.934,UP,1
2000-02-07,21.8385,21.4863,24.1886,22.0323,22.9199,DOWN,0
